Orthogroup	AsinensisChina	AstephensiUCISS2018
OG0000015	ASIC012461	ASTEI20_034188
OG0000016	ASIC010724	ASTEI20_044818
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566
OG0000016	ASIC010595, ASIC010598	ASTEI20_040856
OG0000016	ASIC003871	ASTEI20_042351
OG0000016	ASIC002621	ASTEI20_033956
OG0000018	ASIC015096	ASTEI20_039488, ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491, ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	ASIC010160	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201
OG0000021	ASIC006150	ASTEI20_031602
OG0000021	ASIC012218	ASTEI20_042507
OG0000021	ASIC007587	ASTEI20_033844
OG0000021	ASIC006151	ASTEI20_036164
OG0000021	ASIC015692	ASTEI20_042454
OG0000021	ASIC010311	ASTEI20_044345
OG0000021	ASIC010313	ASTEI20_032692
OG0000021	ASIC010312	ASTEI20_040880
OG0000023	ASIC003003	ASTEI20_036442
OG0000023	ASIC013723	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887
OG0000023	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	ASTEI20_034207, ASTEI20_038660
OG0000023	ASIC019569, ASIC002406	ASTEI20_035807
OG0000024	ASIC018921	ASTEI20_036317
OG0000024	ASIC018920	ASTEI20_030796
OG0000024	ASIC018905	ASTEI20_042294
OG0000026	ASIC016558	ASTEI20_034431
OG0000026	ASIC016557	ASTEI20_045957
OG0000026	ASIC016561	ASTEI20_037139
OG0000026	ASIC016560	ASTEI20_036805
OG0000026	ASIC016118	ASTEI20_033037
OG0000026	ASIC014095	ASTEI20_038151
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383	ASTEI20_038223
OG0000033	ASIC009220	ASTEI20_045015
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221	ASTEI20_031788
OG0000034	ASIC012442, ASIC012440	ASTEI20_041011
OG0000034	ASIC012445, ASIC012446	ASTEI20_037589
OG0000034	ASIC021981	ASTEI20_032776
OG0000035	ASIC012439	ASTEI20_038434, ASTEI20_044858
OG0000037	ASIC013351, ASIC013352, ASIC013353	ASTEI20_038052, ASTEI20_032497
OG0000037	ASIC022219	ASTEI20_031459, ASTEI20_042647
OG0000037	ASIC014023	ASTEI20_034438, ASTEI20_044399, ASTEI20_045557
OG0000039	ASIC002581	ASTEI20_041961
OG0000039	ASIC000445	ASTEI20_034016
OG0000039	ASIC012458	ASTEI20_042151
OG0000039	ASIC010050	ASTEI20_039200, ASTEI20_040849
OG0000039	ASIC010664	ASTEI20_035166, ASTEI20_036321, ASTEI20_037293
OG0000040	ASIC015488	ASTEI20_034704
OG0000040	ASIC015490	ASTEI20_040829
OG0000040	ASIC007400	ASTEI20_039503
OG0000041	ASIC005063	ASTEI20_038827
OG0000041	ASIC005062	ASTEI20_038756
OG0000041	ASIC005064	ASTEI20_034624
OG0000041	ASIC005684	ASTEI20_036497
OG0000042	ASIC017752, ASIC017751	ASTEI20_044170, ASTEI20_041547
OG0000042	ASIC017733, ASIC001192, ASIC017724, ASIC001191	ASTEI20_038339
OG0000042	ASIC015360	ASTEI20_037084
OG0000043	ASIC017851, ASIC017852	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445, ASTEI20_043114, ASTEI20_042955, ASTEI20_040096, ASTEI20_036675
OG0000046	ASIC009812	ASTEI20_033536
OG0000048	ASIC019015, ASIC019014	ASTEI20_034337
OG0000048	ASIC019017, ASIC019018	ASTEI20_034409
OG0000049	ASIC018403, ASIC018371, ASIC018370	ASTEI20_044950
OG0000049	ASIC018401, ASIC018400	ASTEI20_037621
OG0000049	ASIC017764	ASTEI20_031880
OG0000049	ASIC018404	ASTEI20_039499
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	ASIC018088	ASTEI20_043416
OG0000052	ASIC018082	ASTEI20_035536
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705	ASTEI20_044934, ASTEI20_043576
OG0000053	ASIC020710	ASTEI20_040463
OG0000053	ASIC020703	ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	ASIC000721	ASTEI20_041788, ASTEI20_036817
OG0000055	ASIC014234	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376
OG0000057	ASIC010134	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909
OG0000057	ASIC010133	ASTEI20_043801, ASTEI20_033403
OG0000057	ASIC010138	ASTEI20_041738
OG0000058	ASIC007323	ASTEI20_042767
OG0000058	ASIC007325	ASTEI20_037097
OG0000058	ASIC007324	ASTEI20_045123
OG0000058	ASIC002529	ASTEI20_036123, ASTEI20_031030
OG0000059	ASIC019011, ASIC019000	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754
OG0000059	ASIC019170	ASTEI20_037464, ASTEI20_043703
OG0000059	ASIC016660	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541
OG0000060	ASIC010127	ASTEI20_037656
OG0000060	ASIC010130, ASIC010129	ASTEI20_045967
OG0000060	ASIC010128	ASTEI20_042375
OG0000060	ASIC010131	ASTEI20_044978
OG0000061	ASIC015402	ASTEI20_045924, ASTEI20_044992
OG0000061	ASIC016621	ASTEI20_042918
OG0000061	ASIC008790, ASIC008789	ASTEI20_036073
OG0000061	ASIC008791	ASTEI20_042895
OG0000062	ASIC009092	ASTEI20_044163
OG0000062	ASIC004220	ASTEI20_037850
OG0000062	ASIC013583, ASIC013564, ASIC015598, ASIC015597	ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072
OG0000063	ASIC021538	ASTEI20_042329, ASTEI20_039640
OG0000063	ASIC010842	ASTEI20_041397
OG0000064	ASIC002653	ASTEI20_036363
OG0000064	ASIC002651	ASTEI20_032269
OG0000064	ASIC001146	ASTEI20_045444
OG0000064	ASIC002656	ASTEI20_030805
OG0000064	ASIC002652	ASTEI20_034042
OG0000067	ASIC018220	ASTEI20_038682
OG0000067	ASIC018219	ASTEI20_040377
OG0000068	ASIC011681	ASTEI20_040313
OG0000068	ASIC011682	ASTEI20_042702
OG0000068	ASIC011687	ASTEI20_045828
OG0000068	ASIC011679	ASTEI20_032296
OG0000069	ASIC005652	ASTEI20_035338
OG0000069	ASIC002404	ASTEI20_038112
OG0000069	ASIC005651	ASTEI20_039804
OG0000069	ASIC000407	ASTEI20_031615
OG0000071	ASIC008283	ASTEI20_033179
OG0000071	ASIC013586	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007
OG0000072	ASIC019961	ASTEI20_043809
OG0000072	ASIC012496	ASTEI20_045176
OG0000073	ASIC014115	ASTEI20_037565
OG0000074	ASIC016739, ASIC016738	ASTEI20_035123
OG0000074	ASIC016740	ASTEI20_041942
OG0000074	ASIC016736	ASTEI20_036102
OG0000074	ASIC016735	ASTEI20_035843, ASTEI20_043301
OG0000074	ASIC002864	ASTEI20_031364
OG0000075	ASIC021158, ASIC021155	ASTEI20_043256
OG0000075	ASIC021154, ASIC021157	ASTEI20_044173, ASTEI20_045639
OG0000075	ASIC021159	ASTEI20_041998, ASTEI20_037835
OG0000076	ASIC018187	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335
OG0000077	ASIC002587	ASTEI20_037597
OG0000077	ASIC002588, ASIC002586	ASTEI20_042788, ASTEI20_038766
OG0000078	ASIC022286	ASTEI20_038038
OG0000079	ASIC011457	ASTEI20_042516
OG0000079	ASIC011456, ASIC011455	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603
OG0000079	ASIC011459	ASTEI20_045836
OG0000080	ASIC016601	ASTEI20_045083
OG0000080	ASIC016602	ASTEI20_037839
OG0000080	ASIC019812	ASTEI20_038192
OG0000080	ASIC019334	ASTEI20_035820
OG0000080	ASIC019335	ASTEI20_038748
OG0000081	ASIC007880	ASTEI20_044597
OG0000081	ASIC007878, ASIC007850, ASIC007872	ASTEI20_033899, ASTEI20_041643
OG0000081	ASIC007881	ASTEI20_045891
OG0000082	ASIC012727, ASIC012728, ASIC012714	ASTEI20_035318
OG0000085	ASIC009268	ASTEI20_033228
OG0000085	ASIC004322	ASTEI20_037988
OG0000085	ASIC009271, ASIC009270, ASIC009269, ASIC009272	ASTEI20_039794
OG0000086	ASIC009153	ASTEI20_036600
OG0000086	ASIC008317	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000088	ASIC008371, ASIC008372	ASTEI20_035957
OG0000088	ASIC008376	ASTEI20_030868
OG0000089	ASIC019476	ASTEI20_035269
OG0000089	ASIC019432	ASTEI20_031474
OG0000089	ASIC019421	ASTEI20_033656
OG0000089	ASIC019454	ASTEI20_034314
OG0000089	ASIC019465	ASTEI20_038747
OG0000090	ASIC019694	ASTEI20_037367, ASTEI20_042053
OG0000090	ASIC019695	ASTEI20_044104, ASTEI20_039435
OG0000091	ASIC002279	ASTEI20_043825
OG0000093	ASIC022154, ASIC014826	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009, ASTEI20_030917, ASTEI20_042966, ASTEI20_037262, ASTEI20_033729
OG0000096	ASIC015638	ASTEI20_039679
OG0000096	ASIC010647, ASIC010609	ASTEI20_033293
OG0000096	ASIC010449	ASTEI20_044580
OG0000096	ASIC015635	ASTEI20_044690
OG0000097	ASIC021947	ASTEI20_041240
OG0000097	ASIC021950	ASTEI20_045034
OG0000101	ASIC004494	ASTEI20_033538
OG0000103	ASIC008406	ASTEI20_040437, ASTEI20_031248
OG0000103	ASIC014017	ASTEI20_044567, ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930, ASTEI20_031812
OG0000104	ASIC017885, ASIC009066	ASTEI20_031442
OG0000104	ASIC009065	ASTEI20_031279
OG0000105	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503	ASTEI20_043210, ASTEI20_041014, ASTEI20_037458
OG0000107	ASIC005646	ASTEI20_032780
OG0000107	ASIC005645	ASTEI20_041111
OG0000107	ASIC005655	ASTEI20_036614
OG0000108	ASIC013421, ASIC013593	ASTEI20_031790, ASTEI20_039367
OG0000109	ASIC002584	ASTEI20_035723
OG0000109	ASIC014258	ASTEI20_041902
OG0000109	ASIC014260	ASTEI20_036023
OG0000111	ASIC012080, ASIC006082	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	ASIC012081	ASTEI20_031785, ASTEI20_040627, ASTEI20_032160, ASTEI20_043145
OG0000115	ASIC017431	ASTEI20_031924
OG0000115	ASIC017432	ASTEI20_034594
OG0000116	ASIC006403	ASTEI20_039992
OG0000116	ASIC006402	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918
OG0000116	ASIC014540	ASTEI20_044702
OG0000119	ASIC016830	ASTEI20_031989
OG0000119	ASIC016832	ASTEI20_033264
OG0000119	ASIC016833	ASTEI20_035228
OG0000120	ASIC011544	ASTEI20_031113
OG0000120	ASIC011541	ASTEI20_040639, ASTEI20_043620
OG0000120	ASIC013726	ASTEI20_036340
OG0000123	ASIC014634	ASTEI20_045570
OG0000124	ASIC019768	ASTEI20_042719
OG0000124	ASIC019753	ASTEI20_031108
OG0000124	ASIC019769, ASIC019770, ASIC019771	ASTEI20_042994, ASTEI20_033894
OG0000127	ASIC008877	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	ASIC015309	ASTEI20_041892
OG0000128	ASIC015247	ASTEI20_040479
OG0000128	ASIC015248	ASTEI20_031766
OG0000129	ASIC008763	ASTEI20_032516
OG0000129	ASIC008762	ASTEI20_039120, ASTEI20_038234
OG0000130	ASIC008146	ASTEI20_041330
OG0000130	ASIC012064	ASTEI20_037430
OG0000130	ASIC012065	ASTEI20_043872
OG0000131	ASIC012145	ASTEI20_038615
OG0000131	ASIC012146	ASTEI20_045120
OG0000131	ASIC012148	ASTEI20_034975
OG0000131	ASIC012034	ASTEI20_033405
OG0000132	ASIC014945	ASTEI20_035199
OG0000132	ASIC014943	ASTEI20_034238
OG0000132	ASIC014946	ASTEI20_036305
OG0000132	ASIC002822	ASTEI20_031453
OG0000133	ASIC017840, ASIC017841	ASTEI20_033689
OG0000133	ASIC017521	ASTEI20_035006
OG0000133	ASIC017520	ASTEI20_045111
OG0000134	ASIC019150	ASTEI20_040637
OG0000134	ASIC019149	ASTEI20_035158
OG0000134	ASIC019145	ASTEI20_041705
OG0000134	ASIC019147	ASTEI20_031508
OG0000135	ASIC020739	ASTEI20_040602
OG0000135	ASIC015458	ASTEI20_037939
OG0000135	ASIC007191	ASTEI20_033495, ASTEI20_041139
OG0000136	ASIC007232	ASTEI20_044015
OG0000141	ASIC018449, ASIC018448	ASTEI20_038928
OG0000141	ASIC019151, ASIC018446	ASTEI20_042572
OG0000142	ASIC011129	ASTEI20_030926
OG0000142	ASIC010497	ASTEI20_031775
OG0000142	ASIC004901	ASTEI20_039078
OG0000142	ASIC014682	ASTEI20_035078
OG0000143	ASIC008422	ASTEI20_031603
OG0000143	ASIC008424	ASTEI20_038786
OG0000143	ASIC008426	ASTEI20_032430
OG0000144	ASIC021886	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942
OG0000146	ASIC008229	ASTEI20_044971
OG0000147	ASIC002221	ASTEI20_039262
OG0000147	ASIC002222	ASTEI20_034963
OG0000147	ASIC002220	ASTEI20_034030
OG0000148	ASIC007934	ASTEI20_040041
OG0000148	ASIC022060, ASIC022061, ASIC007933, ASIC007935	ASTEI20_043698
OG0000148	ASIC012007	ASTEI20_036802
OG0000149	ASIC018439	ASTEI20_032560
OG0000149	ASIC018437	ASTEI20_037704, ASTEI20_045413
OG0000150	ASIC011027	ASTEI20_036593
OG0000151	ASIC009913, ASIC009914	ASTEI20_031955
OG0000152	ASIC004877	ASTEI20_033865
OG0000154	ASIC004043, ASIC013097	ASTEI20_038954
OG0000154	ASIC013108, ASIC004042, ASIC013051, ASIC004041	ASTEI20_038354, ASTEI20_039327, ASTEI20_031393
OG0000155	ASIC020577, ASIC020578	ASTEI20_044262
OG0000157	ASIC010788	ASTEI20_038779
OG0000157	ASIC019241	ASTEI20_044052
OG0000160	ASIC016821	ASTEI20_036554, ASTEI20_033604
OG0000161	ASIC019631	ASTEI20_038429
OG0000162	ASIC018387	ASTEI20_040102
OG0000162	ASIC018375	ASTEI20_039506
OG0000162	ASIC018379	ASTEI20_035676
OG0000162	ASIC018380	ASTEI20_038899
OG0000163	ASIC007358	ASTEI20_034625
OG0000163	ASIC007362	ASTEI20_031376
OG0000163	ASIC007363, ASIC007359	ASTEI20_042082
OG0000164	ASIC021805	ASTEI20_038451
OG0000164	ASIC021916	ASTEI20_037482
OG0000165	ASIC020384	ASTEI20_035964
OG0000165	ASIC020380	ASTEI20_037537
OG0000165	ASIC020379	ASTEI20_035222
OG0000165	ASIC020381	ASTEI20_037574
OG0000166	ASIC012923	ASTEI20_035217, ASTEI20_037831
OG0000166	ASIC012924	ASTEI20_038043, ASTEI20_041976
OG0000166	ASIC012921	ASTEI20_044786, ASTEI20_042832
OG0000171	ASIC004812, ASIC004811	ASTEI20_039067
OG0000171	ASIC004810	ASTEI20_037136
OG0000172	ASIC017527	ASTEI20_034185
OG0000172	ASIC017518	ASTEI20_042714
OG0000172	ASIC017547	ASTEI20_033958
OG0000173	ASIC022306	ASTEI20_042047
OG0000173	ASIC022304	ASTEI20_034429
OG0000174	ASIC009499	ASTEI20_035066
OG0000174	ASIC007084	ASTEI20_042620
OG0000181	ASIC019035	ASTEI20_039654
OG0000181	ASIC019034	ASTEI20_035911
OG0000182	ASIC020912	ASTEI20_034555
OG0000182	ASIC020913	ASTEI20_041278
OG0000183	ASIC011096	ASTEI20_031719, ASTEI20_046015, ASTEI20_044856, ASTEI20_038174
OG0000184	ASIC007210	ASTEI20_033069
OG0000184	ASIC007209	ASTEI20_036642, ASTEI20_037581
OG0000185	ASIC014499, ASIC014498	ASTEI20_042706, ASTEI20_031403
OG0000185	ASIC018463, ASIC018459	ASTEI20_032807, ASTEI20_034055
OG0000187	ASIC003343	ASTEI20_038550
OG0000188	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161	ASTEI20_038409
OG0000189	ASIC020927	ASTEI20_035278
OG0000189	ASIC004914	ASTEI20_043379, ASTEI20_036958
OG0000190	ASIC009037	ASTEI20_031858
OG0000190	ASIC004005	ASTEI20_037310
OG0000191	ASIC011618, ASIC011619, ASIC011617	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678
OG0000191	ASIC011616	ASTEI20_037932
OG0000192	ASIC003853	ASTEI20_041022
OG0000192	ASIC021385	ASTEI20_033456
OG0000192	ASIC006813	ASTEI20_038790
OG0000193	ASIC005170, ASIC009034, ASIC004649	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607
OG0000194	ASIC007163	ASTEI20_032207
OG0000196	ASIC009091	ASTEI20_042814
OG0000200	ASIC004374	ASTEI20_040182
OG0000200	ASIC004381	ASTEI20_032444
OG0000201	ASIC018737	ASTEI20_036827
OG0000201	ASIC018748	ASTEI20_041981
OG0000202	ASIC006264	ASTEI20_033661
OG0000202	ASIC005159	ASTEI20_045852
OG0000203	ASIC022196	ASTEI20_034151
OG0000203	ASIC022191, ASIC022195	ASTEI20_037199
OG0000203	ASIC022193, ASIC022189	ASTEI20_036473
OG0000204	ASIC018858, ASIC018857	ASTEI20_033339
OG0000205	ASIC007148	ASTEI20_040473
OG0000206	ASIC009932, ASIC009934	ASTEI20_039018
OG0000206	ASIC009931, ASIC009933	ASTEI20_045703
OG0000206	ASIC017261	ASTEI20_045728
OG0000207	ASIC020302, ASIC020301	ASTEI20_034853
OG0000208	ASIC004793, ASIC004794, ASIC004795	ASTEI20_045322
OG0000209	ASIC018130	ASTEI20_042301
OG0000210	ASIC005087	ASTEI20_043190
OG0000210	ASIC005086	ASTEI20_037248, ASTEI20_039456
OG0000216	ASIC012609, ASIC012610, ASIC012607	ASTEI20_042509, ASTEI20_036668, ASTEI20_032966, ASTEI20_042064
OG0000217	ASIC021690	ASTEI20_040200
OG0000217	ASIC007120	ASTEI20_036703
OG0000217	ASIC021693	ASTEI20_044284
OG0000218	ASIC006963	ASTEI20_043383
OG0000218	ASIC006964	ASTEI20_039263
OG0000219	ASIC017087	ASTEI20_035108
OG0000220	ASIC021083	ASTEI20_035755
OG0000220	ASIC021081	ASTEI20_037745
OG0000221	ASIC016222, ASIC016221, ASIC016220	ASTEI20_038135
OG0000221	ASIC019669, ASIC019668	ASTEI20_037201
OG0000222	ASIC014190	ASTEI20_035055
OG0000222	ASIC013415	ASTEI20_041199
OG0000223	ASIC011432	ASTEI20_037771
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	ASTEI20_038501
OG0000225	ASIC021356	ASTEI20_037793, ASTEI20_038611
OG0000226	ASIC020560	ASTEI20_034161
OG0000226	ASIC020556	ASTEI20_036749, ASTEI20_033104, ASTEI20_033107, ASTEI20_043945
OG0000228	ASIC019719, ASIC019722, ASIC019723	ASTEI20_034891
OG0000229	ASIC021403	ASTEI20_032722
OG0000229	ASIC004678	ASTEI20_037602
OG0000230	ASIC005288	ASTEI20_034005
OG0000231	ASIC011666	ASTEI20_040405
OG0000231	ASIC011669	ASTEI20_043476
OG0000232	ASIC012966	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318
OG0000232	ASIC012965	ASTEI20_040000, ASTEI20_042206
OG0000233	ASIC011408	ASTEI20_041338
OG0000234	ASIC020664	ASTEI20_040171
OG0000235	ASIC017168, ASIC009033	ASTEI20_044011
OG0000236	ASIC011385	ASTEI20_036868
OG0000236	ASIC008198	ASTEI20_032536
OG0000237	ASIC003194	ASTEI20_039839
OG0000244	ASIC022012	ASTEI20_035715
OG0000245	ASIC005515	ASTEI20_043968
OG0000245	ASIC005518	ASTEI20_037895
OG0000245	ASIC005516	ASTEI20_036396
OG0000246	ASIC021753	ASTEI20_041860
OG0000246	ASIC021752	ASTEI20_034647
OG0000246	ASIC021751, ASIC021749	ASTEI20_037168
OG0000246	ASIC021748	ASTEI20_031502
OG0000247	ASIC016691	ASTEI20_032101
OG0000247	ASIC019252	ASTEI20_044238
OG0000249	ASIC016050	ASTEI20_039526
OG0000249	ASIC000958	ASTEI20_038673
OG0000250	ASIC004082	ASTEI20_043607
OG0000250	ASIC004081	ASTEI20_038490
OG0000252	ASIC005046	ASTEI20_040133
OG0000252	ASIC005048	ASTEI20_045800
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	ASTEI20_036887
OG0000254	ASIC005504	ASTEI20_034532
OG0000255	ASIC020208, ASIC020207	ASTEI20_042761, ASTEI20_044933
OG0000256	ASIC012493, ASIC012494	ASTEI20_045578
OG0000256	ASIC012495	ASTEI20_042134, ASTEI20_044073
OG0000257	ASIC005738	ASTEI20_033195
OG0000260	ASIC010061	ASTEI20_034398
OG0000260	ASIC010060	ASTEI20_038711
OG0000260	ASIC010058	ASTEI20_037645
OG0000263	ASIC006278, ASIC019183, ASIC001150, ASIC015353	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655
OG0000265	ASIC007840	ASTEI20_044851, ASTEI20_037660
OG0000266	ASIC010738	ASTEI20_042056
OG0000266	ASIC004862	ASTEI20_041270
OG0000266	ASIC004863	ASTEI20_035075
OG0000267	ASIC021746	ASTEI20_044700
OG0000268	ASIC007410	ASTEI20_032301
OG0000268	ASIC007406	ASTEI20_032365
OG0000269	ASIC006168	ASTEI20_045911, ASTEI20_044456
OG0000270	ASIC018039	ASTEI20_032190, ASTEI20_043741, ASTEI20_040825, ASTEI20_034360, ASTEI20_030843
OG0000271	ASIC006601	ASTEI20_031771
OG0000272	ASIC015539	ASTEI20_042478
OG0000272	ASIC011268	ASTEI20_037724
OG0000273	ASIC011512	ASTEI20_032020
OG0000273	ASIC011513	ASTEI20_041023
OG0000273	ASIC011515	ASTEI20_043316
