HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N0.HOG0000010	OG0000001	n1	AAEL009009, AAEL008994, AAEL008982, AAEL009013, AAEL008969, AAEL015424	LOC109404300, LOC109399492, LOC115265056, LOC109404277, LOC109404315, LOC109403110	ADIR004308	AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348, AFUN2_012926	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843, AGAP006848	AMIN007636, AMIN007637	ASIC013765, ASIC013764, ASIC013762	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127	CQUJHB008010, CQUJHB014772, CQUJHB013280, CQUJHB015924, CQUJHB001661, CQUJHB010167, CQUJHB001086	LOC129785915
N0.HOG0000011	OG0000001	n47	AAEL008977, AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993, AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971, AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984, AAEL000665, AAEL015503, AAEL014977, AAEL008990, AAEL025577	LOC109404321, LOC109403117, LOC109404330, LOC115270372, LOC109403106, LOC109399495, LOC109399494, LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353, LOC109425906, LOC109433067, LOC109403100, LOC109403138, LOC115270371	ADIR014366, ADIR014365, ADIR014363	AFUN2_004608, AFUN2_010913, AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905, AFUN2_009709, AFUN2_006480	AGAP006860, AGAP006863, AGAP006858, AGAP006859, AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851, AGAP006864, AGAP006597	AMIN014601	ASIC013748, ASIC013742, ASIC013743, ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761, ASIC013744, ASIC013740	ASTEI20_039515, ASTEI20_046161, ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698, ASTEI20_041050, ASTEI20_039571	CQUJHB000158, CQUJHB018360, CQUJHB009369, CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242, CQUJHB005142, CQUJHB015301, CQUJHB001923, CQUJHB017126, CQUJHB010237, CQUJHB007643, CQUJHB011703	LOC129791522
N0.HOG0000012	OG0000002	n1	AAEL014891, AAEL014893, AAEL014890	LOC109623203, LOC115269310, LOC109623208, LOC115269311	ADIR003458	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070, AFUN2_009636	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867, AGAP002870	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108, AMIN016111	ASIC003137, ASIC003139, ASIC003135, ASIC003136, ASIC003140	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499, ASTEI20_043191	CQUJHB017007, CQUJHB007871, CQUJHB001163	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570
N0.HOG0000013	OG0000002	n59										LOC129791040, LOC129791034
N0.HOG0000014	OG0000002	n61			ADIR016070							LOC129797569, LOC129797571
N0.HOG0000015	OG0000002	n63	AAEL009127, AAEL009128, AAEL017297, AAEL009117, AAEL009125, AAEL010151, AAEL010158, AAEL009137, AAEL009133, AAEL009122, AAEL017539, AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126	LOC109421559, LOC109409168, LOC109398259, LOC109398237, LOC109421551, LOC109409211, LOC109409210, LOC109425972, LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553	ADIR016077, ADIR016078, ADIR016076, ADIR016098, ADIR016100, ADIR016102, ADIR016074, ADIR016075, ADIR002023, ADIR016072, ADIR006361	AFUN2_009035, AFUN2_002132, AFUN2_005303, AFUN2_006796, AFUN2_005756, AFUN2_002248, AFUN2_003508	AGAP008212, AGAP008214, AGAP008213, AGAP008209, AGAP008206, AGAP008205, AGAP011028, AGAP011029, AGAP008207	AMIN006066, AMIN006068, AMIN004360, AMIN006067	ASIC004047, ASIC004049, ASIC004048, ASIC010653, ASIC004044, ASIC006840, ASIC006841, ASIC014765, ASIC014766, ASIC006839, ASIC004039, ASIC004046	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459, ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828, ASTEI20_034857, ASTEI20_036438, ASTEI20_036203, ASTEI20_040919	CQUJHB009563, CQUJHB004450, CQUJHB000426, CQUJHB002682, CQUJHB008354, CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269, CQUJHB003944, CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958	LOC129791036
N0.HOG0000016	OG0000003	n2		LOC134283927, LOC134285071, LOC134291347, LOC134291564, LOC134287398, LOC109420339								LOC129791047
N0.HOG0000017	OG0000003	n9										LOC129792962, LOC129791860, LOC129796092, LOC129787973, LOC129795522
N0.HOG0000018	OG0000003	n14		LOC109406993							CQUJHB006472, CQUJHB009886	
N0.HOG0000019	OG0000003	n18		LOC109398012, LOC134292231								
N0.HOG0000020	OG0000003	n20		LOC134288454, LOC134289457								
N0.HOG0000021	OG0000003	n22		LOC134286445, LOC134287999							CQUJHB007414	
N0.HOG0000022	OG0000003	n28		LOC134286363, LOC134288671, LOC115270324, LOC134288876, LOC134290976, LOC134287605, LOC134289663, LOC134290825, LOC134284111, LOC134290821							CQUJHB009648, CQUJHB001690	
N0.HOG0000023	OG0000003	n43		LOC134288869, LOC134290846, LOC134288099, LOC134288468	ADIR014450						CQUJHB009884, CQUJHB004784, CQUJHB017576, CQUJHB014196, CQUJHB010120	LOC129789093
N0.HOG0000024	OG0000003	n53		LOC134291714, LOC115258749, LOC134287556, LOC115256440								LOC129794319
N0.HOG0000025	OG0000003	n57		LOC134286452, LOC134286336								
N0.HOG0000026	OG0000003	n58		LOC115259248							CQUJHB014856	
N0.HOG0000027	OG0000003	n59		LOC134288074, LOC134288660, LOC134290802, LOC134286847, LOC134289596, LOC109404776							CQUJHB002361	
N0.HOG0000028	OG0000003	n65		LOC134285406, LOC134288128								
N0.HOG0000029	OG0000003	n66		LOC115260714, LOC134284100							CQUJHB007185	LOC129792880, LOC129786961, LOC129789185, LOC129791397
N0.HOG0000030	OG0000003	n72		LOC115263674, LOC134288397, LOC134284661, LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733, LOC134287668, LOC134290869, LOC134286416, LOC134290695, LOC134287787, LOC134284039, LOC134284958, LOC109398612, LOC134287950, LOC134284742, LOC134288900, LOC134286312, LOC134290579, LOC134287532, LOC134286006, LOC134291858, LOC134290045, LOC134285622, LOC134286328, LOC134290508, LOC115268916, LOC134287570, LOC134286687, LOC134290952, LOC134285216, LOC134285947, LOC134287672, LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827, LOC134288203, LOC115259988	ADIR011510	AFUN2_013652, AFUN2_002660, AFUN2_012891, AFUN2_004364, AFUN2_004469, AFUN2_009844	AGAP010309	AMIN006496		ASTEI20_037049, ASTEI20_034440, ASTEI20_032078, ASTEI20_031811	CQUJHB003254, CQUJHB003273, CQUJHB016570, CQUJHB001475, CQUJHB001577, CQUJHB000234, CQUJHB015512, CQUJHB001017, CQUJHB008833, CQUJHB001275, CQUJHB013591, CQUJHB017073	
N0.HOG0000031	OG0000004	n0	AAEL015682, AAEL022865, AAEL024711, AAEL026969, AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426	LOC134284773, LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103, LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487	ADIR001878	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894, AGAP012555	AMIN006962	ASIC018314	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447, CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490
N0.HOG0000032	OG0000005	n1	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599	LOC134284592								LOC129793054
N0.HOG0000033	OG0000005	n21	AAEL020772, AAEL020343, AAEL026864, AAEL027063, AAEL023870, AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562		AFUN2_007230, AFUN2_004842, AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443	AGAP028034, AGAP028149, AGAP011193, AGAP005264, AGAP005266, AGAP005265	AMIN005016		ASTEI20_042070, ASTEI20_038750, ASTEI20_037103, ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804	CQUJHB015326, CQUJHB016505, CQUJHB001878, CQUJHB005849, CQUJHB005832	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898
N0.HOG0000034	OG0000006	n0	AAEL019665, AAEL025985, AAEL013375, AAEL024806, AAEL022442, AAEL026752	LOC134287667, LOC134284060, LOC134287526, LOC134285602, LOC134287214, LOC134285105, LOC134288141, LOC134291130, LOC134291131	ADIR004457, ADIR002576	AFUN2_007708, AFUN2_009331, AFUN2_001908, AFUN2_009118, AFUN2_013138, AFUN2_002702, AFUN2_004254, AFUN2_010056, AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646, AFUN2_012202, AFUN2_013718, AFUN2_006489, AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532	AGAP029261, AGAP002950, AGAP012782, AGAP003624, AGAP007639, AGAP000408, AGAP000105, AGAP029348, AGAP029433, AGAP029795, AGAP029344	AMIN002115, AMIN006479, AMIN000978, AMIN009886, AMIN005876, AMIN004546, AMIN005875	ASIC000906, ASIC015100, ASIC002536, ASIC012877, ASIC006098, ASIC022014	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144, ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568, ASTEI20_037125, ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782, ASTEI20_034128, ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451	CQUJHB001727, CQUJHB000743	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384
N0.HOG0000035	OG0000007	n0			ADIR014622, ADIR009668, ADIR009667, ADIR009607, ADIR009608, ADIR014842, ADIR000815, ADIR009669, ADIR009588, ADIR009595, ADIR009594, ADIR009596, ADIR015954, ADIR015955, ADIR009593, ADIR009598, ADIR009597	AFUN2_004043, AFUN2_006670, AFUN2_001709, AFUN2_014614, AFUN2_009778, AFUN2_001920, AFUN2_011937, AFUN2_005862, AFUN2_011780, AFUN2_012023, AFUN2_007690, AFUN2_003406, AFUN2_006859, AFUN2_003170	AGAP012816, AGAP028684, AGAP012741, AGAP029788, AGAP029778, AGAP028587, AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027, AGAP029273, AGAP012918, AGAP012919, AGAP028671, AGAP029613, AGAP012767, AGAP029743, AGAP012768, AGAP012722, AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742, AGAP028673, AGAP028674, AGAP000164, AGAP028159, AGAP028040, AGAP029454, AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546, AGAP028672, AGAP012719, AGAP011409, AGAP028668, AGAP011403, AGAP011405, AGAP012742, AGAP029787, AGAP028625, AGAP028678, AGAP029296, AGAP012832, AGAP028675, AGAP028676, AGAP028677	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959		ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387	CQUJHB002742, CQUJHB016780	LOC129792965
N0.HOG0000036	OG0000008	n1			ADIR003918	AFUN2_005813	AGAP000818	AMIN005546	ASIC020436	ASTEI20_031614	CQUJHB014582, CQUJHB016283	LOC129796114, LOC129787731, LOC129786793
N0.HOG0000037	OG0000008	n11	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603, AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419, LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	ADIR000457, ADIR000455	AFUN2_011626, AFUN2_014353, AFUN2_012060, AFUN2_001736, AFUN2_010492	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296, AGAP012291, AGAP012292	AMIN006880, AMIN006881, AMIN006884	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814, ASIC017825, ASIC017824	ASTEI20_045981, ASTEI20_045188, ASTEI20_044670, ASTEI20_031005	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038, CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727
N0.HOG0000038	OG0000009	n0	AAEL020927, AAEL020601, AAEL012499, AAEL003706, AAEL003687, AAEL003669, AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005	LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330, LOC109404502, LOC109405821, LOC115264628, LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592	ADIR002344, ADIR005579, ADIR001877	AFUN2_002572, AFUN2_013920, AFUN2_012897, AFUN2_008888, AFUN2_001196, AFUN2_004806, AFUN2_007216, AFUN2_007461, AFUN2_001821, AFUN2_009063, AFUN2_011932, AFUN2_009447, AFUN2_014561	AGAP011845, AGAP012711, AGAP003911, AGAP012895, AGAP003913	AMIN008550, AMIN015675	ASIC018178, ASIC018203	ASTEI20_040741, ASTEI20_044827	CQUJHB014156, CQUJHB017603, CQUJHB014894, CQUJHB006007, CQUJHB008990, CQUJHB014655, CQUJHB005147, CQUJHB003321, CQUJHB004474, CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899
N0.HOG0000039	OG0000010	n0	AAEL008218, AAEL008217, AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206, AAEL008212	LOC109432023, LOC115265384, LOC109409744, LOC109432002, LOC109431992, LOC115265379, LOC109432055, LOC109432112, LOC109432077	ADIR016002, ADIR016004, ADIR016001, ADIR014645	AFUN2_008829, AFUN2_000320, AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091	AGAP007252, AGAP002432, AGAP007262, AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	AMIN016052, AMIN016057, AMIN016054, AMIN016053	ASIC007845, ASIC007831, ASIC007832, ASIC007846, ASIC015160, ASIC015159, ASIC015158, ASIC015157, ASIC015156, ASIC012971, ASIC012972, ASIC012980, ASIC012979, ASIC012975, ASIC012976, ASIC012973, ASIC012978	ASTEI20_038744, ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332	CQUJHB010392, CQUJHB008428, CQUJHB007624, CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374, CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579	LOC129793217, LOC129791616
