HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N8.HOG0000146	OG0000017	n79				AFUN2_008959						
N8.HOG0000147	OG0000017	n80				AFUN2_000914		AMIN011507				
N8.HOG0000148	OG0000017	n85				AFUN2_003468						
N8.HOG0000149	OG0000018	n36				AFUN2_013059						
N8.HOG0000150	OG0000018	n43						AMIN004545				
N8.HOG0000151	OG0000018	n50				AFUN2_002966, AFUN2_011150						
N8.HOG0000152	OG0000018	n54				AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864						
N8.HOG0000153	OG0000018	n58				AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843		AMIN006661				
N8.HOG0000154	OG0000018	n68				AFUN2_001215						
N8.HOG0000155	OG0000018	n70				AFUN2_001911		AMIN009874				
N8.HOG0000156	OG0000018	n72				AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851		AMIN006478				
N8.HOG0000157	OG0000019	n3				AFUN2_003589						
N8.HOG0000158	OG0000019	n74				AFUN2_002117						
N8.HOG0000159	OG0000019	n82				AFUN2_003893						
N8.HOG0000160	OG0000020	n9				AFUN2_010799, AFUN2_008522, AFUN2_009055		AMIN008653, AMIN008654				
N8.HOG0000161	OG0000020	n19						AMIN008394				
N8.HOG0000162	OG0000020	n27				AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335		AMIN000732				
N8.HOG0000163	OG0000020	n42				AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831		AMIN009924				
N8.HOG0000164	OG0000020	n50						AMIN007524, AMIN008655, AMIN008393				
N8.HOG0000165	OG0000021	n4				AFUN2_013453		AMIN015466				
N8.HOG0000166	OG0000021	n10				AFUN2_010217		AMIN015467				
N8.HOG0000167	OG0000021	n20				AFUN2_001683		AMIN015464				
N8.HOG0000168	OG0000021	n32				AFUN2_001836		AMIN015465				
N8.HOG0000169	OG0000021	n43				AFUN2_011639						
N8.HOG0000170	OG0000021	n49				AFUN2_002771						
N8.HOG0000171	OG0000021	n56				AFUN2_007302		AMIN015484				
N8.HOG0000172	OG0000021	n67				AFUN2_014571		AMIN015482				
N8.HOG0000173	OG0000021	n70						AMIN015483				
N8.HOG0000174	OG0000021	n73				AFUN2_010167						
N8.HOG0000175	OG0000022	n9				AFUN2_003020		AMIN001285				
N8.HOG0000176	OG0000022	n15				AFUN2_009564, AFUN2_014204, AFUN2_008458, AFUN2_006596		AMIN001286, AMIN008873, AMIN003189				
N8.HOG0000177	OG0000022	n44				AFUN2_002978						
N8.HOG0000178	OG0000023	n2				AFUN2_002757		AMIN008079				
N8.HOG0000179	OG0000023	n16						AMIN002713				
N8.HOG0000180	OG0000023	n18						AMIN003921				
N8.HOG0000181	OG0000023	n26				AFUN2_012787, AFUN2_013813						
N8.HOG0000182	OG0000023	n28				AFUN2_005728						
N8.HOG0000183	OG0000023	n29				AFUN2_001616						
N8.HOG0000184	OG0000023	n30						AMIN002718				
N8.HOG0000185	OG0000023	n40						AMIN007647				
N8.HOG0000186	OG0000023	n41						AMIN007646				
N8.HOG0000187	OG0000023	n60						AMIN007806				
N8.HOG0000188	OG0000024	n6				AFUN2_008754		AMIN007573				
N8.HOG0000189	OG0000024	n18				AFUN2_004514		AMIN007572				
N8.HOG0000190	OG0000024	n31				AFUN2_001856		AMIN011339				
N8.HOG0000191	OG0000024	n41				AFUN2_009727						
N8.HOG0000192	OG0000024	n59				AFUN2_006932						
N8.HOG0000193	OG0000024	n62				AFUN2_001526						
N8.HOG0000194	OG0000024	n63				AFUN2_012131						
N8.HOG0000195	OG0000025	n5				AFUN2_014130						
N8.HOG0000196	OG0000025	n22				AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155						
N8.HOG0000197	OG0000026	n8				AFUN2_007391		AMIN015477				
N8.HOG0000198	OG0000026	n14						AMIN015478				
N8.HOG0000199	OG0000026	n22						AMIN015473				
N8.HOG0000200	OG0000026	n24						AMIN015476				
N8.HOG0000201	OG0000026	n35						AMIN015474				
N8.HOG0000202	OG0000026	n39				AFUN2_005277						
N8.HOG0000203	OG0000026	n41				AFUN2_003253, AFUN2_004905		AMIN015475				
N8.HOG0000204	OG0000026	n52				AFUN2_006722		AMIN015479				
N8.HOG0000205	OG0000026	n65				AFUN2_005978		AMIN015731				
N8.HOG0000206	OG0000027	n7				AFUN2_012022						
N8.HOG0000207	OG0000027	n30				AFUN2_002065		AMIN006557				
N8.HOG0000208	OG0000027	n33				AFUN2_004791		AMIN006558				
N8.HOG0000209	OG0000028	n5				AFUN2_013164						
N8.HOG0000210	OG0000028	n25				AFUN2_001898						
N8.HOG0000211	OG0000028	n26				AFUN2_002786, AFUN2_014271						
N8.HOG0000212	OG0000028	n27				AFUN2_006996						
N8.HOG0000213	OG0000028	n33				AFUN2_010476, AFUN2_002523		AMIN009876				
N8.HOG0000214	OG0000028	n56				AFUN2_012132, AFUN2_006865, AFUN2_005132, AFUN2_002353						
N8.HOG0000215	OG0000028	n60				AFUN2_001256, AFUN2_004185, AFUN2_006876						
N8.HOG0000216	OG0000028	n63				AFUN2_003118, AFUN2_003598						
N8.HOG0000217	OG0000028	n66				AFUN2_008286, AFUN2_011015						
N8.HOG0000218	OG0000028	n72				AFUN2_003325						
N8.HOG0000219	OG0000030	n5						AMIN006996, AMIN006995				
N8.HOG0000220	OG0000030	n11						AMIN006765				
N8.HOG0000221	OG0000030	n25				AFUN2_012733		AMIN007001				
N8.HOG0000222	OG0000030	n29				AFUN2_007213, AFUN2_001848						
N8.HOG0000223	OG0000030	n31						AMIN006992				
N8.HOG0000224	OG0000030	n34				AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328		AMIN002000				
N8.HOG0000225	OG0000030	n46				AFUN2_006386, AFUN2_012770		AMIN006991, AMIN007005, AMIN007004				
N8.HOG0000226	OG0000030	n51				AFUN2_005352						
N8.HOG0000227	OG0000030	n57						AMIN006994				
N8.HOG0000228	OG0000031	n7				AFUN2_011697						
N8.HOG0000229	OG0000031	n19				AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664						
N8.HOG0000230	OG0000031	n61						AMIN005862, AMIN007507				
N8.HOG0000231	OG0000031	n65						AMIN006442, AMIN004950				
N8.HOG0000232	OG0000031	n69				AFUN2_002494						
N8.HOG0000233	OG0000031	n71				AFUN2_002498						
N8.HOG0000234	OG0000032	n3				AFUN2_000937						
N8.HOG0000235	OG0000032	n27				AFUN2_010173						
N8.HOG0000236	OG0000032	n33				AFUN2_002261						
N8.HOG0000237	OG0000032	n69				AFUN2_003899, AFUN2_006152						
N8.HOG0000238	OG0000032	n70				AFUN2_003826						
N8.HOG0000239	OG0000033	n3						AMIN015509				
N8.HOG0000240	OG0000033	n9				AFUN2_014039		AMIN000381				
N8.HOG0000241	OG0000033	n17				AFUN2_008608						
N8.HOG0000242	OG0000033	n26				AFUN2_002394						
N8.HOG0000243	OG0000033	n42				AFUN2_008977		AMIN014039				
N8.HOG0000244	OG0000033	n46				AFUN2_005452, AFUN2_008949, AFUN2_011104						
N8.HOG0000245	OG0000033	n53				AFUN2_007576						
N8.HOG0000246	OG0000034	n5						AMIN015565				
N8.HOG0000247	OG0000034	n13				AFUN2_000777		AMIN000196				
N8.HOG0000248	OG0000034	n16				AFUN2_002152		AMIN010809				
N8.HOG0000249	OG0000034	n20						AMIN015563				
N8.HOG0000250	OG0000034	n24				AFUN2_005553						
N8.HOG0000251	OG0000034	n27						AMIN015564				
N8.HOG0000252	OG0000034	n29						AMIN015562				
N8.HOG0000253	OG0000034	n32				AFUN2_004371		AMIN015508				
N8.HOG0000254	OG0000034	n39				AFUN2_010024		AMIN004938				
N8.HOG0000255	OG0000034	n45				AFUN2_014222		AMIN010991				
N8.HOG0000256	OG0000035	n8				AFUN2_006151						
N8.HOG0000257	OG0000035	n12				AFUN2_012246, AFUN2_011399						
N8.HOG0000258	OG0000035	n17				AFUN2_012567, AFUN2_008339						
N8.HOG0000259	OG0000035	n19						AMIN007272				
N8.HOG0000260	OG0000035	n30				AFUN2_002432, AFUN2_003652						
N8.HOG0000261	OG0000035	n32				AFUN2_013041, AFUN2_005479						
N8.HOG0000262	OG0000035	n51				AFUN2_014196		AMIN010812, AMIN015498				
N8.HOG0000263	OG0000035	n54				AFUN2_002672		AMIN010811, AMIN010810				
N8.HOG0000264	OG0000035	n57				AFUN2_009607		AMIN015472				
N8.HOG0000265	OG0000035	n58				AFUN2_009222		AMIN010814				
N8.HOG0000266	OG0000035	n60				AFUN2_006146		AMIN010135				
N8.HOG0000267	OG0000035	n64				AFUN2_006683		AMIN007574				
N8.HOG0000268	OG0000037	n8				AFUN2_013181		AMIN002827				
N8.HOG0000269	OG0000037	n18						AMIN006508, AMIN006509				
N8.HOG0000270	OG0000037	n23						AMIN003922				
N8.HOG0000271	OG0000037	n25						AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942				
N8.HOG0000272	OG0000037	n34						AMIN003923, AMIN003925, AMIN003924, AMIN000003				
N8.HOG0000273	OG0000037	n57						AMIN004541				
N8.HOG0000274	OG0000037	n59						AMIN004540				
N8.HOG0000275	OG0000037	n61						AMIN004539				
N8.HOG0000276	OG0000038	n57				AFUN2_013078						
N8.HOG0000277	OG0000038	n63				AFUN2_005392						
N8.HOG0000278	OG0000039	n24				AFUN2_009923		AMIN015958				
N8.HOG0000279	OG0000039	n31				AFUN2_010939		AMIN015957				
N8.HOG0000280	OG0000039	n36				AFUN2_002356		AMIN010824				
N8.HOG0000281	OG0000039	n42				AFUN2_001872		AMIN007947				
N8.HOG0000282	OG0000039	n53				AFUN2_008523, AFUN2_002845						
N8.HOG0000283	OG0000039	n58						AMIN007946				
N8.HOG0000284	OG0000039	n62						AMIN015959				
N8.HOG0000285	OG0000040	n3				AFUN2_012034		AMIN015663				
N8.HOG0000286	OG0000040	n7				AFUN2_000621		AMIN015662				
N8.HOG0000287	OG0000040	n21				AFUN2_012970						
N8.HOG0000288	OG0000040	n25				AFUN2_011961		AMIN015574				
N8.HOG0000289	OG0000040	n31				AFUN2_013533		AMIN015575				
N8.HOG0000290	OG0000040	n40						AMIN001806, AMIN001807				
N8.HOG0000291	OG0000040	n49				AFUN2_004686		AMIN015590				
N8.HOG0000292	OG0000040	n53						AMIN015591				
N8.HOG0000293	OG0000041	n7				AFUN2_000732						
N8.HOG0000294	OG0000041	n15				AFUN2_014438		AMIN008776				
N8.HOG0000295	OG0000041	n26				AFUN2_001049		AMIN008777				
N8.HOG0000296	OG0000041	n34				AFUN2_010115						
N8.HOG0000297	OG0000041	n52				AFUN2_014544		AMIN003187				
N8.HOG0000298	OG0000042	n3				AFUN2_004081		AMIN005907				
N8.HOG0000299	OG0000042	n12				AFUN2_014693		AMIN001699				
N8.HOG0000300	OG0000042	n55				AFUN2_009173		AMIN015669				
N8.HOG0000301	OG0000042	n57				AFUN2_004521		AMIN015668				
N8.HOG0000302	OG0000043	n1						AMIN014336				
N8.HOG0000303	OG0000043	n20				AFUN2_001254, AFUN2_009245						
N8.HOG0000304	OG0000043	n28				AFUN2_013789		AMIN006978				
N8.HOG0000305	OG0000043	n31				AFUN2_000632						
N8.HOG0000306	OG0000043	n36				AFUN2_002010, AFUN2_009895						
N8.HOG0000307	OG0000043	n38				AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359						
N8.HOG0000308	OG0000043	n46				AFUN2_005903, AFUN2_014695, AFUN2_008709, AFUN2_002764, AFUN2_009048						
N8.HOG0000309	OG0000043	n54				AFUN2_005543, AFUN2_009900, AFUN2_010698						
N8.HOG0000310	OG0000045	n0				AFUN2_006680		AMIN001066				
N8.HOG0000311	OG0000046	n49				AFUN2_006305		AMIN002797				
N8.HOG0000312	OG0000046	n53				AFUN2_003082						
N8.HOG0000313	OG0000046	n54				AFUN2_013805						
N8.HOG0000314	OG0000048	n26				AFUN2_006474						
N8.HOG0000315	OG0000048	n30				AFUN2_003419						
N8.HOG0000316	OG0000048	n35				AFUN2_007098, AFUN2_011966						
N8.HOG0000317	OG0000048	n43				AFUN2_007180						
N8.HOG0000318	OG0000048	n48				AFUN2_001025						
N8.HOG0000319	OG0000049	n6				AFUN2_008624		AMIN015888				
N8.HOG0000320	OG0000049	n16						AMIN015886				
N8.HOG0000321	OG0000049	n20				AFUN2_012748		AMIN015889				
N8.HOG0000322	OG0000049	n39				AFUN2_002192, AFUN2_013459		AMIN015891				
N8.HOG0000323	OG0000049	n48						AMIN015890				
N8.HOG0000324	OG0000050	n3				AFUN2_013758						
N8.HOG0000325	OG0000050	n6				AFUN2_004424		AMIN001582				
N8.HOG0000326	OG0000050	n8				AFUN2_000519, AFUN2_007709		AMIN000977				
N8.HOG0000327	OG0000050	n11				AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902		AMIN005873				
N8.HOG0000328	OG0000051	n30				AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721						
N8.HOG0000329	OG0000051	n46						AMIN006620				
N8.HOG0000330	OG0000051	n48						AMIN014521				
N8.HOG0000331	OG0000052	n1						AMIN015582				
N8.HOG0000332	OG0000052	n8				AFUN2_013880		AMIN015585, AMIN015584				
N8.HOG0000333	OG0000053	n12				AFUN2_014363						
N8.HOG0000334	OG0000053	n22				AFUN2_010396						
N8.HOG0000335	OG0000053	n23				AFUN2_010923						
N8.HOG0000336	OG0000053	n25				AFUN2_007355						
N8.HOG0000337	OG0000053	n34				AFUN2_008998						
N8.HOG0000338	OG0000053	n37						AMIN009402				
N8.HOG0000339	OG0000053	n40				AFUN2_014545						
N8.HOG0000340	OG0000053	n42				AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584						
N8.HOG0000341	OG0000053	n51				AFUN2_001373						
N8.HOG0000342	OG0000053	n53				AFUN2_002347						
N8.HOG0000343	OG0000055	n1				AFUN2_003795		AMIN002458				
N8.HOG0000344	OG0000055	n12				AFUN2_007989						
N8.HOG0000345	OG0000055	n22				AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423						
N8.HOG0000346	OG0000056	n31						AMIN004372				
N8.HOG0000347	OG0000057	n27				AFUN2_008318, AFUN2_006014		AMIN006625				
N8.HOG0000348	OG0000057	n40						AMIN006626				
N8.HOG0000349	OG0000057	n47				AFUN2_000600		AMIN014522				
N8.HOG0000350	OG0000058	n17				AFUN2_011854						
N8.HOG0000351	OG0000058	n19				AFUN2_008788		AMIN001846				
N8.HOG0000352	OG0000058	n33				AFUN2_002438						
N8.HOG0000353	OG0000058	n39				AFUN2_002842						
N8.HOG0000354	OG0000058	n45				AFUN2_001688		AMIN009389				
N8.HOG0000355	OG0000059	n7				AFUN2_006267		AMIN016229				
N8.HOG0000356	OG0000059	n17						AMIN016293				
N8.HOG0000357	OG0000059	n28				AFUN2_010578		AMIN010123				
N8.HOG0000358	OG0000059	n33				AFUN2_006502, AFUN2_012387						
N8.HOG0000359	OG0000059	n45				AFUN2_014242, AFUN2_009466						
N8.HOG0000360	OG0000060	n1				AFUN2_014460		AMIN006628				
N8.HOG0000361	OG0000060	n16						AMIN006629				
N8.HOG0000362	OG0000060	n19				AFUN2_011607		AMIN014523				
N8.HOG0000363	OG0000060	n42				AFUN2_000444						
N8.HOG0000364	OG0000060	n46				AFUN2_013952		AMIN006627				
N8.HOG0000365	OG0000061	n1				AFUN2_000988		AMIN006938				
N8.HOG0000366	OG0000061	n15				AFUN2_001934		AMIN007997				
N8.HOG0000367	OG0000061	n31				AFUN2_011828						
N8.HOG0000368	OG0000061	n36				AFUN2_001889						
N8.HOG0000369	OG0000062	n5				AFUN2_010062, AFUN2_011070						
N8.HOG0000370	OG0000062	n9				AFUN2_009059		AMIN001001				
N8.HOG0000371	OG0000062	n17				AFUN2_003714		AMIN000304				
N8.HOG0000372	OG0000062	n25				AFUN2_008839						
N8.HOG0000373	OG0000062	n33				AFUN2_002820						
N8.HOG0000374	OG0000062	n37				AFUN2_013747						
N8.HOG0000375	OG0000062	n41				AFUN2_007462, AFUN2_014711						
