HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N3.HOG0000017	OG0000000	n206		LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227							CQUJHB015940, CQUJHB007839, CQUJHB015977	
N3.HOG0000018	OG0000000	n234		LOC134285298, LOC134291997, LOC134290106, LOC134292183, LOC134286694, LOC134284036, LOC134284840								
N3.HOG0000019	OG0000001	n4	AAEL009009	LOC109404300							CQUJHB008010, CQUJHB014772, CQUJHB013280	
N3.HOG0000020	OG0000001	n30	AAEL008994	LOC109399492								
N3.HOG0000021	OG0000001	n36	AAEL008982	LOC115265056								
N3.HOG0000022	OG0000001	n38	AAEL009013	LOC109404277								
N3.HOG0000023	OG0000001	n40	AAEL008969	LOC109404315							CQUJHB015924, CQUJHB001661	
N3.HOG0000024	OG0000001	n43	AAEL015424	LOC109403110							CQUJHB010167, CQUJHB001086	
N3.HOG0000025	OG0000001	n66	AAEL009004, AAEL008989, AAEL029076, AAEL008995, AAEL008993	LOC109404321, LOC109403117, LOC109404330, LOC115270372							CQUJHB018360, CQUJHB009369	
N3.HOG0000026	OG0000001	n76	AAEL021691, AAEL008966, AAEL029088, AAEL022679, AAEL008979, AAEL008978, AAEL024338, AAEL008971	LOC109403106, LOC109399495, LOC109399494							CQUJHB013215, CQUJHB014800, CQUJHB009138, CQUJHB017315, CQUJHB011736, CQUJHB013108, CQUJHB015333, CQUJHB001788, CQUJHB010747, CQUJHB005225, CQUJHB006667, CQUJHB017242	
N3.HOG0000027	OG0000001	n98	AAEL029122, AAEL029080, AAEL029123, AAEL008975, AAEL015280, AAEL014770, AAEL029092, AAEL009007, AAEL009000, AAEL027622, AAEL008984	LOC109399504, LOC109399503, LOC115270447, LOC109399506, LOC109404363, LOC109399502, LOC109399498, LOC109399497, LOC109404357, LOC134288245, LOC109404353							CQUJHB005142	
N3.HOG0000028	OG0000001	n120	AAEL000665	LOC109425906							CQUJHB015301	
N3.HOG0000029	OG0000001	n122	AAEL015503, AAEL014977	LOC109433067, LOC109403100							CQUJHB001923	
N3.HOG0000030	OG0000001	n126	AAEL008990	LOC109403138							CQUJHB017126	
N3.HOG0000031	OG0000001	n131									CQUJHB010237, CQUJHB007643	
N3.HOG0000032	OG0000001	n168	AAEL025577	LOC115270371							CQUJHB011703	
N3.HOG0000033	OG0000002	n3	AAEL014891	LOC109623203							CQUJHB017007	
N3.HOG0000034	OG0000002	n38	AAEL014893	LOC115269310, LOC109623208							CQUJHB007871	
N3.HOG0000035	OG0000002	n41	AAEL014890	LOC115269311							CQUJHB001163	
N3.HOG0000036	OG0000002	n66	AAEL009127	LOC109421559							CQUJHB009563, CQUJHB004450, CQUJHB000426	
N3.HOG0000037	OG0000002	n91	AAEL009128, AAEL017297, AAEL009117, AAEL009125	LOC109409168							CQUJHB002682	
N3.HOG0000038	OG0000002	n109	AAEL010151, AAEL010158	LOC109398259, LOC109398237							CQUJHB008354	
N3.HOG0000039	OG0000002	n120	AAEL009137, AAEL009133, AAEL009122	LOC109421551, LOC109409211, LOC109409210								
N3.HOG0000040	OG0000002	n130	AAEL017539	LOC109425972							CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269	
N3.HOG0000041	OG0000002	n146									CQUJHB003944	
N3.HOG0000042	OG0000002	n155	AAEL017556, AAEL009138	LOC109421555, LOC109421477							CQUJHB016230, CQUJHB010731	
N3.HOG0000043	OG0000002	n161	AAEL009121	LOC109421549							CQUJHB000319	
N3.HOG0000044	OG0000002	n163	AAEL009124, AAEL009126	LOC109409164, LOC109421553							CQUJHB014958	
N3.HOG0000045	OG0000003	n2		LOC134283927, LOC134285071, LOC134291347, LOC134291564, LOC134287398, LOC109420339								
N3.HOG0000046	OG0000003	n14		LOC109406993							CQUJHB006472, CQUJHB009886	
N3.HOG0000047	OG0000003	n18		LOC109398012, LOC134292231								
N3.HOG0000048	OG0000003	n20		LOC134288454, LOC134289457								
N3.HOG0000049	OG0000003	n22		LOC134286445, LOC134287999							CQUJHB007414	
N3.HOG0000050	OG0000003	n29		LOC134286363, LOC134288671, LOC115270324, LOC134288876							CQUJHB009648	
N3.HOG0000051	OG0000003	n33		LOC134290976, LOC134287605, LOC134289663, LOC134290825, LOC134284111, LOC134290821							CQUJHB001690	
N3.HOG0000052	OG0000003	n45		LOC134288869							CQUJHB009884, CQUJHB004784	
N3.HOG0000053	OG0000003	n49		LOC134290846							CQUJHB017576	
N3.HOG0000054	OG0000003	n50		LOC134288099, LOC134288468							CQUJHB014196, CQUJHB010120	
N3.HOG0000055	OG0000003	n53		LOC134291714, LOC115258749, LOC134287556, LOC115256440								
N3.HOG0000056	OG0000003	n57		LOC134286452, LOC134286336								
N3.HOG0000057	OG0000003	n58		LOC115259248							CQUJHB014856	
N3.HOG0000058	OG0000003	n59		LOC134288074, LOC134288660, LOC134290802, LOC134286847, LOC134289596, LOC109404776							CQUJHB002361	
N3.HOG0000059	OG0000003	n65		LOC134285406, LOC134288128								
N3.HOG0000060	OG0000003	n66		LOC115260714, LOC134284100							CQUJHB007185	
N3.HOG0000061	OG0000003	n73									CQUJHB003254, CQUJHB003273	
N3.HOG0000062	OG0000003	n80		LOC134288397							CQUJHB001475	
N3.HOG0000063	OG0000003	n83		LOC134284661								
N3.HOG0000064	OG0000003	n84		LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733							CQUJHB001577, CQUJHB000234	
N3.HOG0000065	OG0000003	n95		LOC134287668, LOC134290869, LOC134286416, LOC134290695, LOC134287787, LOC134284039, LOC134284958, LOC109398612, LOC134287950, LOC134284742, LOC134288900, LOC134286312, LOC134290579, LOC134287532, LOC134286006, LOC134291858, LOC134290045							CQUJHB015512, CQUJHB001017	
N3.HOG0000066	OG0000003	n113		LOC134285622, LOC134286328							CQUJHB008833	
N3.HOG0000067	OG0000003	n115		LOC134290508, LOC115268916, LOC134287570, LOC134286687, LOC134290952, LOC134285216, LOC134285947							CQUJHB001275, CQUJHB013591	
N3.HOG0000068	OG0000003	n124		LOC134287672								
N3.HOG0000069	OG0000003	n129		LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827							CQUJHB017073	
N3.HOG0000070	OG0000003	n141		LOC134288203, LOC115259988								
N3.HOG0000071	OG0000004	n16		LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554								
N3.HOG0000072	OG0000004	n25									CQUJHB011428	
N3.HOG0000073	OG0000004	n26									CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640	
N3.HOG0000074	OG0000004	n32	AAEL015682	LOC109398605, LOC109398661							CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412	
N3.HOG0000075	OG0000004	n38		LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103							CQUJHB007447	
N3.HOG0000076	OG0000004	n79	AAEL022865, AAEL024711, AAEL026969									
N3.HOG0000077	OG0000004	n83	AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426	LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487							CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992	
N3.HOG0000078	OG0000005	n1	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599	LOC134284592								
N3.HOG0000079	OG0000005	n29	AAEL020343, AAEL026864									
N3.HOG0000080	OG0000005	n38	AAEL027063									
N3.HOG0000081	OG0000005	n55	AAEL023870								CQUJHB015326, CQUJHB016505	
N3.HOG0000082	OG0000005	n57	AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562							CQUJHB001878, CQUJHB005849, CQUJHB005832	
N3.HOG0000083	OG0000006	n14	AAEL019665								CQUJHB001727	
N3.HOG0000084	OG0000006	n17	AAEL025985, AAEL013375, AAEL024806, AAEL022442	LOC134287667, LOC134284060, LOC134287526, LOC134285602, LOC134287214								
N3.HOG0000085	OG0000006	n27		LOC134285105								
N3.HOG0000086	OG0000006	n40		LOC134288141, LOC134291130								
N3.HOG0000087	OG0000006	n50	AAEL026752	LOC134291131							CQUJHB000743	
N3.HOG0000088	OG0000007	n2									CQUJHB002742	
N3.HOG0000089	OG0000007	n3									CQUJHB016780	
N3.HOG0000090	OG0000008	n1									CQUJHB014582, CQUJHB016283	
N3.HOG0000091	OG0000008	n30	AAEL014617, AAEL014613	LOC109426418, LOC134289744							CQUJHB001648	
N3.HOG0000092	OG0000008	n34	AAEL014615	LOC109426424							CQUJHB013802	
N3.HOG0000093	OG0000008	n36		LOC109403928, LOC134289746, LOC109426415, LOC134291979								
N3.HOG0000094	OG0000008	n40	AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366	LOC134291978, LOC134291018, LOC109403845, LOC109426416							CQUJHB008227, CQUJHB003756	
N3.HOG0000095	OG0000008	n50	AAEL002638, AAEL002633	LOC109433244, LOC109424185, LOC115258886							CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915	
N3.HOG0000096	OG0000008	n58	AAEL014619, AAEL019603	LOC109403897, LOC109426422, LOC115254008, LOC109426419							CQUJHB018038	
N3.HOG0000097	OG0000008	n87	AAEL006795	LOC109403786							CQUJHB017383	
N3.HOG0000098	OG0000008	n98	AAEL014605, AAEL014614	LOC109403754, LOC109426407							CQUJHB016685, CQUJHB005146	
N3.HOG0000099	OG0000008	n103	AAEL006815, AAEL006784	LOC109426413, LOC109426414							CQUJHB012207	
N3.HOG0000100	OG0000008	n107	AAEL006805, AAEL028635	LOC109403795, LOC109426411, LOC109426410								
N3.HOG0000101	OG0000008	n111	AAEL014618	LOC109426408							CQUJHB014535, CQUJHB007135	
N3.HOG0000102	OG0000008	n114	AAEL014604, AAEL019504	LOC109426420, LOC134283913							CQUJHB011337	
N3.HOG0000103	OG0000009	n14	AAEL020927								CQUJHB014156	
N3.HOG0000104	OG0000009	n17		LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330							CQUJHB017603	
N3.HOG0000105	OG0000009	n24		LOC109404502							CQUJHB014894, CQUJHB006007	
N3.HOG0000106	OG0000009	n27	AAEL020601									
N3.HOG0000107	OG0000009	n32	AAEL012499	LOC109405821								
N3.HOG0000108	OG0000009	n34	AAEL003706, AAEL003687									
N3.HOG0000109	OG0000009	n36		LOC115264628							CQUJHB008990	
N3.HOG0000110	OG0000009	n38	AAEL003669								CQUJHB014655, CQUJHB005147	
N3.HOG0000111	OG0000009	n40									CQUJHB003321, CQUJHB004474	
N3.HOG0000112	OG0000009	n71		LOC115253798								
N3.HOG0000113	OG0000009	n72	AAEL022062, AAEL021518, AAEL022584, AAEL020050	LOC115270076, LOC109404534, LOC109431220								
N3.HOG0000114	OG0000009	n81	AAEL020348	LOC134284429								
N3.HOG0000115	OG0000009	n94		LOC134284430								
N3.HOG0000116	OG0000009	n96	AAEL022197									
N3.HOG0000117	OG0000009	n106	AAEL021347, AAEL021778, AAEL021459	LOC134284416, LOC115254131, LOC115255182							CQUJHB010981	
N3.HOG0000118	OG0000009	n114		LOC109621651							CQUJHB011165	
N3.HOG0000119	OG0000009	n115		LOC109397481								
N3.HOG0000120	OG0000009	n116	AAEL007005	LOC109404592								
N3.HOG0000121	OG0000010	n3	AAEL008218	LOC109432023							CQUJHB010392	
N3.HOG0000122	OG0000010	n17	AAEL008217	LOC115265384							CQUJHB008428	
N3.HOG0000123	OG0000010	n19		LOC109409744							CQUJHB007624	
N3.HOG0000124	OG0000010	n20	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	LOC109432002, LOC109431992, LOC115265379, LOC109432055							CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	
N3.HOG0000125	OG0000010	n102	AAEL008212	LOC109432112, LOC109432077							CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579	
N3.HOG0000126	OG0000011	n2									CQUJHB010034, CQUJHB012166	
N3.HOG0000127	OG0000011	n10	AAEL025558								CQUJHB005466	
N3.HOG0000128	OG0000011	n17	AAEL021195	LOC109411313							CQUJHB017782	
N3.HOG0000129	OG0000011	n25	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602							CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	
N3.HOG0000130	OG0000012	n2	AAEL006158									
N3.HOG0000131	OG0000012	n9	AAEL027861	LOC109413799								
N3.HOG0000132	OG0000012	n13	AAEL009284, AAEL009296	LOC109409461, LOC109409491							CQUJHB005776, CQUJHB000447	
N3.HOG0000133	OG0000012	n24									CQUJHB005320	
N3.HOG0000134	OG0000012	n33									CQUJHB003479	
N3.HOG0000135	OG0000012	n45	AAEL020629, AAEL020985, AAEL020370, AAEL021821	LOC134292035, LOC134288780							CQUJHB015331	
N3.HOG0000136	OG0000012	n52	AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810	LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846							CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	
N3.HOG0000137	OG0000012	n83	AAEL021754	LOC115270054								
N3.HOG0000138	OG0000012	n87									CQUJHB006849	
N3.HOG0000139	OG0000012	n88									CQUJHB017365, CQUJHB001464, CQUJHB015627, CQUJHB008015	
N3.HOG0000140	OG0000012	n94	AAEL011424	LOC134289521								
N3.HOG0000141	OG0000013	n1	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044							CQUJHB005557, CQUJHB003968	
N3.HOG0000142	OG0000013	n52	AAEL023763, AAEL002110	LOC109429135							CQUJHB001230	
N3.HOG0000143	OG0000013	n60	AAEL002099	LOC109409015							CQUJHB017291	
N3.HOG0000144	OG0000013	n66	AAEL026306, AAEL027846, AAEL028212, AAEL002092	LOC109409017, LOC109429134							CQUJHB016730, CQUJHB002448, CQUJHB016895	
N3.HOG0000145	OG0000014	n10	AAEL003156	LOC109621611, LOC109400072							CQUJHB010535	
N3.HOG0000146	OG0000014	n16	AAEL007942	LOC109426996							CQUJHB016652	
N3.HOG0000147	OG0000014	n18	AAEL020192	LOC109419319							CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118	
N3.HOG0000148	OG0000014	n37	AAEL011007	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246							CQUJHB005028	
N3.HOG0000149	OG0000015	n22		LOC109428787							CQUJHB008332	
N3.HOG0000150	OG0000015	n25	AAEL010677								CQUJHB014108, CQUJHB006827	
N3.HOG0000151	OG0000015	n38	AAEL010671	LOC109401312							CQUJHB017458	
N3.HOG0000152	OG0000015	n68	AAEL017179	LOC109399647							CQUJHB004989, CQUJHB013505	
N3.HOG0000153	OG0000015	n71	AAEL007669, AAEL029052, AAEL017320, AAEL017302, AAEL001461, AAEL017452	LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782, LOC109399572, LOC109400780, LOC109400781, LOC109399573, LOC115265241, LOC109403546, LOC109422912, LOC109399576, LOC115267834							CQUJHB001525, CQUJHB015763, CQUJHB012741	
N3.HOG0000154	OG0000016	n10									CQUJHB006645	
N3.HOG0000155	OG0000016	n11									CQUJHB016247	
N3.HOG0000156	OG0000016	n48	AAEL010202, AAEL013712, AAEL010196	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485							CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597	
N3.HOG0000157	OG0000016	n60	AAEL013703	LOC134284267							CQUJHB015483, CQUJHB013841, CQUJHB014607	
N3.HOG0000158	OG0000016	n64	AAEL007601, AAEL023729, AAEL013715	LOC134284491, LOC134284266, LOC134284489, LOC134284490								
N3.HOG0000159	OG0000016	n70	AAEL012852	LOC109397098							CQUJHB001605	
N3.HOG0000160	OG0000016	n72	AAEL006425	LOC109407316							CQUJHB016745, CQUJHB011147, CQUJHB016507	
N3.HOG0000161	OG0000016	n83	AAEL007818	LOC109411296							CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767	
N3.HOG0000162	OG0000016	n88	AAEL004996	LOC109622023							CQUJHB016639	
N3.HOG0000163	OG0000017	n4	AAEL003846	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071								
N3.HOG0000164	OG0000017	n16	AAEL003689									
N3.HOG0000165	OG0000017	n17	AAEL021540	LOC109420140								
N3.HOG0000166	OG0000017	n29	AAEL021577	LOC115264614								
N3.HOG0000167	OG0000017	n51	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	LOC109431229, LOC109404554							CQUJHB006040, CQUJHB006644	
N3.HOG0000168	OG0000017	n64	AAEL020914	LOC115264622								
N3.HOG0000169	OG0000017	n67	AAEL021529	LOC109397483								
N3.HOG0000170	OG0000017	n68	AAEL021405	LOC115264629								
N3.HOG0000171	OG0000017	n70	AAEL000517									
N3.HOG0000172	OG0000017	n71	AAEL003673	LOC109431226								
N3.HOG0000173	OG0000017	n72		LOC109431205								
N3.HOG0000174	OG0000017	n73	AAEL021516									
N3.HOG0000175	OG0000017	n74	AAEL021956	LOC115270064								
N3.HOG0000176	OG0000017	n75	AAEL021604									
N3.HOG0000177	OG0000017	n77	AAEL013709	LOC115261275								
N3.HOG0000178	OG0000017	n78	AAEL020831									
N3.HOG0000179	OG0000017	n79		LOC109407174								
N3.HOG0000180	OG0000017	n80		LOC109420100							CQUJHB017511	
N3.HOG0000181	OG0000017	n84	AAEL021350									
N3.HOG0000182	OG0000017	n85	AAEL020032	LOC109397470								
N3.HOG0000183	OG0000018	n8	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637							CQUJHB002387, CQUJHB001966	
N3.HOG0000184	OG0000018	n24		LOC109621615							CQUJHB005508	
N3.HOG0000185	OG0000018	n26	AAEL023871, AAEL018047	LOC109414562								
N3.HOG0000186	OG0000018	n29	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374									
N3.HOG0000187	OG0000018	n36		LOC134287442								
N3.HOG0000188	OG0000018	n39		LOC115256715								
N3.HOG0000189	OG0000018	n72	AAEL020762, AAEL026324	LOC115260339								
N3.HOG0000190	OG0000019	n6		LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903							CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035	
N3.HOG0000191	OG0000019	n59		LOC134290461							CQUJHB010353, CQUJHB017625, CQUJHB011151, CQUJHB009551, CQUJHB000379, CQUJHB015659, CQUJHB012970, CQUJHB000572, CQUJHB005444	
N3.HOG0000192	OG0000019	n68		LOC134290048, LOC134286534, LOC134290052, LOC134290129, LOC134291041, LOC134290401							CQUJHB010983	
N3.HOG0000193	OG0000019	n74		LOC134289481, LOC134288699, LOC134288992, LOC134286273, LOC134289517							CQUJHB002061, CQUJHB002839, CQUJHB017860	
N3.HOG0000194	OG0000019	n82		LOC134290831, LOC134291988								
N3.HOG0000195	OG0000020	n1	AAEL029084, AAEL029082								CQUJHB016342, CQUJHB004831	
N3.HOG0000196	OG0000020	n5	AAEL008681	LOC109406040							CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	
N3.HOG0000197	OG0000021	n4	AAEL004631	LOC109404004							CQUJHB005197	
N3.HOG0000198	OG0000021	n10	AAEL001673	LOC115267287							CQUJHB014638	
N3.HOG0000199	OG0000021	n20	AAEL011197	LOC115253654							CQUJHB010956	
N3.HOG0000200	OG0000021	n29	AAEL004616	LOC109432057							CQUJHB016733	
N3.HOG0000201	OG0000021	n40	AAEL001928	LOC109412626							CQUJHB010858	
N3.HOG0000202	OG0000021	n49	AAEL009451	LOC109432714							CQUJHB012948	
N3.HOG0000203	OG0000021	n56	AAEL001951	LOC109412625							CQUJHB015628	
N3.HOG0000204	OG0000021	n64	AAEL005964	LOC109401551								
