HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N2.HOG0000018	OG0000002	n15			ADIR003458	AFUN2_008570	AGAP002865	AMIN016106	ASIC003135	ASTEI20_038121		
N2.HOG0000019	OG0000002	n20				AFUN2_013651, AFUN2_013390, AFUN2_014070	AGAP002866, AGAP002867	AMIN016109, AMIN016110, AMIN016108	ASIC003136	ASTEI20_035875, ASTEI20_036499		
N2.HOG0000020	OG0000002	n32				AFUN2_009636	AGAP002870	AMIN016111	ASIC003140	ASTEI20_043191		
N2.HOG0000021	OG0000002	n61			ADIR016070							
N2.HOG0000022	OG0000002	n72			ADIR016077	AFUN2_009035	AGAP008212	AMIN006066	ASIC004047	ASTEI20_032133, ASTEI20_045226		
N2.HOG0000023	OG0000002	n80			ADIR016078	AFUN2_002132	AGAP008214		ASIC004049	ASTEI20_045592, ASTEI20_043030		
N2.HOG0000024	OG0000002	n85			ADIR016076	AFUN2_005303	AGAP008213		ASIC004048	ASTEI20_031161, ASTEI20_041459		
N2.HOG0000025	OG0000002	n90			ADIR016098				ASIC010653			
N2.HOG0000026	OG0000002	n91			ADIR016100, ADIR016102	AFUN2_006796	AGAP008209		ASIC004044	ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828		
N2.HOG0000027	OG0000002	n109			ADIR016074	AFUN2_005756	AGAP008206	AMIN006068	ASIC006840	ASTEI20_034857, ASTEI20_036438		
N2.HOG0000028	OG0000002	n120			ADIR016075	AFUN2_002248	AGAP008205		ASIC006841			
N2.HOG0000029	OG0000002	n130			ADIR002023	AFUN2_003508	AGAP011028, AGAP011029	AMIN004360	ASIC014765, ASIC014766	ASTEI20_036203		
N2.HOG0000030	OG0000002	n146			ADIR016072		AGAP008207		ASIC006839			
N2.HOG0000031	OG0000002	n149			ADIR006361			AMIN006067	ASIC004039, ASIC004046	ASTEI20_040919		
N2.HOG0000032	OG0000003	n43			ADIR014450							
N2.HOG0000033	OG0000003	n75			ADIR011510			AMIN006496				
N2.HOG0000034	OG0000003	n83					AGAP010309					
N2.HOG0000035	OG0000003	n84				AFUN2_013652				ASTEI20_037049		
N2.HOG0000036	OG0000003	n124								ASTEI20_034440		
N2.HOG0000037	OG0000003	n127				AFUN2_012891, AFUN2_004364						
N2.HOG0000038	OG0000003	n129				AFUN2_004469				ASTEI20_032078, ASTEI20_031811		
N2.HOG0000039	OG0000003	n141				AFUN2_009844						
N2.HOG0000040	OG0000004	n48				AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657	AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894	AMIN006962		ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097		
N2.HOG0000041	OG0000004	n79			ADIR001878		AGAP012555					
N2.HOG0000042	OG0000005	n29				AFUN2_007230, AFUN2_004842	AGAP028034, AGAP028149	AMIN005016		ASTEI20_042070, ASTEI20_038750, ASTEI20_037103		
N2.HOG0000043	OG0000005	n38				AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443	AGAP011193, AGAP005264, AGAP005266, AGAP005265			ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804		
N2.HOG0000044	OG0000006	n14						AMIN002115				
N2.HOG0000045	OG0000006	n27				AFUN2_007708, AFUN2_009331		AMIN006479	ASIC000906	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144		
N2.HOG0000046	OG0000006	n40				AFUN2_001908, AFUN2_009118, AFUN2_013138			ASIC015100	ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568		
N2.HOG0000047	OG0000006	n51					AGAP029261		ASIC002536			
N2.HOG0000048	OG0000006	n56			ADIR004457	AFUN2_004254	AGAP002950	AMIN000978	ASIC012877, ASIC006098	ASTEI20_037125		
N2.HOG0000049	OG0000006	n65				AFUN2_010056	AGAP012782, AGAP003624, AGAP007639, AGAP000408	AMIN009886	ASIC022014			
N2.HOG0000050	OG0000006	n71				AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646	AGAP000105			ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782		
N2.HOG0000051	OG0000006	n95			ADIR002576	AFUN2_012202, AFUN2_013718, AFUN2_006489, AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532	AGAP029348, AGAP029433, AGAP029795, AGAP029344	AMIN005876, AMIN004546, AMIN005875		ASTEI20_034128, ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451		
N2.HOG0000052	OG0000007	n2			ADIR014622							
N2.HOG0000053	OG0000007	n3			ADIR009668, ADIR009667, ADIR009607, ADIR009608, ADIR014842, ADIR000815, ADIR009669, ADIR009588, ADIR009595, ADIR009594, ADIR009596, ADIR015954, ADIR015955, ADIR009593, ADIR009598, ADIR009597	AFUN2_004043, AFUN2_006670, AFUN2_001709, AFUN2_014614, AFUN2_009778, AFUN2_001920, AFUN2_011937, AFUN2_005862, AFUN2_011780, AFUN2_012023, AFUN2_007690, AFUN2_003406, AFUN2_006859, AFUN2_003170	AGAP012816, AGAP028684, AGAP012741, AGAP029788, AGAP029778, AGAP028587, AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027, AGAP029273, AGAP012918, AGAP012919, AGAP028671, AGAP029613, AGAP012767, AGAP029743, AGAP012768, AGAP012722, AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742, AGAP028673, AGAP028674, AGAP000164, AGAP028159, AGAP028040, AGAP029454, AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546, AGAP028672, AGAP012719, AGAP011409, AGAP028668, AGAP011403, AGAP011405, AGAP012742, AGAP029787, AGAP028625, AGAP028678, AGAP029296, AGAP012832, AGAP028675, AGAP028676, AGAP028677	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959		ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387		
N2.HOG0000054	OG0000008	n1			ADIR003918	AFUN2_005813	AGAP000818	AMIN005546	ASIC020436	ASTEI20_031614		
N2.HOG0000055	OG0000008	n65				AFUN2_011626	AGAP012850, AGAP012295, AGAP012293, AGAP012294		ASIC017821, ASIC017823, ASIC017822	ASTEI20_045981		
N2.HOG0000056	OG0000008	n73			ADIR000457	AFUN2_014353, AFUN2_012060	AGAP012296	AMIN006880, AMIN006881	ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814	ASTEI20_045188		
N2.HOG0000057	OG0000008	n85			ADIR000455			AMIN006884				
N2.HOG0000058	OG0000008	n87				AFUN2_001736	AGAP012291		ASIC017825	ASTEI20_044670		
N2.HOG0000059	OG0000008	n93				AFUN2_010492	AGAP012292		ASIC017824	ASTEI20_031005		
N2.HOG0000060	OG0000009	n27							ASIC018178			
N2.HOG0000061	OG0000009	n32				AFUN2_002572						
N2.HOG0000062	OG0000009	n34					AGAP011845					
N2.HOG0000063	OG0000009	n36			ADIR005579							
N2.HOG0000064	OG0000009	n71					AGAP003911					
N2.HOG0000065	OG0000009	n72			ADIR001877	AFUN2_007461			ASIC018203			
N2.HOG0000066	OG0000009	n81					AGAP012895					
N2.HOG0000067	OG0000009	n94				AFUN2_009063						
N2.HOG0000068	OG0000009	n96				AFUN2_011932						
N2.HOG0000069	OG0000009	n102				AFUN2_009447	AGAP003913					
N2.HOG0000070	OG0000009	n115				AFUN2_014561						
N2.HOG0000071	OG0000010	n3				AFUN2_008829	AGAP007252		ASIC007845			
N2.HOG0000072	OG0000010	n10				AFUN2_000320	AGAP002432, AGAP007262		ASIC007831, ASIC007832	ASTEI20_038744		
N2.HOG0000073	OG0000010	n37			ADIR016002	AFUN2_014109	AGAP007251	AMIN016052	ASIC007846, ASIC015160	ASTEI20_038323		
N2.HOG0000074	OG0000010	n45			ADIR016004	AFUN2_009560	AGAP006673	AMIN016057	ASIC015159	ASTEI20_041896		
N2.HOG0000075	OG0000010	n51			ADIR016001		AGAP006674	AMIN016054	ASIC015158, ASIC015157	ASTEI20_032085		
N2.HOG0000076	OG0000010	n56			ADIR014645	AFUN2_009244	AGAP006675	AMIN016053	ASIC015156	ASTEI20_034511		
N2.HOG0000077	OG0000010	n64				AFUN2_008846	AGAP005671, AGAP005670		ASIC012971, ASIC012972, ASIC012980, ASIC012979	ASTEI20_045103, ASTEI20_045045		
N2.HOG0000078	OG0000010	n72				AFUN2_008281	AGAP005669		ASIC012975, ASIC012976, ASIC012973, ASIC012978	ASTEI20_037148, ASTEI20_039539		
N2.HOG0000079	OG0000010	n79				AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647	AGAP005663, AGAP005665, AGAP005664			ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362		
N2.HOG0000080	OG0000010	n94				AFUN2_010091	AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736			ASTEI20_037332		
N2.HOG0000081	OG0000011	n2			ADIR006800	AFUN2_011181	AGAP028042	AMIN001659	ASIC010773	ASTEI20_036542		
N2.HOG0000082	OG0000011	n12			ADIR010578	AFUN2_008927	AGAP013465	AMIN004643		ASTEI20_039975		
N2.HOG0000083	OG0000011	n17			ADIR006803	AFUN2_000890	AGAP008893	AMIN001662	ASIC010781	ASTEI20_040335		
N2.HOG0000084	OG0000011	n61			ADIR000515	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991	AMIN009342	ASIC002471, ASIC002472, ASIC002470, ASIC004942, ASIC002469	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205		
N2.HOG0000085	OG0000011	n91			ADIR000517	AFUN2_002952	AGAP028013, AGAP028067, AGAP012676		ASIC004928	ASTEI20_032335, ASTEI20_044907		
N2.HOG0000086	OG0000012	n2			ADIR002719					ASTEI20_044217		
N2.HOG0000087	OG0000012	n9				AFUN2_005969	AGAP001813					
N2.HOG0000088	OG0000012	n13				AFUN2_008516	AGAP007508		ASIC006970	ASTEI20_043553, ASTEI20_035093		
N2.HOG0000089	OG0000012	n24				AFUN2_003802						
N2.HOG0000090	OG0000012	n29							ASIC017981, ASIC018092			
N2.HOG0000091	OG0000012	n45					AGAP012559					
N2.HOG0000092	OG0000012	n52					AGAP012709					
N2.HOG0000093	OG0000012	n84					AGAP012572					
N2.HOG0000094	OG0000012	n85				AFUN2_008107	AGAP003910					
N2.HOG0000095	OG0000012	n87					AGAP012197					
N2.HOG0000096	OG0000012	n88			ADIR015597					ASTEI20_038389		
N2.HOG0000097	OG0000012	n93			ADIR001876			AMIN015674				
N2.HOG0000098	OG0000012	n94					AGAP012196	AMIN015676				
N2.HOG0000099	OG0000013	n32			ADIR010434, ADIR010435	AFUN2_008231		AMIN003474, AMIN003475	ASIC015707	ASTEI20_044393		
N2.HOG0000100	OG0000013	n38				AFUN2_000667		AMIN003476	ASIC015704, ASIC015706, ASIC015705, ASIC015708	ASTEI20_036070, ASTEI20_034401		
N2.HOG0000101	OG0000013	n45					AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669					
N2.HOG0000102	OG0000013	n52				AFUN2_002726	AGAP003378			ASTEI20_042039		
N2.HOG0000103	OG0000013	n60				AFUN2_011275	AGAP003384		ASIC011345	ASTEI20_033404		
N2.HOG0000104	OG0000013	n66			ADIR003492	AFUN2_004549, AFUN2_003503, AFUN2_006795	AGAP003385, AGAP003379	AMIN003883	ASIC011343, ASIC011344	ASTEI20_042237, ASTEI20_043320		
N2.HOG0000105	OG0000013	n85				AFUN2_014386	AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380			ASTEI20_034998, ASTEI20_034168		
N2.HOG0000106	OG0000014	n3			ADIR005075	AFUN2_006975	AGAP009728	AMIN009469	ASIC022136	ASTEI20_035937		
N2.HOG0000107	OG0000014	n49			ADIR007771	AFUN2_010356	AGAP005848	AMIN011187	ASIC016031, ASIC016164, ASIC016877, ASIC016850	ASTEI20_030803		
N2.HOG0000108	OG0000014	n58			ADIR003639	AFUN2_013192, AFUN2_003737	AGAP028439, AGAP006743		ASIC016176, ASIC016175, ASIC016177	ASTEI20_045732, ASTEI20_043799, ASTEI20_033207		
N2.HOG0000109	OG0000014	n68			ADIR001674, ADIR001675	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	AGAP004917, AGAP004918, AGAP004916	AMIN011445	ASIC016174, ASIC016178	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712		
N2.HOG0000110	OG0000015	n25			ADIR006886	AFUN2_012161	AGAP005645	AMIN010186	ASIC018932, ASIC018930, ASIC018931	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231		
N2.HOG0000111	OG0000015	n43			ADIR014733	AFUN2_000980	AGAP005503	AMIN015544		ASTEI20_044899		
N2.HOG0000112	OG0000015	n49			ADIR008681				ASIC012465			
N2.HOG0000113	OG0000015	n50				AFUN2_004072, AFUN2_012163	AGAP005502, AGAP005501	AMIN015543, AMIN015541	ASIC012464, ASIC012462	ASTEI20_031600, ASTEI20_037282		
N2.HOG0000114	OG0000015	n59			ADIR014730	AFUN2_005101	AGAP005500	AMIN015542				
N2.HOG0000115	OG0000015	n62			ADIR008680	AFUN2_004396	AGAP005499	AMIN010826	ASIC012461	ASTEI20_034188		
N2.HOG0000116	OG0000016	n2				AFUN2_009580	AGAP004770	AMIN008109				
N2.HOG0000117	OG0000016	n5			ADIR009722	AFUN2_008470	AGAP008861		ASIC010724	ASTEI20_044818		
N2.HOG0000118	OG0000016	n21				AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294		ASIC010602, ASIC010601, ASIC010600, ASIC010599	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566		
N2.HOG0000119	OG0000016	n36				AFUN2_014351			ASIC010595, ASIC010598	ASTEI20_040856		
N2.HOG0000120	OG0000016	n39				AFUN2_010177	AGAP012842, AGAP008291, AGAP008290		ASIC003871	ASTEI20_042351		
N2.HOG0000121	OG0000016	n76			ADIR009355	AFUN2_004982	AGAP009966	AMIN006761	ASIC002621	ASTEI20_033956		
N2.HOG0000122	OG0000017	n4			ADIR001584	AFUN2_003556, AFUN2_007093	AGAP012558			ASTEI20_041579		
N2.HOG0000123	OG0000017	n16				AFUN2_006574						
N2.HOG0000124	OG0000017	n17					AGAP010724					
N2.HOG0000125	OG0000017	n43				AFUN2_014268	AGAP012885					
N2.HOG0000126	OG0000017	n51				AFUN2_008822	AGAP012574	AMIN004079				
N2.HOG0000127	OG0000017	n64				AFUN2_002118		AMIN009236				
N2.HOG0000128	OG0000017	n70					AGAP003909					
N2.HOG0000129	OG0000017	n72				AFUN2_005588						
N2.HOG0000130	OG0000017	n73				AFUN2_001925						
N2.HOG0000131	OG0000017	n75				AFUN2_006866						
N2.HOG0000132	OG0000017	n79				AFUN2_008959						
N2.HOG0000133	OG0000017	n80				AFUN2_000914	AGAP005026	AMIN011507				
N2.HOG0000134	OG0000017	n84					AGAP012586					
N2.HOG0000135	OG0000017	n85				AFUN2_003468						
N2.HOG0000136	OG0000018	n36				AFUN2_013059				ASTEI20_033285, ASTEI20_031707		
N2.HOG0000137	OG0000018	n39			ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364	AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911	AGAP028579, AGAP013250	AMIN004545, AMIN006661, AMIN009874		ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491		
N2.HOG0000138	OG0000018	n72			ADIR006748	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	AGAP029431	AMIN006478		ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074		
N2.HOG0000139	OG0000019	n3			ADIR011725	AFUN2_003589						
N2.HOG0000140	OG0000019	n74				AFUN2_002117						
N2.HOG0000141	OG0000019	n82				AFUN2_003893						
N2.HOG0000142	OG0000020	n1							ASIC005578			
N2.HOG0000143	OG0000020	n5			ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393	ASIC010160	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201		
N2.HOG0000144	OG0000021	n4				AFUN2_013453		AMIN015466	ASIC006150	ASTEI20_031602		
N2.HOG0000145	OG0000021	n10			ADIR003865	AFUN2_010217		AMIN015467	ASIC012218	ASTEI20_042507		
N2.HOG0000146	OG0000021	n20			ADIR001186	AFUN2_001683	AGAP000651	AMIN015464	ASIC007587	ASTEI20_033844		
N2.HOG0000147	OG0000021	n32				AFUN2_001836		AMIN015465	ASIC006151	ASTEI20_036164		
N2.HOG0000148	OG0000021	n35			ADIR002970				ASIC010309			
N2.HOG0000149	OG0000021	n43			ADIR000303	AFUN2_011639	AGAP011516			ASTEI20_042388		
N2.HOG0000150	OG0000021	n49			ADIR010427	AFUN2_002771	AGAP001676		ASIC015692	ASTEI20_042454		
N2.HOG0000151	OG0000021	n56			ADIR015616	AFUN2_007302	AGAP011515	AMIN015484	ASIC010311	ASTEI20_044345		
N2.HOG0000152	OG0000021	n64			ADIR015615, ADIR015614, ADIR002969	AFUN2_014571		AMIN015482, AMIN015483	ASIC010313	ASTEI20_032692		
N2.HOG0000153	OG0000021	n73				AFUN2_010167			ASIC010312	ASTEI20_040880		
N2.HOG0000154	OG0000022	n6								ASTEI20_044612, ASTEI20_045722		
N2.HOG0000155	OG0000022	n9			ADIR009686	AFUN2_003020		AMIN001285				
N2.HOG0000156	OG0000022	n15				AFUN2_009564, AFUN2_014204, AFUN2_008458, AFUN2_006596		AMIN001286, AMIN008873, AMIN003189				
N2.HOG0000157	OG0000022	n44			ADIR005598	AFUN2_002978						
N2.HOG0000158	OG0000023	n2			ADIR006953	AFUN2_002757	AGAP006253	AMIN008079	ASIC003003	ASTEI20_036442		
N2.HOG0000159	OG0000023	n10				AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	AMIN002713, AMIN003921, AMIN002716, AMIN002718	ASIC013723	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887		
N2.HOG0000160	OG0000023	n37			ADIR004298			AMIN007647, AMIN007646	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	ASTEI20_034207, ASTEI20_038660		
N2.HOG0000161	OG0000023	n56			ADIR007551, ADIR007550							
N2.HOG0000162	OG0000023	n58								ASTEI20_042495		
N2.HOG0000163	OG0000023	n60					AGAP029824, AGAP006586, AGAP006584, AGAP029797	AMIN007806	ASIC019569, ASIC002406	ASTEI20_035807		
N2.HOG0000164	OG0000024	n6			ADIR006878	AFUN2_008754	AGAP012569, AGAP005636, AGAP005638	AMIN007573	ASIC018921	ASTEI20_036317		
N2.HOG0000165	OG0000024	n18			ADIR006877	AFUN2_004514	AGAP005637	AMIN007572	ASIC018920	ASTEI20_030796		
N2.HOG0000166	OG0000024	n31			ADIR015850	AFUN2_001856	AGAP006226	AMIN011339	ASIC018905	ASTEI20_042294		
N2.HOG0000167	OG0000024	n39			ADIR015848, ADIR015847	AFUN2_009727	AGAP006224, AGAP006225			ASTEI20_032042, ASTEI20_038906		
N2.HOG0000168	OG0000024	n52			ADIR015846, ADIR015844, ADIR015845	AFUN2_006932, AFUN2_001526, AFUN2_012131	AGAP006221, AGAP006220			ASTEI20_045971, ASTEI20_035495		
N2.HOG0000169	OG0000025	n1					AGAP013330			ASTEI20_039096		
N2.HOG0000170	OG0000025	n5				AFUN2_014130						
N2.HOG0000171	OG0000025	n22				AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155				ASTEI20_036374, ASTEI20_044660		
N2.HOG0000172	OG0000026	n8			ADIR015755	AFUN2_007391	AGAP004981, AGAP012617	AMIN015477	ASIC016558	ASTEI20_034431		
N2.HOG0000173	OG0000026	n14			ADIR015752		AGAP012616	AMIN015478	ASIC016557	ASTEI20_045957		
N2.HOG0000174	OG0000026	n18			ADIR015756, ADIR015753		AGAP004976, AGAP004980	AMIN015473, AMIN015476	ASIC016559			
N2.HOG0000175	OG0000026	n27			ADIR015757, ADIR015758, ADIR015759		AGAP004975, AGAP004977	AMIN015474	ASIC016561	ASTEI20_037139		
N2.HOG0000176	OG0000026	n39				AFUN2_005277				ASTEI20_030979		
N2.HOG0000177	OG0000026	n41			ADIR015754	AFUN2_003253, AFUN2_004905	AGAP004978	AMIN015475	ASIC016560	ASTEI20_036805		
N2.HOG0000178	OG0000026	n52			ADIR006960	AFUN2_006722	AGAP006258	AMIN015479	ASIC016118	ASTEI20_033037		
N2.HOG0000179	OG0000026	n65			ADIR003488	AFUN2_005978	AGAP002825	AMIN015731	ASIC014095	ASTEI20_038151		
N2.HOG0000180	OG0000027	n7				AFUN2_012022	AGAP029283			ASTEI20_032352		
