Orthogroup	AgambiaePEST	AsinensisChina
OG0000062	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067	ASIC013583, ASIC013564, ASIC015598, ASIC015597
OG0000063	AGAP002555	ASIC021538
OG0000063	AGAP002202	ASIC010842
OG0000064	AGAP002134	ASIC001146
OG0000067	AGAP012400	ASIC018220
OG0000067	AGAP012399	ASIC018219
OG0000068	AGAP005999	ASIC011681
OG0000068	AGAP005998	ASIC011682
OG0000068	AGAP005996	ASIC011687
OG0000068	AGAP006001	ASIC011679
OG0000069	AGAP002851	ASIC005652
OG0000069	AGAP007197	ASIC002404
OG0000069	AGAP007415, AGAP002849	ASIC005650
OG0000069	AGAP002850	ASIC005651
OG0000069	AGAP002804	ASIC000407
OG0000071	AGAP001861	ASIC008283
OG0000071	AGAP028019, AGAP008358, AGAP008356	ASIC013586
OG0000072	AGAP010971	ASIC019961
OG0000072	AGAP002770	ASIC012496
OG0000073	AGAP007752	ASIC014115
OG0000074	AGAP005385	ASIC016739, ASIC016738
OG0000074	AGAP005384	ASIC016740
OG0000074	AGAP005386	ASIC016736
OG0000074	AGAP005387, AGAP005388	ASIC016735
OG0000074	AGAP007354	ASIC002864
OG0000075	AGAP006980, AGAP006984	ASIC021158, ASIC021155
OG0000075	AGAP006983, AGAP006981, AGAP006979	ASIC021154, ASIC021157
OG0000075	AGAP006978, AGAP006985, AGAP006982	ASIC021159
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835	ASIC018187
OG0000077	AGAP006424	ASIC002587
OG0000077	AGAP006425, AGAP006423	ASIC002588, ASIC002586
OG0000078	AGAP029351	ASIC022286
OG0000079	AGAP001162	ASIC011457
OG0000079	AGAP012985, AGAP012982, AGAP013149	ASIC011456, ASIC011455
OG0000079	AGAP001161	ASIC011459
OG0000080	AGAP006380	ASIC016601
OG0000080	AGAP006379	ASIC016602
OG0000080	AGAP007504	ASIC019812
OG0000080	AGAP012155	ASIC019334
OG0000080	AGAP012156	ASIC019335
OG0000081	AGAP007161	ASIC007880
OG0000081	AGAP005547, AGAP005548	ASIC007878, ASIC007850, ASIC007872
OG0000081	AGAP007162	ASIC007881
OG0000085	AGAP003763	ASIC009268
OG0000085	AGAP003764	ASIC004322
OG0000085	AGAP013346, AGAP003760, AGAP003759, AGAP003762	ASIC009271, ASIC009270, ASIC009269
OG0000085	AGAP003758	ASIC009272
OG0000086	AGAP004809	ASIC009153
OG0000086	AGAP013155, AGAP001881, AGAP012984	ASIC008317
OG0000088	AGAP011507	ASIC008371, ASIC008372
OG0000088	AGAP011509	ASIC008376
OG0000089	AGAP029766	ASIC019476
OG0000089	AGAP029781	ASIC019432
OG0000089	AGAP029780	ASIC019443
OG0000089	AGAP029779	ASIC019421
OG0000089	AGAP028709	ASIC019454
OG0000089	AGAP028708	ASIC019465
OG0000090	AGAP007385	ASIC019694
OG0000090	AGAP007386	ASIC019695
OG0000091	AGAP003343	ASIC002280
OG0000091	AGAP013511	ASIC002279
OG0000093	AGAP028431, AGAP011339, AGAP005077, AGAP005104, AGAP029262, AGAP029447, AGAP005308	ASIC022154, ASIC014826
OG0000093	AGAP029345	ASIC001437
OG0000096	AGAP010929	ASIC015638
OG0000096	AGAP008622	ASIC010609
OG0000096	AGAP005293	ASIC010449
OG0000096	AGAP010510	ASIC015635
OG0000097	AGAP013318	ASIC021951
OG0000097	AGAP013451	ASIC021949
OG0000097	AGAP029385	ASIC021950
OG0000098	AGAP009216, AGAP009217, AGAP009219, AGAP009218	ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755
OG0000103	AGAP005105	ASIC008406
OG0000103	AGAP005022, AGAP005027, AGAP029484, AGAP029942	ASIC014017
OG0000104	AGAP008545, AGAP028059	ASIC017885, ASIC009066
OG0000104	AGAP028140, AGAP008544	ASIC009065
OG0000105	AGAP010618, AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615, AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470, AGAP010663, AGAP029193, AGAP012692, AGAP029192, AGAP010661, AGAP029095	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503
OG0000107	AGAP013529, AGAP002855	ASIC005646
OG0000107	AGAP002856	ASIC005645
OG0000107	AGAP002854	ASIC005655
OG0000108	AGAP006187	ASIC013421, ASIC013593
OG0000109	AGAP006427	ASIC002584
OG0000109	AGAP029457	ASIC014258
OG0000109	AGAP004603	ASIC014260
OG0000109	AGAP029686	ASIC014256
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081	ASIC012092
OG0000111	AGAP008460	ASIC012080, ASIC006082
OG0000114	AGAP028151, AGAP028057, AGAP008458, AGAP008459	ASIC012081
OG0000115	AGAP006594	ASIC017431
OG0000115	AGAP006595	ASIC017432
OG0000116	AGAP008437	ASIC006403
OG0000116	AGAP028128, AGAP027980	ASIC006402
OG0000116	AGAP009835	ASIC014540
OG0000119	AGAP005834	ASIC016830
OG0000119	AGAP005835, AGAP005836	ASIC016832
OG0000119	AGAP005837	ASIC016833
OG0000120	AGAP001249	ASIC011544
OG0000120	AGAP001245	ASIC011541
OG0000120	AGAP006869	ASIC013726
OG0000123	AGAP029183, AGAP029220	ASIC014634
OG0000123	AGAP013242, AGAP013436, AGAP029216	ASIC020219, ASIC020215
OG0000123	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225, AGAP029140	ASIC000783
OG0000124	AGAP007461	ASIC019768
OG0000124	AGAP007443	ASIC019753
OG0000124	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471	ASIC019769, ASIC019770, ASIC019771
OG0000127	AGAP001825	ASIC008877
OG0000128	AGAP010917	ASIC015309
OG0000128	AGAP011366	ASIC015247
OG0000128	AGAP011365	ASIC015248
OG0000129	AGAP012996	ASIC008763
OG0000129	AGAP001552, AGAP013124	ASIC008762
OG0000130	AGAP001899	ASIC008146
OG0000130	AGAP008468	ASIC012064
OG0000130	AGAP028049	ASIC012065
OG0000131	AGAP009877	ASIC012145
OG0000131	AGAP009876	ASIC012146
OG0000131	AGAP009875	ASIC012148
OG0000131	AGAP009871	ASIC012034
OG0000132	AGAP013132, AGAP004807	ASIC014945
OG0000132	AGAP012529	ASIC014943
OG0000132	AGAP004806	ASIC014946
OG0000132	AGAP011287	ASIC002822
OG0000133	AGAP012279	ASIC017840, ASIC017841
OG0000133	AGAP011611	ASIC017521
OG0000133	AGAP011610	ASIC017520
OG0000134	AGAP006724, AGAP006725	ASIC019150
OG0000134	AGAP006726	ASIC019149
OG0000134	AGAP006728	ASIC019145
OG0000134	AGAP006727	ASIC019147
OG0000135	AGAP008968	ASIC020739
OG0000135	AGAP011482	ASIC015458
OG0000135	AGAP007906, AGAP009527	ASIC007191
OG0000136	AGAP009509	ASIC007232
OG0000141	AGAP005758	ASIC018449
OG0000141	AGAP005757	ASIC018448
OG0000141	AGAP005756	ASIC019151, ASIC018446
OG0000142	AGAP003422	ASIC011129
OG0000142	AGAP003423	ASIC010497
OG0000142	AGAP003432	ASIC004901
OG0000142	AGAP003078	ASIC014682
OG0000143	AGAP012957, AGAP002418, AGAP013241	ASIC008422
OG0000143	AGAP002419	ASIC008426
OG0000144	AGAP006157	ASIC001515
OG0000146	AGAP001956	ASIC008229
OG0000147	AGAP008019	ASIC002221
OG0000147	AGAP008020, AGAP012800, AGAP008022	ASIC002222
OG0000147	AGAP008018	ASIC002220
OG0000148	AGAP009754	ASIC007934
OG0000148	AGAP028646	ASIC022060, ASIC022061, ASIC007933, ASIC007935
OG0000148	AGAP009757	ASIC012007
OG0000149	AGAP005753	ASIC018439
OG0000149	AGAP005750	ASIC018436
OG0000149	AGAP005751	ASIC018437
OG0000149	AGAP005752	ASIC018438
OG0000150	AGAP007104	ASIC011027
OG0000151	AGAP003785, AGAP012609	ASIC009913, ASIC009914
OG0000152	AGAP006398	ASIC004877
OG0000154	AGAP002894	ASIC004043, ASIC013097
OG0000154	AGAP008218, AGAP008217	ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	ASIC020577, ASIC020578
OG0000157	AGAP028217	ASIC010788
OG0000157	AGAP007154	ASIC019241
OG0000160	AGAP029361, AGAP006815	ASIC016821
OG0000161	AGAP006796, AGAP006795	ASIC019631
OG0000162	AGAP012318	ASIC018387
OG0000162	AGAP012325	ASIC018375
OG0000162	AGAP012321	ASIC018379
OG0000162	AGAP012320	ASIC018380
OG0000163	AGAP009436	ASIC007358
OG0000163	AGAP009434	ASIC007362
OG0000163	AGAP009435	ASIC007363, ASIC007359
OG0000164	AGAP004571	ASIC021805
OG0000164	AGAP004566	ASIC021916
OG0000164	AGAP004570	ASIC021828
OG0000165	AGAP000194	ASIC020384
OG0000165	AGAP000192	ASIC020380
OG0000165	AGAP000193	ASIC020379
OG0000165	AGAP010414	ASIC020381
OG0000166	AGAP006048	ASIC012923
OG0000166	AGAP006049	ASIC012924
OG0000166	AGAP006047	ASIC012921
OG0000171	AGAP011348	ASIC004812, ASIC004811
OG0000171	AGAP011347	ASIC004810
OG0000172	AGAP011613	ASIC017527
OG0000172	AGAP011609	ASIC017517, ASIC017518
OG0000172	AGAP011618	ASIC017547
OG0000173	AGAP029928	ASIC022306
OG0000173	AGAP010764	ASIC022304
OG0000174	AGAP000694	ASIC009499
OG0000174	AGAP000693	ASIC007084
OG0000181	AGAP006078, AGAP006079	ASIC019035
OG0000181	AGAP006075	ASIC019034
OG0000182	AGAP003722, AGAP012784	ASIC020912
OG0000182	AGAP003720	ASIC020913
OG0000183	AGAP002979, AGAP002423, AGAP002973	ASIC011096
OG0000184	AGAP009519	ASIC007210
OG0000184	AGAP009520	ASIC007209
OG0000185	AGAP029203	ASIC014498
OG0000185	AGAP005768	ASIC018463, ASIC018459
OG0000187	AGAP002905	ASIC003343
OG0000188	AGAP004855	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161
OG0000189	AGAP003711	ASIC020927
OG0000189	AGAP001588, AGAP012818	ASIC004914
OG0000190	AGAP029641	ASIC009037
OG0000190	AGAP008320	ASIC004005
OG0000191	AGAP005966, AGAP005967, AGAP005968	ASIC011618, ASIC011619, ASIC011617
OG0000191	AGAP005969	ASIC011616
OG0000192	AGAP008588	ASIC003853
OG0000192	AGAP002152	ASIC021385
OG0000192	AGAP000962	ASIC006813
OG0000193	AGAP002022	ASIC005170, ASIC009034, ASIC004649
OG0000194	AGAP009540, AGAP009541, AGAP012649	ASIC007163
OG0000196	AGAP008557	ASIC009091
OG0000200	AGAP011195	ASIC004374
OG0000200	AGAP011194	ASIC004381
OG0000201	AGAP006208	ASIC018737
OG0000201	AGAP006209	ASIC018748
OG0000202	AGAP000414	ASIC006264
OG0000202	AGAP000289	ASIC005159
OG0000203	AGAP029591	ASIC022196
OG0000203	AGAP029307	ASIC022191, ASIC022195
OG0000203	AGAP028615	ASIC022193, ASIC022189
OG0000204	AGAP006911	ASIC018858, ASIC018857
OG0000204	AGAP006910	ASIC018860
OG0000205	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552	ASIC007148
OG0000206	AGAP008630, AGAP028029	ASIC009932, ASIC009934
OG0000206	AGAP008627	ASIC017261
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634	ASIC020302
OG0000207	AGAP001004	ASIC020301
OG0000208	AGAP011182	ASIC004792
OG0000208	AGAP011183	ASIC004793, ASIC004794, ASIC004795
OG0000209	AGAP011893	ASIC018130
OG0000210	AGAP011432, AGAP029292, AGAP029324, AGAP029065	ASIC005087
OG0000210	AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891	ASIC005086
OG0000216	AGAP028733, AGAP028664, AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735	ASIC012609, ASIC012610, ASIC012607
OG0000216	AGAP008173	ASIC012608
OG0000217	AGAP012963	ASIC021690
OG0000217	AGAP000310	ASIC007120
OG0000217	AGAP003365	ASIC021693
OG0000218	AGAP008052	ASIC006963
OG0000218	AGAP008051	ASIC006964
OG0000219	AGAP000907	ASIC017087
OG0000220	AGAP013166	ASIC021082
OG0000220	AGAP013260	ASIC021083
OG0000220	AGAP002457	ASIC021081
OG0000221	AGAP007990	ASIC016222, ASIC016221, ASIC016220
OG0000221	AGAP006775	ASIC019669, ASIC019668
OG0000222	AGAP028196	ASIC014190
OG0000222	AGAP008915	ASIC014179
OG0000222	AGAP010241	ASIC013415
OG0000223	AGAP001185	ASIC011432
OG0000224	AGAP013366, AGAP012995, AGAP029279, AGAP013463	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	AGAP003066, AGAP003065	ASIC021356
OG0000226	AGAP002446	ASIC020560
OG0000228	AGAP007407, AGAP007410	ASIC019718
OG0000228	AGAP000871, AGAP007411	ASIC019719, ASIC019722, ASIC019723
OG0000229	AGAP002137	ASIC021403
OG0000229	AGAP002008	ASIC004678
OG0000230	AGAP028050, AGAP008670, AGAP008671	ASIC005288
OG0000231	AGAP006013	ASIC011666
OG0000231	AGAP006012	ASIC011669
OG0000232	AGAP005657, AGAP012667, AGAP005660	ASIC012966
OG0000232	AGAP005656	ASIC012965
OG0000233	AGAP001190	ASIC011408
OG0000234	AGAP007803	ASIC020664
OG0000235	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124	ASIC017168, ASIC009033
OG0000236	AGAP001202	ASIC011385
OG0000236	AGAP012383	ASIC015967
OG0000237	AGAP003501	ASIC003194
OG0000244	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711	ASIC022012
OG0000245	AGAP002360	ASIC005515
OG0000245	AGAP002359	ASIC005518
OG0000245	AGAP013402	ASIC005516
OG0000246	AGAP012702, AGAP004173	ASIC021753
OG0000246	AGAP004383	ASIC021752
OG0000246	AGAP012839, AGAP004381, AGAP004382	ASIC021751, ASIC021749
OG0000246	AGAP012838, AGAP004380	ASIC021748
OG0000247	AGAP006146	ASIC016691
OG0000247	AGAP006145	ASIC016692
OG0000247	AGAP006148	ASIC019252
OG0000248	AGAP008404	ASIC017750
OG0000249	AGAP004935	ASIC016050
OG0000249	AGAP005326	ASIC000958
OG0000250	AGAP002055	ASIC004082
OG0000250	AGAP002058	ASIC004081
OG0000252	AGAP028629	ASIC005046
OG0000252	AGAP011674	ASIC005048
OG0000253	AGAP001648	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	AGAP013293	ASIC005504
OG0000255	AGAP002195, AGAP002197	ASIC020208, ASIC020207
OG0000256	AGAP002766	ASIC012493, ASIC012494
OG0000256	AGAP002765	ASIC012491
OG0000256	AGAP002767, AGAP002769	ASIC012495
OG0000257	AGAP028220	ASIC005738
OG0000260	AGAP013416	ASIC010061
OG0000260	AGAP002763	ASIC010060
OG0000260	AGAP013285	ASIC010059
OG0000260	AGAP013363	ASIC010058
OG0000265	AGAP007255, AGAP007266	ASIC007840
OG0000266	AGAP008867	ASIC010738
OG0000266	AGAP007794	ASIC004862
OG0000266	AGAP007793	ASIC004863
OG0000267	AGAP004378	ASIC021746
OG0000268	AGAP029235	ASIC007410
OG0000268	AGAP007932	ASIC007406
OG0000268	AGAP007933	ASIC007405
OG0000269	AGAP001722	ASIC006168
OG0000270	AGAP004920, AGAP012945, AGAP011951, AGAP011952	ASIC018039
OG0000271	AGAP008769	ASIC006601
OG0000272	AGAP011698, AGAP011696	ASIC015539
OG0000272	AGAP004760	ASIC011268
OG0000273	AGAP001281	ASIC011512
OG0000273	AGAP001283	ASIC011513
OG0000273	AGAP001284	ASIC011515
OG0000274	AGAP010002, AGAP009985	ASIC019686
OG0000274	AGAP000094	ASIC020495
OG0000275	AGAP003083	ASIC014691, ASIC014690, ASIC014692
OG0000276	AGAP012686, AGAP029761, AGAP029762	ASIC017971
OG0000277	AGAP001811, AGAP001812	ASIC008290, ASIC008301
OG0000278	AGAP004971, AGAP004951	ASIC016444
OG0000278	AGAP004974	ASIC016562
OG0000279	AGAP008447, AGAP008446, AGAP008449	ASIC012105
OG0000280	AGAP009918	ASIC014626
OG0000280	AGAP009917	ASIC014625
OG0000280	AGAP029826, AGAP029827	ASIC014624
OG0000285	AGAP004324	ASIC005534
OG0000285	AGAP003096	ASIC005544
OG0000285	AGAP003097	ASIC005545
OG0000286	AGAP010505, AGAP010504	ASIC015277, ASIC015276
OG0000287	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706	ASIC022020, ASIC022019
OG0000288	AGAP009363, AGAP009374	ASIC006693
OG0000288	AGAP029144, AGAP009375	ASIC006682
OG0000289	AGAP028096	ASIC007910
OG0000289	AGAP011302	ASIC007909
OG0000290	AGAP011048	ASIC015220
OG0000290	AGAP011047, AGAP011046	ASIC015219
OG0000291	AGAP006510	ASIC019903
OG0000291	AGAP006271	ASIC018743
OG0000292	AGAP010057	ASIC012870
OG0000292	AGAP029713, AGAP029711, AGAP029712	ASIC012872
OG0000293	AGAP001006	ASIC020292
OG0000293	AGAP006991	ASIC021166
OG0000294	AGAP002506	ASIC000867
OG0000294	AGAP012451	ASIC000063
OG0000295	AGAP010650	ASIC014489
OG0000295	AGAP010649	ASIC014488
OG0000295	AGAP010648	ASIC014487
OG0000296	AGAP008278, AGAP008279	ASIC010617, ASIC010616
OG0000297	AGAP000163	ASIC007550
OG0000297	AGAP000165	ASIC007551
