Orthogroup	AgambiaePEST	AstephensiUCISS2018
OG0000006	AGAP000105	ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782
OG0000006	AGAP029795	ASTEI20_034128
OG0000006	AGAP029344	ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451
OG0000007	AGAP012767, AGAP029743, AGAP012768, AGAP012722	ASTEI20_031643
OG0000007	AGAP029745, AGAP029744	ASTEI20_035663
OG0000007	AGAP029741, AGAP029746, AGAP012835, AGAP029742	ASTEI20_033805
OG0000007	AGAP000164	ASTEI20_036392
OG0000007	AGAP028159, AGAP028040	ASTEI20_044422
OG0000007	AGAP029454	ASTEI20_038493
OG0000007	AGAP028667, AGAP028683, AGAP012753, AGAP029786	ASTEI20_041560
OG0000007	AGAP028670	ASTEI20_045006
OG0000007	AGAP011404, AGAP012546	ASTEI20_033378
OG0000007	AGAP028672	ASTEI20_036188, ASTEI20_034296
OG0000007	AGAP028668	ASTEI20_039161
OG0000007	AGAP011403	ASTEI20_043388
OG0000007	AGAP028675, AGAP028676, AGAP028677	ASTEI20_040387
OG0000008	AGAP000818	ASTEI20_031614
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294	ASTEI20_045981
OG0000008	AGAP012296	ASTEI20_045188
OG0000008	AGAP012291	ASTEI20_044670
OG0000008	AGAP012292	ASTEI20_031005
OG0000009	AGAP011845	ASTEI20_040741
OG0000009	AGAP012711, AGAP003911, AGAP012895, AGAP003913	ASTEI20_044827
OG0000010	AGAP002432, AGAP007262	ASTEI20_038744
OG0000010	AGAP007251	ASTEI20_038323
OG0000010	AGAP006673	ASTEI20_041896
OG0000010	AGAP006674	ASTEI20_032085
OG0000010	AGAP006675	ASTEI20_034511
OG0000010	AGAP005671, AGAP005670	ASTEI20_045103, ASTEI20_045045
OG0000010	AGAP005669	ASTEI20_037148, ASTEI20_039539
OG0000010	AGAP005663, AGAP005665, AGAP005664	ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362
OG0000010	AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	ASTEI20_037332
OG0000011	AGAP028042	ASTEI20_036542
OG0000011	AGAP013465	ASTEI20_039975
OG0000011	AGAP008893	ASTEI20_040335
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899
OG0000011	AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991	ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205
OG0000011	AGAP028013	ASTEI20_032335
OG0000011	AGAP028067, AGAP012676	ASTEI20_044907
OG0000012	AGAP007508	ASTEI20_035093
OG0000012	AGAP012573, AGAP005025, AGAP012559, AGAP012709	ASTEI20_044655
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401
OG0000013	AGAP003378	ASTEI20_042039
OG0000013	AGAP003384	ASTEI20_033404
OG0000013	AGAP003385, AGAP003379	ASTEI20_042237, ASTEI20_043320
OG0000013	AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380	ASTEI20_034998, ASTEI20_034168
OG0000014	AGAP009728	ASTEI20_035937
OG0000014	AGAP005848	ASTEI20_030803
OG0000014	AGAP028439	ASTEI20_045732, ASTEI20_043799
OG0000014	AGAP006743	ASTEI20_033207
OG0000014	AGAP004917	ASTEI20_037522, ASTEI20_042376
OG0000014	AGAP004918, AGAP004916	ASTEI20_038148, ASTEI20_041712
OG0000015	AGAP005645	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	AGAP005503	ASTEI20_044899
OG0000015	AGAP005502	ASTEI20_031600
OG0000015	AGAP005501	ASTEI20_037282
OG0000015	AGAP005499	ASTEI20_034188
OG0000016	AGAP008861	ASTEI20_044818
OG0000016	AGAP008292, AGAP008293	ASTEI20_031052
OG0000016	AGAP008296	ASTEI20_044106
OG0000016	AGAP012842, AGAP008291, AGAP008290	ASTEI20_042351
OG0000016	AGAP009966	ASTEI20_033956
OG0000017	AGAP012558	ASTEI20_041579
OG0000017	AGAP005023, AGAP012885, AGAP012574, AGAP003909, AGAP005026, AGAP012586	ASTEI20_039449
OG0000018	AGAP028579	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491
OG0000018	AGAP029431	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	AGAP010707, AGAP010709	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417
OG0000020	AGAP002910, AGAP002912, AGAP002911	ASTEI20_030966, ASTEI20_044090, ASTEI20_042722
OG0000020	AGAP010708	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843
OG0000021	AGAP005095	ASTEI20_031602, ASTEI20_042507
OG0000021	AGAP000651	ASTEI20_033844
OG0000021	AGAP011514	ASTEI20_036164
OG0000021	AGAP011516	ASTEI20_042388
OG0000021	AGAP001676	ASTEI20_042454
OG0000021	AGAP011515	ASTEI20_044345
OG0000023	AGAP006253	ASTEI20_036442
OG0000023	AGAP002445	ASTEI20_033419
OG0000023	AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581	ASTEI20_039293, ASTEI20_044320, ASTEI20_035887
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	ASTEI20_035807
OG0000024	AGAP012569, AGAP005636, AGAP005638	ASTEI20_036317
OG0000024	AGAP005637	ASTEI20_030796
OG0000024	AGAP006226	ASTEI20_042294
OG0000024	AGAP006224	ASTEI20_032042
OG0000024	AGAP006225	ASTEI20_038906
OG0000024	AGAP006221	ASTEI20_045971
OG0000024	AGAP006220	ASTEI20_035495
OG0000025	AGAP013330	ASTEI20_039096
OG0000026	AGAP004981, AGAP012617	ASTEI20_034431
OG0000026	AGAP012616	ASTEI20_045957
OG0000026	AGAP004977	ASTEI20_037139
OG0000026	AGAP004978	ASTEI20_036805
OG0000026	AGAP006258	ASTEI20_033037
OG0000026	AGAP002825	ASTEI20_038151
OG0000027	AGAP029283	ASTEI20_032352
OG0000027	AGAP010363	ASTEI20_038580
OG0000027	AGAP010364	ASTEI20_036720
OG0000030	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815	ASTEI20_038223
OG0000033	AGAP003252	ASTEI20_045015
OG0000033	AGAP003251	ASTEI20_034999
OG0000033	AGAP003246	ASTEI20_036373
OG0000033	AGAP003250	ASTEI20_031788
OG0000033	AGAP003245, AGAP003247	ASTEI20_044530, ASTEI20_042735
OG0000034	AGAP005485, AGAP005482	ASTEI20_043226
OG0000034	AGAP003594	ASTEI20_042786
OG0000034	AGAP005473	ASTEI20_045819
OG0000034	AGAP005479	ASTEI20_042959
OG0000034	AGAP005481, AGAP005480	ASTEI20_041011
OG0000034	AGAP005483, AGAP005484	ASTEI20_037589
OG0000034	AGAP004575	ASTEI20_032776
OG0000034	AGAP005938	ASTEI20_040625
OG0000035	AGAP012715, AGAP012588, AGAP012450	ASTEI20_034591
OG0000035	AGAP028576, AGAP010323	ASTEI20_038434, ASTEI20_044858
OG0000035	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475	ASTEI20_042171
OG0000035	AGAP006696	ASTEI20_041634
OG0000035	AGAP005307	ASTEI20_035874
OG0000037	AGAP012562, AGAP010741	ASTEI20_031459
OG0000037	AGAP013484, AGAP013247	ASTEI20_042647
OG0000037	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110	ASTEI20_041766, ASTEI20_039477
OG0000037	AGAP013369	ASTEI20_034438
OG0000037	AGAP013264	ASTEI20_044399
OG0000037	AGAP013448	ASTEI20_045557
OG0000037	AGAP013113	ASTEI20_042942
OG0000039	AGAP006420	ASTEI20_041961
OG0000039	AGAP006421	ASTEI20_034016
OG0000039	AGAP005497	ASTEI20_042151
OG0000039	AGAP006417	ASTEI20_039200, ASTEI20_040849
OG0000039	AGAP006443, AGAP006419, AGAP006418	ASTEI20_035166, ASTEI20_036321, ASTEI20_037293
OG0000040	AGAP006666	ASTEI20_037172
OG0000040	AGAP011469, AGAP012854	ASTEI20_034704
OG0000040	AGAP011467	ASTEI20_040829
OG0000040	AGAP009410	ASTEI20_045547
OG0000040	AGAP009408, AGAP009409	ASTEI20_039503
OG0000041	AGAP028600	ASTEI20_038827
OG0000041	AGAP029755	ASTEI20_038756
OG0000041	AGAP029753	ASTEI20_034624
OG0000041	AGAP001764	ASTEI20_036497
OG0000042	AGAP008403	ASTEI20_044170, ASTEI20_041547
OG0000042	AGAP009249, AGAP028179, AGAP028641, AGAP029126	ASTEI20_038339
OG0000042	AGAP012020, AGAP028102, AGAP028075, AGAP027981, AGAP029931, AGAP012504, AGAP012505, AGAP012021	ASTEI20_039646
OG0000042	AGAP029930, AGAP028229, AGAP028069, AGAP028183, AGAP029100, AGAP029093, AGAP029865	ASTEI20_039609
OG0000042	AGAP010545, AGAP028728	ASTEI20_037084
OG0000043	AGAP028182	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445
OG0000043	AGAP029334, AGAP029308	ASTEI20_043114, ASTEI20_042955, ASTEI20_040096
OG0000046	AGAP003627, AGAP012946	ASTEI20_039896
OG0000048	AGAP008648	ASTEI20_036610
OG0000048	AGAP006194, AGAP006199	ASTEI20_030791
OG0000048	AGAP006198, AGAP006201, AGAP006195	ASTEI20_041758
OG0000048	AGAP006192	ASTEI20_034337
OG0000048	AGAP006193	ASTEI20_034409
OG0000049	AGAP011788	ASTEI20_044950
OG0000049	AGAP011781	ASTEI20_037621
OG0000049	AGAP011792	ASTEI20_031880
OG0000049	AGAP011794, AGAP011793	ASTEI20_045883
OG0000049	AGAP011789	ASTEI20_039499
OG0000051	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	AGAP011918	ASTEI20_043416
OG0000052	AGAP011920	ASTEI20_035536
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134	ASTEI20_044934
OG0000053	AGAP028063, AGAP028150	ASTEI20_043576
OG0000053	AGAP028118, AGAP028020, AGAP028195	ASTEI20_040463
OG0000053	AGAP028165	ASTEI20_037018
OG0000053	AGAP008956	ASTEI20_032861
OG0000053	AGAP028181, AGAP028155, AGAP027990, AGAP028070	ASTEI20_037570
OG0000053	AGAP028082	ASTEI20_036072
OG0000055	AGAP002076	ASTEI20_041788, ASTEI20_036817
OG0000055	AGAP004581	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909
OG0000057	AGAP010106, AGAP010103, AGAP010121, AGAP010108	ASTEI20_043801, ASTEI20_033403
OG0000057	AGAP029248	ASTEI20_041738
OG0000058	AGAP028729	ASTEI20_035290
OG0000058	AGAP009471	ASTEI20_043943
OG0000058	AGAP009472	ASTEI20_042767
OG0000058	AGAP009467	ASTEI20_037097
OG0000058	AGAP009468	ASTEI20_045123
OG0000058	AGAP008945	ASTEI20_036123, ASTEI20_031030
OG0000059	AGAP005194	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207
OG0000059	AGAP005196, AGAP005195	ASTEI20_040754
OG0000059	AGAP006707	ASTEI20_037464
OG0000059	AGAP006709, AGAP006710, AGAP006711	ASTEI20_043703
OG0000059	AGAP007142	ASTEI20_034096, ASTEI20_032263
OG0000059	AGAP007141	ASTEI20_039938, ASTEI20_036541
OG0000060	AGAP010097	ASTEI20_037656
OG0000060	AGAP010100, AGAP010099	ASTEI20_045967
OG0000060	AGAP010098	ASTEI20_042375
OG0000060	AGAP010101	ASTEI20_044978
OG0000061	AGAP012230	ASTEI20_045924, ASTEI20_044992
OG0000061	AGAP006371	ASTEI20_042918
OG0000061	AGAP002318	ASTEI20_036073
OG0000061	AGAP002317	ASTEI20_042895
OG0000062	AGAP008558	ASTEI20_044163
OG0000062	AGAP013252	ASTEI20_037850
OG0000062	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111	ASTEI20_042947
OG0000062	AGAP029114, AGAP029108	ASTEI20_042271
OG0000062	AGAP028711, AGAP012749, AGAP012270	ASTEI20_035743
OG0000062	AGAP012777, AGAP012817, AGAP029330, AGAP028710	ASTEI20_044072
OG0000063	AGAP002555	ASTEI20_042329, ASTEI20_039640
OG0000063	AGAP002202	ASTEI20_041397
OG0000064	AGAP002134	ASTEI20_045444
OG0000067	AGAP011939	ASTEI20_033258
OG0000067	AGAP012400	ASTEI20_038682
OG0000067	AGAP012399	ASTEI20_040377
OG0000067	AGAP002102	ASTEI20_044258
OG0000067	AGAP012401	ASTEI20_046110
OG0000068	AGAP005999	ASTEI20_040313
OG0000068	AGAP005998	ASTEI20_042702
OG0000068	AGAP005996	ASTEI20_045828
OG0000068	AGAP006001	ASTEI20_032296
OG0000069	AGAP002851	ASTEI20_035338
OG0000069	AGAP007197	ASTEI20_038112
OG0000069	AGAP002850	ASTEI20_039804
OG0000069	AGAP002804	ASTEI20_031615
OG0000071	AGAP013490	ASTEI20_044717
OG0000071	AGAP001861	ASTEI20_033179
OG0000071	AGAP028019	ASTEI20_041551
OG0000071	AGAP008358	ASTEI20_037620
OG0000071	AGAP008356	ASTEI20_035007
OG0000072	AGAP010971	ASTEI20_043809
OG0000072	AGAP001219, AGAP001218	ASTEI20_038057
OG0000072	AGAP002770	ASTEI20_045176
OG0000072	AGAP007122	ASTEI20_045641, ASTEI20_039665
OG0000073	AGAP007754	ASTEI20_036269
OG0000073	AGAP007753	ASTEI20_033743
OG0000073	AGAP007752	ASTEI20_037565
OG0000074	AGAP005385	ASTEI20_035123
OG0000074	AGAP005384	ASTEI20_041942
OG0000074	AGAP005386	ASTEI20_036102
OG0000074	AGAP005387	ASTEI20_035843
OG0000074	AGAP005388	ASTEI20_043301
OG0000074	AGAP007354	ASTEI20_031364
OG0000075	AGAP006980, AGAP006984	ASTEI20_043256
OG0000075	AGAP006983, AGAP006981, AGAP006979	ASTEI20_044173, ASTEI20_045639
OG0000075	AGAP006978	ASTEI20_041998
OG0000075	AGAP006985, AGAP006982	ASTEI20_037835
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736	ASTEI20_040347
OG0000076	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234	ASTEI20_035431
OG0000076	AGAP011233	ASTEI20_040002
OG0000076	AGAP011835	ASTEI20_045335
OG0000077	AGAP006422	ASTEI20_041229
OG0000077	AGAP006424	ASTEI20_037597
OG0000077	AGAP006425	ASTEI20_042788
OG0000077	AGAP006423	ASTEI20_038766
OG0000077	AGAP006426	ASTEI20_034638
OG0000078	AGAP029351	ASTEI20_038038
OG0000079	AGAP001162	ASTEI20_042516
OG0000079	AGAP012985, AGAP012982, AGAP013149	ASTEI20_038502, ASTEI20_045603
OG0000079	AGAP001161	ASTEI20_045836
OG0000080	AGAP006380	ASTEI20_045083
OG0000080	AGAP006379	ASTEI20_037839
OG0000080	AGAP007504	ASTEI20_038192
OG0000080	AGAP012155	ASTEI20_035820
OG0000080	AGAP012156	ASTEI20_038748
OG0000081	AGAP007161	ASTEI20_044597
OG0000081	AGAP005547, AGAP005548	ASTEI20_033899, ASTEI20_041643
OG0000081	AGAP007159, AGAP007158	ASTEI20_041167
OG0000081	AGAP007162	ASTEI20_045891
OG0000083	AGAP029438	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624
OG0000085	AGAP003763	ASTEI20_033228
OG0000085	AGAP003764	ASTEI20_037988
OG0000085	AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758	ASTEI20_039794
OG0000086	AGAP004809	ASTEI20_036600
OG0000086	AGAP013155	ASTEI20_036223
OG0000086	AGAP001881	ASTEI20_035207
OG0000086	AGAP012984	ASTEI20_037451
OG0000086	AGAP013150	ASTEI20_043950
OG0000088	AGAP011575	ASTEI20_042317
OG0000088	AGAP011507	ASTEI20_035957
OG0000088	AGAP011509	ASTEI20_030868
OG0000089	AGAP029766	ASTEI20_035269
OG0000089	AGAP029781	ASTEI20_031474
OG0000089	AGAP029779	ASTEI20_033656
OG0000089	AGAP028709	ASTEI20_034314
OG0000089	AGAP028708	ASTEI20_038747
OG0000089	AGAP029765	ASTEI20_043719
OG0000090	AGAP007347	ASTEI20_044859
OG0000090	AGAP007343	ASTEI20_033811
OG0000090	AGAP007385	ASTEI20_037367, ASTEI20_042053
OG0000090	AGAP007386	ASTEI20_044104, ASTEI20_039435
OG0000091	AGAP013511	ASTEI20_043825
OG0000093	AGAP028431	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009
OG0000093	AGAP011339	ASTEI20_030917
OG0000093	AGAP005104	ASTEI20_042966
OG0000096	AGAP010929	ASTEI20_039679
OG0000096	AGAP008622	ASTEI20_033293
OG0000096	AGAP005293	ASTEI20_044580
OG0000096	AGAP010510	ASTEI20_044690
OG0000097	AGAP002592	ASTEI20_043690
OG0000097	AGAP029385	ASTEI20_045034
OG0000097	AGAP013229	ASTEI20_037688, ASTEI20_043748
OG0000098	AGAP011325, AGAP009215, AGAP009214	ASTEI20_030897, ASTEI20_032470
OG0000098	AGAP009220	ASTEI20_035940
OG0000103	AGAP005105	ASTEI20_040437, ASTEI20_031248
OG0000103	AGAP005022, AGAP005027	ASTEI20_044567
OG0000103	AGAP029484, AGAP029942	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930
OG0000104	AGAP009159	ASTEI20_031093
OG0000104	AGAP008545, AGAP028059	ASTEI20_031442
OG0000104	AGAP028140, AGAP008544	ASTEI20_031279
OG0000105	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615	ASTEI20_043210
OG0000105	AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470	ASTEI20_041014, ASTEI20_037458
OG0000107	AGAP013529, AGAP002855	ASTEI20_032780
OG0000107	AGAP002856	ASTEI20_041111
OG0000107	AGAP002854	ASTEI20_036614
OG0000108	AGAP006187	ASTEI20_031790, ASTEI20_039367
OG0000109	AGAP006427	ASTEI20_035723
OG0000109	AGAP029457	ASTEI20_041902
OG0000109	AGAP004603	ASTEI20_036023
OG0000111	AGAP008465	ASTEI20_041472
OG0000111	AGAP008460	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	AGAP028151, AGAP028057	ASTEI20_031785, ASTEI20_040627
OG0000114	AGAP008458	ASTEI20_032160
OG0000114	AGAP008459	ASTEI20_043145
OG0000115	AGAP006594	ASTEI20_031924
OG0000115	AGAP006595	ASTEI20_034594
OG0000116	AGAP008437	ASTEI20_039992
OG0000116	AGAP028128	ASTEI20_046113
OG0000116	AGAP027980	ASTEI20_036918
OG0000116	AGAP009835	ASTEI20_044702
OG0000117	AGAP029801	ASTEI20_044511
OG0000119	AGAP005834	ASTEI20_031989
OG0000119	AGAP005835, AGAP005836	ASTEI20_033264
OG0000119	AGAP005837	ASTEI20_035228
OG0000120	AGAP001249	ASTEI20_031113
OG0000120	AGAP001245	ASTEI20_043620
OG0000120	AGAP006869	ASTEI20_036340
OG0000123	AGAP029220	ASTEI20_045570
OG0000124	AGAP007461	ASTEI20_042719
OG0000124	AGAP007446	ASTEI20_040714
OG0000124	AGAP007443	ASTEI20_031108
OG0000124	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466	ASTEI20_042994
OG0000124	AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471	ASTEI20_033894
OG0000125	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224	ASTEI20_030793
OG0000127	AGAP001825	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	AGAP028426	ASTEI20_039421
OG0000128	AGAP010917	ASTEI20_041892
OG0000128	AGAP011366	ASTEI20_040479
OG0000128	AGAP011365	ASTEI20_031766
OG0000129	AGAP012996	ASTEI20_032516
OG0000129	AGAP001552	ASTEI20_039120
OG0000129	AGAP013124	ASTEI20_038234
OG0000129	AGAP013450	ASTEI20_042029
OG0000129	AGAP013239	ASTEI20_041805
OG0000130	AGAP001899	ASTEI20_041330
OG0000130	AGAP008468	ASTEI20_037430
OG0000130	AGAP028049	ASTEI20_043872
OG0000131	AGAP009877	ASTEI20_038615
OG0000131	AGAP009876	ASTEI20_045120
OG0000131	AGAP009875	ASTEI20_034975
OG0000131	AGAP009871	ASTEI20_033405
OG0000132	AGAP013132, AGAP004807	ASTEI20_035199
OG0000132	AGAP012529	ASTEI20_034238
OG0000132	AGAP004806	ASTEI20_036305
OG0000132	AGAP011287	ASTEI20_031453
OG0000133	AGAP012279	ASTEI20_033689
OG0000133	AGAP011611	ASTEI20_035006
OG0000133	AGAP011610	ASTEI20_045111
OG0000134	AGAP006724	ASTEI20_040637
OG0000134	AGAP006726	ASTEI20_035158
OG0000134	AGAP006728	ASTEI20_041705
OG0000134	AGAP006727	ASTEI20_031508
OG0000135	AGAP008968	ASTEI20_040602
OG0000135	AGAP011482	ASTEI20_037939
OG0000135	AGAP007906	ASTEI20_033495
OG0000135	AGAP009527	ASTEI20_041139
OG0000136	AGAP011204	ASTEI20_031418
OG0000136	AGAP009509	ASTEI20_044015
OG0000141	AGAP005758, AGAP005757	ASTEI20_038928
OG0000141	AGAP005756	ASTEI20_042572
OG0000142	AGAP003422	ASTEI20_030926
OG0000142	AGAP003423	ASTEI20_031775
OG0000142	AGAP003432	ASTEI20_039078
OG0000142	AGAP003078	ASTEI20_035078
OG0000143	AGAP012957, AGAP002418, AGAP013241	ASTEI20_031603
OG0000143	AGAP002419	ASTEI20_032430
OG0000146	AGAP001956	ASTEI20_044971
OG0000146	AGAP013106	ASTEI20_043034
OG0000147	AGAP008019	ASTEI20_039262
OG0000147	AGAP008020, AGAP012800, AGAP008022	ASTEI20_034963
OG0000147	AGAP008018	ASTEI20_034030
OG0000148	AGAP009754	ASTEI20_040041
OG0000148	AGAP009756, AGAP009755	ASTEI20_032218
OG0000148	AGAP028646	ASTEI20_043698
OG0000148	AGAP009757	ASTEI20_036802
OG0000149	AGAP005753	ASTEI20_032560
OG0000149	AGAP005751	ASTEI20_037704
OG0000150	AGAP007104	ASTEI20_036593
OG0000151	AGAP003785, AGAP012609	ASTEI20_031955
OG0000152	AGAP006398	ASTEI20_033865
OG0000152	AGAP006103	ASTEI20_040792
OG0000154	AGAP002894	ASTEI20_038954
OG0000154	AGAP008218, AGAP008217	ASTEI20_039327, ASTEI20_031393
OG0000154	AGAP008219	ASTEI20_036264
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	ASTEI20_044262
OG0000157	AGAP028217	ASTEI20_038779
OG0000157	AGAP007154	ASTEI20_044052
OG0000159	AGAP011072, AGAP011073, AGAP011071	ASTEI20_032043
OG0000159	AGAP028690	ASTEI20_037617
OG0000159	AGAP028689	ASTEI20_041266
OG0000160	AGAP029361	ASTEI20_036554
OG0000160	AGAP006815	ASTEI20_033604
OG0000161	AGAP006795	ASTEI20_038429
OG0000162	AGAP012318	ASTEI20_040102
OG0000162	AGAP012325	ASTEI20_039506
OG0000162	AGAP012321	ASTEI20_035676
OG0000162	AGAP012320	ASTEI20_038899
OG0000163	AGAP009436	ASTEI20_034625
OG0000163	AGAP009434	ASTEI20_031376
OG0000163	AGAP009435	ASTEI20_042082
OG0000164	AGAP004571	ASTEI20_038451
OG0000164	AGAP004566	ASTEI20_037482
OG0000165	AGAP000194	ASTEI20_035964
OG0000165	AGAP000192	ASTEI20_037537
OG0000165	AGAP000193	ASTEI20_035222
OG0000165	AGAP010414	ASTEI20_037574
