Orthogroup	AgambiaePEST	Aalbopictus_AalbF5
OG0000041	AGAP029305, AGAP029267	LOC109426885
OG0000041	AGAP028600	LOC109623326
OG0000041	AGAP029755	LOC109623385
OG0000041	AGAP029753	LOC109623384, LOC109623325
OG0000041	AGAP001764, AGAP029756	LOC109426866
OG0000042	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126	LOC109402120
OG0000046	AGAP013221	LOC109622330, LOC109621357, LOC109622339
OG0000048	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261
OG0000049	AGAP011788	LOC115257883
OG0000049	AGAP011781	LOC115257642
OG0000049	AGAP011792, AGAP011794, AGAP011793	LOC115253560
OG0000049	AGAP011789	LOC109403394
OG0000051	AGAP010109	LOC134286745
OG0000051	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000052	AGAP011918	LOC109418812
OG0000052	AGAP011920	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	LOC134290123
OG0000055	AGAP002076	LOC109425568
OG0000055	AGAP004944	LOC109430791
OG0000055	AGAP004583, AGAP004581	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074
OG0000058	AGAP028729	LOC109429974
OG0000058	AGAP009471, AGAP009472	LOC109429556, LOC109429973
OG0000058	AGAP009467	LOC109429562
OG0000058	AGAP009468	LOC109429976
OG0000059	AGAP005194, AGAP012778, AGAP005196, AGAP005195	LOC115263209
OG0000059	AGAP006707, AGAP006709, AGAP006710, AGAP006711	LOC109397955
OG0000059	AGAP007142, AGAP007141	LOC109398113
OG0000060	AGAP010097	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112
OG0000060	AGAP010100, AGAP010099	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107
OG0000061	AGAP012230	LOC115262216, LOC109407552
OG0000061	AGAP006371	LOC109426588
OG0000061	AGAP002317	LOC109412270, LOC109397255
OG0000062	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067	LOC115259541, LOC134285567
OG0000063	AGAP002555	LOC109399308, LOC109399296
OG0000063	AGAP002202	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771
OG0000064	AGAP002134	LOC109433412
OG0000067	AGAP011939	LOC109399585
OG0000067	AGAP012400	LOC109426033, LOC109426036
OG0000067	AGAP012399	LOC109426037
OG0000067	AGAP002102	LOC109410996, LOC109410901
OG0000067	AGAP012401	LOC109426035
OG0000068	AGAP005999	LOC109399171
OG0000068	AGAP005998	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969
OG0000068	AGAP005996	LOC109399209
OG0000068	AGAP006001	LOC109414002
OG0000069	AGAP002851	LOC134287966
OG0000069	AGAP007197, AGAP007415, AGAP002849, AGAP002850, AGAP002804	LOC109420427, LOC115257481, LOC115257619
OG0000071	AGAP013490, AGAP000088	LOC109401104
OG0000071	AGAP001861	LOC109417603, LOC109402034
OG0000071	AGAP028019, AGAP008358, AGAP008356	LOC109419909
OG0000072	AGAP010971	LOC109418556
OG0000072	AGAP001219, AGAP001218	LOC109422743
OG0000072	AGAP002770	LOC115261630
OG0000072	AGAP007122	LOC109403768, LOC109403788
OG0000073	AGAP007754	LOC109433068
OG0000073	AGAP007753	LOC109433069
OG0000073	AGAP007752	LOC109433130
OG0000073	AGAP013770	LOC109404655
OG0000074	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388	LOC109399202, LOC109399162
OG0000074	AGAP007354	LOC109399205
OG0000075	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835	LOC109433173, LOC109433174
OG0000077	AGAP006422	LOC109431700
OG0000077	AGAP006424	LOC109428459
OG0000077	AGAP006425, AGAP006423	LOC115267608, LOC115267631, LOC115267607
OG0000077	AGAP006426	LOC115267620
OG0000078	AGAP028565	LOC134284552
OG0000079	AGAP001162	LOC109422640
OG0000079	AGAP012985, AGAP012982, AGAP013149	LOC109422560, LOC109399710
OG0000079	AGAP001161	LOC109418231, LOC109428005, LOC109422721
OG0000080	AGAP006380	LOC115265252, LOC109417572, LOC109417573
OG0000080	AGAP006379	LOC109417818
OG0000080	AGAP012155, AGAP012156	LOC109420119, LOC109420142
OG0000081	AGAP007161	LOC115265020
OG0000081	AGAP005547, AGAP005548, AGAP007159, AGAP007158	LOC109422446, LOC115265018, LOC109422423, LOC115265016
OG0000081	AGAP007162	LOC109425727
OG0000083	AGAP029438	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132
OG0000085	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680
OG0000086	AGAP004809	LOC109402934
OG0000086	AGAP013155, AGAP001881, AGAP012984	LOC115258102, LOC109405184, LOC109426350, LOC115254457
OG0000086	AGAP013150	LOC109399012, LOC109622980
OG0000088	AGAP011575	LOC115257675, LOC115257694
OG0000088	AGAP011507, AGAP011509	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000089	AGAP029766	LOC109426269, LOC134289925
OG0000089	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708	LOC134289926
OG0000089	AGAP029765	LOC134292138
OG0000090	AGAP007347, AGAP007343	LOC109430577, LOC109424283, LOC109428699, LOC109428697
OG0000090	AGAP007385	LOC109399239
OG0000090	AGAP007386	LOC109429051
OG0000091	AGAP003343	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571
OG0000091	AGAP013511	LOC109429227
OG0000096	AGAP010929	LOC109422254
OG0000096	AGAP008622	LOC109414298
OG0000096	AGAP005293	LOC115264212
OG0000096	AGAP010510	LOC109422250
OG0000097	AGAP013318	LOC109622082
OG0000097	AGAP013451, AGAP002592, AGAP002593, AGAP029385, AGAP013229	LOC109433277
OG0000098	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917
OG0000104	AGAP009159	LOC109421248, LOC109421247, LOC109410842, LOC109421246
OG0000104	AGAP008545, AGAP028059, AGAP028140, AGAP008544	LOC109410832, LOC109427506, LOC109427507
OG0000107	AGAP013529, AGAP002855, AGAP002856, AGAP002854	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698
OG0000108	AGAP006187	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	AGAP006427	LOC134288467, LOC109417980
OG0000109	AGAP029457	LOC109402397, LOC134284738
OG0000109	AGAP004603	LOC109402396, LOC109402395
OG0000109	AGAP029686	LOC109402380
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000114	AGAP028151, AGAP028057	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209
OG0000115	AGAP006594	LOC109413498
OG0000115	AGAP006595	LOC109410773
OG0000116	AGAP008437	LOC115262061
OG0000116	AGAP028128, AGAP027980	LOC115262073
OG0000116	AGAP009835	LOC109400294
OG0000119	AGAP005834	LOC109409689
OG0000119	AGAP005835, AGAP005836, AGAP005837	LOC109409692, LOC109409691, LOC109409690, LOC134287661
OG0000120	AGAP001249	LOC109402840, LOC109406119, LOC115261111
OG0000120	AGAP001245	LOC115261112
OG0000127	AGAP001825	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349
OG0000128	AGAP028426	LOC109396992
OG0000128	AGAP010917	LOC109397004
OG0000128	AGAP011366, AGAP011365	LOC115262796
OG0000129	AGAP012996, AGAP001552, AGAP013124	LOC109428071, LOC109418295, LOC109418292, LOC109418299
OG0000129	AGAP013450, AGAP013239	LOC109421658
OG0000130	AGAP001899	LOC109426323
OG0000130	AGAP008468, AGAP028049	LOC109421326
OG0000131	AGAP009877	LOC109420718
OG0000131	AGAP009876	LOC109419859
OG0000131	AGAP009875	LOC109420609
OG0000131	AGAP009871	LOC109420605
OG0000132	AGAP013132, AGAP004807, AGAP012529	LOC109397421
OG0000133	AGAP012279	LOC109425940
OG0000133	AGAP011611, AGAP011610	LOC109433309, LOC134291485
OG0000134	AGAP006726	LOC115267595, LOC109399470
OG0000134	AGAP006728, AGAP006727	LOC115267583
OG0000135	AGAP029163, AGAP029157, AGAP007907	LOC109411771
OG0000136	AGAP011204	LOC109418558, LOC109413120, LOC109400919
OG0000136	AGAP009509	LOC109401827, LOC109412093, LOC109404625
OG0000141	AGAP005758, AGAP005757, AGAP005756	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250
OG0000142	AGAP003422, AGAP003423	LOC109401436, LOC109423496
OG0000142	AGAP003432	LOC109423512
OG0000142	AGAP003078	LOC109423498
OG0000143	AGAP002419	LOC109422665, LOC109401117
OG0000146	AGAP001956, AGAP013106	LOC109406196, LOC109406203
OG0000147	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018	LOC109402061, LOC109421511, LOC109421512
OG0000148	AGAP009751	LOC115260854
OG0000148	AGAP009754, AGAP009756, AGAP009755	LOC115265114
OG0000148	AGAP009757	LOC109421171
OG0000149	AGAP005753	LOC109426259
OG0000149	AGAP005750	LOC109410290
OG0000149	AGAP005751	LOC109426253
OG0000149	AGAP005752	LOC109426260
OG0000150	AGAP007104	LOC115266551
OG0000151	AGAP003785, AGAP012609	LOC109412232
OG0000152	AGAP006398	LOC109408684
OG0000152	AGAP006102	LOC115265746
OG0000152	AGAP006103	LOC109420225
OG0000154	AGAP002894, AGAP008218, AGAP008217, AGAP008219	LOC109421560, LOC109409214, LOC109409172
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399
OG0000157	AGAP028217	LOC109421165
OG0000157	AGAP007154	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605
OG0000160	AGAP029361	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944
OG0000161	AGAP028747	LOC109400953
OG0000161	AGAP006796, AGAP006795	LOC115263538, LOC109415748
OG0000162	AGAP012318	LOC109416740
OG0000162	AGAP012325	LOC115257490
OG0000162	AGAP012321	LOC109416738
OG0000162	AGAP012320	LOC109403420
OG0000163	AGAP009436	LOC115264896
OG0000163	AGAP009434	LOC109408545
OG0000163	AGAP009435	LOC109429593
OG0000164	AGAP004571	LOC134285492
OG0000164	AGAP004567	LOC109413276
OG0000164	AGAP004566	LOC109430385
OG0000164	AGAP004570	LOC134285493
OG0000165	AGAP000192	LOC115256356, LOC109421988
OG0000165	AGAP000193, AGAP010414	LOC115256354
OG0000166	AGAP006048	LOC109397863
OG0000166	AGAP006049	LOC109418973
OG0000166	AGAP006047	LOC109418976
OG0000171	AGAP011348	LOC134289645
OG0000171	AGAP011347	LOC134289646
OG0000172	AGAP011613	LOC109414400
OG0000172	AGAP011609	LOC109410572
OG0000172	AGAP011618	LOC109421132
OG0000174	AGAP000693	LOC115256529
OG0000176	AGAP028564	LOC134285293
OG0000180	AGAP008448	LOC109421192, LOC115265814, LOC109432470, LOC109421186, LOC109421214, LOC109432431, LOC109421189
OG0000181	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750
OG0000182	AGAP003722, AGAP012784	LOC115259581
OG0000182	AGAP003720	LOC115253802, LOC109400865
OG0000182	AGAP003721	LOC109429307
OG0000183	AGAP002979, AGAP002423, AGAP002973	LOC115256357, LOC109407271, LOC109402674, LOC109405890
OG0000184	AGAP009519	LOC109411770, LOC109416825
OG0000184	AGAP009520	LOC109411788
OG0000185	AGAP029203, AGAP010657	LOC109401553, LOC109402898, LOC109420356
OG0000185	AGAP005768	LOC109419367
OG0000187	AGAP002905	LOC109415488
OG0000188	AGAP004855	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254
OG0000189	AGAP003711	LOC109398456
OG0000189	AGAP001588, AGAP012818	LOC115264694, LOC115264672
OG0000189	AGAP001587	LOC115266712
OG0000190	AGAP029641	LOC134287929
OG0000190	AGAP008320	LOC109429277
OG0000190	AGAP009683	LOC109420894
OG0000191	AGAP005966, AGAP005967, AGAP005968, AGAP005969	LOC109425624, LOC115269665
OG0000192	AGAP008588	LOC115268599
OG0000192	AGAP002152	LOC109407097
OG0000192	AGAP000962	LOC109424591
OG0000193	AGAP002022	LOC109418366, LOC109426146, LOC109426147, LOC109417593
OG0000194	AGAP009540, AGAP009541, AGAP012649	LOC115268005
OG0000196	AGAP008557	LOC109417644, LOC109410244, LOC115255412, LOC115255411
OG0000200	AGAP011195	LOC109415401
OG0000200	AGAP011194	LOC109410678
OG0000200	AGAP002325	LOC115263783
OG0000201	AGAP006207	LOC109622199
OG0000201	AGAP006208	LOC115269915, LOC115270394
OG0000201	AGAP006209	LOC109622197
OG0000202	AGAP000288	LOC109421839, LOC109421838
OG0000202	AGAP000289	LOC109428440, LOC109428339
OG0000203	AGAP029591	LOC109426936
OG0000203	AGAP029307	LOC109623341, LOC109426935
OG0000203	AGAP028615	LOC109623338
OG0000204	AGAP006911	LOC109425685, LOC109422978
OG0000204	AGAP006910	LOC109422968
OG0000204	AGAP006909	LOC109422959
OG0000205	AGAP029783, AGAP012696	LOC109397149
OG0000205	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552	LOC109411753
OG0000206	AGAP008630, AGAP028029	LOC109429344, LOC109428387, LOC109420951
OG0000206	AGAP008627	LOC109414302
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626
OG0000209	AGAP011893	LOC109403367
OG0000210	AGAP011432, AGAP029292, AGAP029324, AGAP029065, AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891	LOC109402346
OG0000217	AGAP012963	LOC109419237
OG0000217	AGAP000310	LOC109431380
OG0000217	AGAP003365	LOC109419238
OG0000218	AGAP008054	LOC109421462
OG0000218	AGAP008052, AGAP008051	LOC109421387
OG0000219	AGAP005907	LOC109405076
OG0000219	AGAP000907	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992
OG0000220	AGAP013260	LOC109622226, LOC109623014
OG0000220	AGAP013120	LOC134291628
OG0000220	AGAP002457	LOC109409085
OG0000221	AGAP007990	LOC109410283, LOC109410284
OG0000221	AGAP006775	LOC109430808, LOC134283951, LOC109424170
OG0000222	AGAP028196	LOC109431412
OG0000222	AGAP008915	LOC109402226, LOC109402225, LOC115267223
OG0000223	AGAP001185	LOC109422010
OG0000223	AGAP001966	LOC109398859
OG0000223	AGAP013429	LOC109398880
OG0000224	AGAP013366, AGAP012995, AGAP029279, AGAP013463	LOC109414163
OG0000225	AGAP003067	LOC115257287
OG0000225	AGAP003066, AGAP003065	LOC109405426, LOC115257288
OG0000226	AGAP002446, AGAP012970, AGAP002448, AGAP002447	LOC115267924
OG0000229	AGAP003236	LOC115261304, LOC109433437
OG0000229	AGAP002137, AGAP002008	LOC109433439
OG0000230	AGAP028050, AGAP008670, AGAP008671	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717
OG0000231	AGAP006013, AGAP006012	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485
OG0000232	AGAP005657, AGAP012667, AGAP005660, AGAP005656	LOC115270106, LOC109404909
OG0000233	AGAP001190	LOC109420036, LOC109420035
OG0000233	AGAP001199	LOC109418229
OG0000234	AGAP007802	LOC109425149
OG0000234	AGAP007808	LOC109429432
OG0000234	AGAP007803	LOC109425152
OG0000235	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713
OG0000236	AGAP001202, AGAP012383	LOC109621447
OG0000237	AGAP003501, AGAP003500	LOC134287958
OG0000244	AGAP009715, AGAP009722, AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711	LOC109418168
OG0000245	AGAP002360, AGAP002359	LOC109622453, LOC134285569
OG0000246	AGAP012702, AGAP004173, AGAP004383, AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380	LOC109413319
OG0000247	AGAP006146, AGAP006145	LOC109426621, LOC109426620
OG0000247	AGAP006148	LOC115265701
OG0000248	AGAP008404	LOC115255070, LOC109417081, LOC109420539
OG0000248	AGAP028212	LOC134289022, LOC109420537
OG0000248	AGAP028060	LOC115255069
OG0000249	AGAP004935, AGAP005326	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243
OG0000250	AGAP002055	LOC109406934
OG0000250	AGAP002058	LOC109427354
OG0000250	AGAP002056	LOC109427342
OG0000251	AGAP012697, AGAP029782, AGAP029784	LOC109425991, LOC115268065
OG0000251	AGAP029623, AGAP012647, AGAP029785	LOC115268042
