Orthogroup	AgambiaePEST	AdirusWRAIR2
OG0000042	AGAP010545, AGAP028728	ADIR000370
OG0000043	AGAP012091, AGAP012092	ADIR005615
OG0000043	AGAP028182	ADIR014481
OG0000043	AGAP012173	ADIR000018
OG0000043	AGAP029333, AGAP029867	ADIR014148
OG0000048	AGAP006194, AGAP006199	ADIR016188, ADIR007974
OG0000048	AGAP006198, AGAP006201, AGAP006195	ADIR016182, ADIR016183
OG0000048	AGAP006192	ADIR016186
OG0000048	AGAP006193	ADIR016187, ADIR016181, ADIR016189
OG0000049	AGAP011788	ADIR016124
OG0000049	AGAP011781	ADIR016128
OG0000049	AGAP011792	ADIR015765
OG0000049	AGAP011794, AGAP011793	ADIR015762
OG0000049	AGAP011789	ADIR016123
OG0000051	AGAP010117, AGAP010119, AGAP013749, AGAP012875	ADIR009276
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150	ADIR009846, ADIR011408
OG0000053	AGAP028118, AGAP028020, AGAP028195	ADIR011407, ADIR009847
OG0000053	AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	ADIR009845
OG0000055	AGAP002076	ADIR003019
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108	ADIR009281, ADIR014808
OG0000057	AGAP029248	ADIR009282
OG0000058	AGAP009472	ADIR006057
OG0000058	AGAP008945	ADIR011421
OG0000059	AGAP005194	ADIR001566
OG0000059	AGAP012778	ADIR015747, ADIR015748, ADIR015749
OG0000059	AGAP005196, AGAP005195	ADIR001568
OG0000059	AGAP006707	ADIR003672, ADIR003674
OG0000059	AGAP007142, AGAP007141	ADIR016197
OG0000060	AGAP010098	ADIR014811
OG0000060	AGAP010101	ADIR014810
OG0000061	AGAP012230	ADIR009531
OG0000061	AGAP006371	ADIR007445
OG0000061	AGAP002318	ADIR015570
OG0000061	AGAP002317	ADIR015571
OG0000063	AGAP002555	ADIR010309
OG0000063	AGAP002202	ADIR008969
OG0000064	AGAP002134	ADIR005809
OG0000067	AGAP011939	ADIR001930
OG0000067	AGAP012400	ADIR000539
OG0000067	AGAP012399	ADIR000540
OG0000068	AGAP005999	ADIR007458
OG0000068	AGAP005998	ADIR007459
OG0000068	AGAP005996	ADIR007460
OG0000069	AGAP002851	ADIR003464
OG0000069	AGAP007197	ADIR007962
OG0000069	AGAP007415	ADIR007263
OG0000069	AGAP002849	ADIR007262
OG0000069	AGAP002804	ADIR003511
OG0000071	AGAP000088	ADIR001093
OG0000071	AGAP001861	ADIR002693
OG0000071	AGAP028019	ADIR011119
OG0000071	AGAP008358	ADIR011120
OG0000071	AGAP008356	ADIR011116
OG0000072	AGAP010971	ADIR001900
OG0000072	AGAP002770	ADIR003546
OG0000072	AGAP007122	ADIR008039
OG0000073	AGAP007752	ADIR010953
OG0000074	AGAP005385	ADIR003703
OG0000074	AGAP005386	ADIR003702
OG0000074	AGAP005387, AGAP005388	ADIR003701
OG0000074	AGAP007354	ADIR007318
OG0000075	AGAP006980, AGAP006984	ADIR008602, ADIR008603
OG0000075	AGAP006985, AGAP006982	ADIR008604
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068
OG0000076	AGAP000216	ADIR002333
OG0000076	AGAP011835	ADIR002334
OG0000077	AGAP006425, AGAP006423	ADIR007690
OG0000078	AGAP029351	ADIR002699, ADIR005603, ADIR003863
OG0000078	AGAP028565	ADIR014322
OG0000079	AGAP012985, AGAP012982, AGAP013149	ADIR010062
OG0000080	AGAP006379	ADIR007435
OG0000080	AGAP007504	ADIR007208
OG0000080	AGAP012155, AGAP012156	ADIR000033
OG0000081	AGAP007161	ADIR007942
OG0000081	AGAP005547, AGAP005548	ADIR008727
OG0000081	AGAP007159, AGAP007158	ADIR007940
OG0000081	AGAP007162	ADIR007943
OG0000084	AGAP012827	ADIR000418, ADIR000427, ADIR005396, ADIR006268, ADIR000210, ADIR009384, ADIR011746, ADIR011728, ADIR011508, ADIR011507, ADIR000293, ADIR014029, ADIR000286, ADIR011747, ADIR000304, ADIR011506
OG0000085	AGAP003763	ADIR015828
OG0000085	AGAP003764	ADIR015824
OG0000085	AGAP013346	ADIR015826
OG0000085	AGAP003760, AGAP003759, AGAP003762	ADIR015825, ADIR015827
OG0000085	AGAP003758	ADIR015829
OG0000086	AGAP004809	ADIR009203
OG0000086	AGAP013155, AGAP001881, AGAP012984	ADIR003037
OG0000086	AGAP013150	ADIR006613
OG0000088	AGAP011575	ADIR000163
OG0000088	AGAP011507	ADIR000290
OG0000088	AGAP011509	ADIR000294
OG0000089	AGAP029766	ADIR009555
OG0000089	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708, AGAP029765	ADIR009554
OG0000090	AGAP007347	ADIR015919
OG0000090	AGAP007385	ADIR007286
OG0000090	AGAP007386	ADIR007285
OG0000090	AGAP007346, AGAP007345, AGAP007344	ADIR015920, ADIR015918
OG0000091	AGAP013511	ADIR006521
OG0000093	AGAP011339	ADIR002132
OG0000093	AGAP005077	ADIR015594, ADIR007529
OG0000093	AGAP005308	ADIR003861
OG0000096	AGAP010929	ADIR000343
OG0000096	AGAP008622	ADIR010758
OG0000096	AGAP005293	ADIR009091
OG0000096	AGAP010510	ADIR000344
OG0000097	AGAP013451	ADIR010274
OG0000097	AGAP029385	ADIR010273
OG0000098	AGAP011325, AGAP009215, AGAP009214	ADIR015892
OG0000098	AGAP009220	ADIR015893
OG0000103	AGAP029484	ADIR014328
OG0000104	AGAP009159	ADIR006249
OG0000104	AGAP008545, AGAP028059, AGAP028140, AGAP008544	ADIR010870, ADIR010871, ADIR010869
OG0000105	AGAP010618, AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615, AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470, AGAP010663, AGAP029193, AGAP012692, AGAP029192, AGAP010661, AGAP029095	ADIR000198
OG0000108	AGAP006187	ADIR004058
OG0000109	AGAP006427	ADIR007689
OG0000109	AGAP029457	ADIR009055
OG0000111	AGAP008465	ADIR000646
OG0000111	AGAP008460	ADIR000644
OG0000114	AGAP008458	ADIR000642
OG0000114	AGAP008459	ADIR000643
OG0000115	AGAP006594	ADIR007384
OG0000115	AGAP006595	ADIR007383
OG0000116	AGAP009835	ADIR005173
OG0000117	AGAP029801	ADIR006765
OG0000119	AGAP005834	ADIR007783
OG0000119	AGAP005835, AGAP005836, AGAP005837	ADIR007782
OG0000120	AGAP001249	ADIR015976
OG0000120	AGAP001245	ADIR015967
OG0000120	AGAP006869	ADIR004301
OG0000123	AGAP029183, AGAP029220	ADIR004735
OG0000123	AGAP013242, AGAP013436, AGAP029216	ADIR005940
OG0000124	AGAP007461	ADIR007238
OG0000124	AGAP007443	ADIR007249
OG0000124	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471	ADIR007237, ADIR007235
OG0000127	AGAP001825	ADIR002706
OG0000128	AGAP010917	ADIR005627
OG0000128	AGAP011366	ADIR016172
OG0000128	AGAP011365	ADIR016170
OG0000130	AGAP001899	ADIR003050
OG0000130	AGAP008468	ADIR011436
OG0000130	AGAP028049	ADIR011726, ADIR011435
OG0000131	AGAP009877	ADIR011335
OG0000131	AGAP009871	ADIR011339
OG0000132	AGAP004806	ADIR009202
OG0000132	AGAP011287	ADIR010804
OG0000133	AGAP012279	ADIR000444
OG0000133	AGAP011611	ADIR000139
OG0000133	AGAP011610	ADIR000140
OG0000134	AGAP006724, AGAP006725	ADIR003659
OG0000134	AGAP006726	ADIR003660
OG0000134	AGAP006728	ADIR003658
OG0000135	AGAP008968	ADIR011399
OG0000135	AGAP029163, AGAP029157, AGAP007907	ADIR005919
OG0000135	AGAP011482	ADIR000262
OG0000135	AGAP007906	ADIR005920
OG0000136	AGAP011204	ADIR000092, ADIR000087
OG0000136	AGAP009509	ADIR006020
OG0000141	AGAP005757	ADIR007903
OG0000142	AGAP003422, AGAP003423	ADIR008287
OG0000142	AGAP003432	ADIR008294
OG0000142	AGAP003078	ADIR003290
OG0000143	AGAP012957, AGAP002418, AGAP013241, AGAP002419	ADIR004529
OG0000146	AGAP001956	ADIR015797
OG0000146	AGAP013106	ADIR015798
OG0000147	AGAP008020, AGAP012800, AGAP008022	ADIR011038
OG0000148	AGAP009757	ADIR005101
OG0000149	AGAP005753	ADIR007907
OG0000149	AGAP005751	ADIR007908
OG0000150	AGAP007104	ADIR008060
OG0000151	AGAP003785, AGAP012609	ADIR015810
OG0000152	AGAP006398	ADIR015582
OG0000152	AGAP006103	ADIR008753
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	ADIR005418
OG0000157	AGAP028217	ADIR006810
OG0000159	AGAP011072, AGAP011073, AGAP011071	ADIR002318, ADIR014218
OG0000159	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688	ADIR002317, ADIR002312, ADIR002313, ADIR002314, ADIR002352, ADIR002315
OG0000159	AGAP028690, AGAP028689	ADIR002316
OG0000160	AGAP029361, AGAP006815	ADIR003566
OG0000161	AGAP009830	ADIR005168
OG0000161	AGAP006795	ADIR003591
OG0000162	AGAP012318	ADIR000480
OG0000162	AGAP012321	ADIR000482
OG0000163	AGAP009436	ADIR015554
OG0000163	AGAP009434	ADIR015557
OG0000163	AGAP009435	ADIR015556
OG0000164	AGAP004571	ADIR004411
OG0000164	AGAP004566	ADIR004413
OG0000165	AGAP000194	ADIR001509
OG0000165	AGAP000192	ADIR001510
OG0000165	AGAP000193	ADIR009841
OG0000165	AGAP010414	ADIR005706
OG0000166	AGAP006048	ADIR016085
OG0000166	AGAP006049	ADIR008138
OG0000166	AGAP006047	ADIR016086
OG0000171	AGAP011347	ADIR002126
OG0000172	AGAP011613	ADIR000138
OG0000172	AGAP011609	ADIR000141
OG0000172	AGAP011618	ADIR000131
OG0000173	AGAP029928	ADIR011553
OG0000173	AGAP010764	ADIR011554
OG0000174	AGAP006722	ADIR003663
OG0000174	AGAP000694	ADIR000944
OG0000174	AGAP000693	ADIR015737
OG0000181	AGAP006078, AGAP006079	ADIR008823
OG0000181	AGAP006075	ADIR008822
OG0000182	AGAP003722, AGAP012784	ADIR005388
OG0000182	AGAP003720	ADIR016062
OG0000182	AGAP003721	ADIR016059
OG0000183	AGAP002423	ADIR006377
OG0000183	AGAP002973	ADIR005819
OG0000184	AGAP009519	ADIR006005
OG0000184	AGAP009520	ADIR015590
OG0000185	AGAP029203, AGAP010657	ADIR000196
OG0000185	AGAP005768	ADIR016097
OG0000187	AGAP002905	ADIR002758
OG0000188	AGAP004855	ADIR009257, ADIR009256
OG0000189	AGAP003711	ADIR005379
OG0000189	AGAP001588, AGAP012818, AGAP001587	ADIR010508
OG0000190	AGAP029641	ADIR011475
OG0000190	AGAP008320	ADIR011077
OG0000190	AGAP009683	ADIR004999
OG0000191	AGAP005966, AGAP005967, AGAP005968	ADIR007485, ADIR014641
OG0000192	AGAP008588	ADIR010909
OG0000192	AGAP002152	ADIR005792
OG0000192	AGAP000962	ADIR000914
OG0000193	AGAP002022	ADIR005330
OG0000194	AGAP009540, AGAP009541, AGAP012649	ADIR005946
OG0000196	AGAP008557	ADIR010880
OG0000200	AGAP011195	ADIR000096
OG0000200	AGAP011194	ADIR000097
OG0000200	AGAP002325	ADIR006692
OG0000201	AGAP006208	ADIR004196
OG0000202	AGAP000414	ADIR001167
OG0000202	AGAP000288	ADIR003924
OG0000204	AGAP006911	ADIR016103, ADIR015857
OG0000204	AGAP006910	ADIR015855
OG0000204	AGAP006909	ADIR015856
OG0000205	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552	ADIR005975
OG0000206	AGAP008627	ADIR000696
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634	ADIR016010
OG0000207	AGAP001004	ADIR016011
OG0000208	AGAP011183	ADIR001797
OG0000208	AGAP011184	ADIR001798
OG0000209	AGAP011893	ADIR001972
OG0000210	AGAP011432, AGAP029292, AGAP029324, AGAP029065	ADIR000241
OG0000216	AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735	ADIR006331
OG0000217	AGAP012963	ADIR010726
OG0000217	AGAP000310	ADIR005194
OG0000218	AGAP008054	ADIR011222
OG0000218	AGAP008052	ADIR011220
OG0000218	AGAP008051	ADIR011219
OG0000219	AGAP000907	ADIR001531
OG0000220	AGAP013260	ADIR006414
OG0000221	AGAP007990	ADIR011011
OG0000221	AGAP006775	ADIR003610
OG0000222	AGAP028196	ADIR000671
OG0000222	AGAP010241	ADIR004052
OG0000223	AGAP001185	ADIR010046
OG0000224	AGAP013366, AGAP012995, AGAP029279, AGAP013463	ADIR008980, ADIR008979
OG0000225	AGAP003067	ADIR016029
OG0000225	AGAP003066	ADIR016028
OG0000225	AGAP003065	ADIR016027
OG0000226	AGAP002446	ADIR006402
OG0000226	AGAP002447	ADIR006404
OG0000228	AGAP007407, AGAP007410	ADIR007268, ADIR007267, ADIR006114
OG0000228	AGAP000871, AGAP007411	ADIR007266
OG0000229	AGAP003236	ADIR002810
OG0000229	AGAP002137	ADIR005804
OG0000229	AGAP002008	ADIR005315
OG0000230	AGAP028050, AGAP008670, AGAP008671	ADIR006854
OG0000231	AGAP006013	ADIR007453
OG0000231	AGAP006012	ADIR007454
OG0000232	AGAP005657, AGAP012667, AGAP005660	ADIR006899, ADIR016139
OG0000232	AGAP005656	ADIR016138
OG0000233	AGAP001190	ADIR010041
OG0000234	AGAP007802	ADIR000732
OG0000234	AGAP007808	ADIR000742
OG0000234	AGAP007803	ADIR000738
OG0000235	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124	ADIR002045
OG0000236	AGAP001202	ADIR010024
OG0000237	AGAP003501	ADIR015947
OG0000237	AGAP003500	ADIR015946
OG0000244	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711	ADIR005063
OG0000244	AGAP029589	ADIR005072
OG0000245	AGAP002360, AGAP002359	ADIR002600
OG0000247	AGAP006146	ADIR007929
OG0000247	AGAP006145	ADIR007928
OG0000247	AGAP006148	ADIR007931
OG0000248	AGAP028212	ADIR015997
OG0000248	AGAP028060	ADIR015996
OG0000249	AGAP004935	ADIR001663
OG0000250	AGAP002055	ADIR015773
OG0000250	AGAP002058	ADIR015774
OG0000250	AGAP002056	ADIR015775
OG0000251	AGAP012697, AGAP029782, AGAP029784	ADIR002011
OG0000252	AGAP028629	ADIR001823
OG0000252	AGAP011674	ADIR014170, ADIR014169
OG0000253	AGAP001648	ADIR010453, ADIR010451, ADIR010452
OG0000254	AGAP004634	ADIR005871
OG0000254	AGAP013293	ADIR008307
OG0000255	AGAP002195, AGAP002197	ADIR008975
OG0000256	AGAP002766	ADIR003548
OG0000256	AGAP002767, AGAP002769	ADIR003547
OG0000257	AGAP008795, AGAP028220, AGAP008796	ADIR004880
OG0000260	AGAP013416	ADIR015800
OG0000260	AGAP002763	ADIR015801, ADIR015802
OG0000260	AGAP013285	ADIR015799
OG0000260	AGAP013363	ADIR015803
OG0000265	AGAP007255	ADIR008235
OG0000265	AGAP007266	ADIR008228
OG0000265	AGAP000253	ADIR001201
OG0000266	AGAP008867	ADIR006770
OG0000266	AGAP007794	ADIR000724
OG0000266	AGAP007793	ADIR000723
OG0000268	AGAP029235	ADIR005898
OG0000268	AGAP007932	ADIR005897
OG0000268	AGAP007933	ADIR005896
OG0000269	AGAP001722	ADIR016218
OG0000270	AGAP004920, AGAP012945	ADIR001672
OG0000270	AGAP011951, AGAP011952	ADIR001921
OG0000272	AGAP011698	ADIR001841
OG0000272	AGAP011696	ADIR001852
OG0000272	AGAP004760	ADIR009159
OG0000273	AGAP001283	ADIR009959
OG0000274	AGAP010002, AGAP009985	ADIR009412
OG0000275	AGAP003083	ADIR010509
OG0000276	AGAP012686, AGAP029761, AGAP029762	ADIR002281
OG0000277	AGAP001811, AGAP001812	ADIR002721
OG0000278	AGAP004971	ADIR001634
OG0000278	AGAP004951	ADIR001650, ADIR001649
OG0000278	AGAP004974	ADIR001631
OG0000279	AGAP008447	ADIR000638
OG0000279	AGAP008449	ADIR000639
OG0000280	AGAP009918	ADIR004761
OG0000280	AGAP009917	ADIR004760
OG0000280	AGAP029826, AGAP029827	ADIR004759
OG0000285	AGAP004324	ADIR002894
OG0000285	AGAP003096	ADIR015838
OG0000285	AGAP003097	ADIR015839
OG0000286	AGAP010505, AGAP010504	ADIR005642
OG0000287	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706	ADIR015574, ADIR015569, ADIR015568
OG0000288	AGAP009363, AGAP009374	ADIR006111
OG0000288	AGAP029144, AGAP009375	ADIR015495
OG0000289	AGAP028096	ADIR016116
OG0000289	AGAP011302	ADIR016115
OG0000290	AGAP011048	ADIR002288
OG0000290	AGAP011047	ADIR002287
OG0000291	AGAP006510	ADIR007609
OG0000291	AGAP006271	ADIR015675
OG0000292	AGAP010057	ADIR009319
OG0000292	AGAP029713, AGAP029711, AGAP029712	ADIR009317
OG0000293	AGAP001006	ADIR000907
OG0000293	AGAP006991	ADIR008608
OG0000294	AGAP002506	ADIR002676
OG0000294	AGAP012451	ADIR005219
OG0000295	AGAP010650	ADIR016166, ADIR016165, ADIR016167
OG0000295	AGAP010649	ADIR016169
OG0000295	AGAP010648	ADIR016168
OG0000296	AGAP008278, AGAP008279	ADIR000603
OG0000297	AGAP000163	ADIR015723
OG0000297	AGAP000165	ADIR015724
OG0000298	AGAP005975	ADIR007480
OG0000298	AGAP028749	ADIR014006
OG0000299	AGAP002521	ADIR010341
OG0000299	AGAP011852	ADIR002354
OG0000300	AGAP006698	ADIR003683
OG0000302	AGAP007286	ADIR016215
OG0000302	AGAP007287	ADIR008218
OG0000303	AGAP002272	ADIR005583
OG0000303	AGAP002274	ADIR004582
OG0000304	AGAP028011	ADIR010873
OG0000304	AGAP008547	ADIR010872
OG0000305	AGAP008813	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	AGAP007964	ADIR010982
OG0000306	AGAP007965	ADIR010985
OG0000306	AGAP013745	ADIR010984
OG0000313	AGAP008456, AGAP008457, AGAP029423, AGAP008479, AGAP028098, AGAP008463, AGAP008453, AGAP008480, AGAP008452, AGAP008451, AGAP008461, AGAP008462	ADIR000645
OG0000314	AGAP028047, AGAP028119, AGAP028113, AGAP028191, AGAP028077, AGAP028089, AGAP008478, AGAP028126	ADIR011445
OG0000317	AGAP012969, AGAP004432, AGAP012872	ADIR008367
OG0000318	AGAP007879	ADIR006689
OG0000318	AGAP007881	ADIR007089
OG0000319	AGAP008734	ADIR004939
OG0000319	AGAP005794	ADIR007826
OG0000320	AGAP010730	ADIR005272, ADIR005235
OG0000321	AGAP028153	ADIR015863
OG0000321	AGAP009056	ADIR015862
OG0000321	AGAP010766, AGAP010765	ADIR011556
OG0000324	AGAP028204	ADIR010906
OG0000324	AGAP008584	ADIR010907
OG0000325	AGAP007534	ADIR006976
OG0000326	AGAP003658	ADIR005565
OG0000326	AGAP001773, AGAP001774, AGAP012781	ADIR003426
OG0000327	AGAP009949	ADIR004793
OG0000328	AGAP011914, AGAP011913	ADIR001956
OG0000328	AGAP011912	ADIR001957
OG0000329	AGAP029555	ADIR006061, ADIR003916
OG0000329	AGAP009460	ADIR006062
OG0000330	AGAP000988, AGAP000987	ADIR001248
OG0000331	AGAP001264	ADIR009969
OG0000332	AGAP013321	ADIR010199
OG0000332	AGAP001742	ADIR010356
OG0000332	AGAP002650	ADIR010198
OG0000333	AGAP007203	ADIR004150, ADIR004140, ADIR007959, ADIR003780
OG0000334	AGAP009010	ADIR004979
OG0000336	AGAP006216	ADIR004183
OG0000336	AGAP029478	ADIR004182
OG0000336	AGAP006215	ADIR004184
OG0000340	AGAP000643, AGAP000642	ADIR001281, ADIR001282
OG0000340	AGAP000641, AGAP000644	ADIR001283
OG0000341	AGAP028712, AGAP029833, AGAP028714, AGAP028715, AGAP028720, AGAP029832, AGAP028593	ADIR011233
OG0000344	AGAP005208	ADIR001581
OG0000345	AGAP010046, AGAP029395, AGAP010047	ADIR000883
OG0000346	AGAP003197, AGAP003195	ADIR002727
OG0000347	AGAP029724	ADIR011568
OG0000348	AGAP029288	ADIR005623
OG0000349	AGAP005912	ADIR008567
OG0000349	AGAP005913	ADIR008566
OG0000351	AGAP011560, AGAP029490	ADIR000179
