Orthogroup	AgambiaePEST	AminimusMINIMUS1
OG0000012	AGAP001813, AGAP007508	AMIN000411
OG0000012	AGAP005025, AGAP012559, AGAP012709	AMIN004080
OG0000012	AGAP012196	AMIN015676
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	AMIN003474, AMIN003475, AMIN003476
OG0000013	AGAP003385, AGAP003379	AMIN003883
OG0000014	AGAP009728	AMIN009469
OG0000014	AGAP005848	AMIN011187
OG0000014	AGAP004917, AGAP004918, AGAP004916	AMIN011445
OG0000015	AGAP005645	AMIN010186
OG0000015	AGAP005503	AMIN015544
OG0000015	AGAP005502	AMIN015543
OG0000015	AGAP005501	AMIN015541
OG0000015	AGAP005500	AMIN015542
OG0000015	AGAP005499	AMIN010826
OG0000016	AGAP004770	AMIN008109
OG0000016	AGAP009966	AMIN006761
OG0000017	AGAP012574	AMIN004079
OG0000017	AGAP005026	AMIN011507
OG0000018	AGAP028579	AMIN006661
OG0000018	AGAP029431	AMIN006478
OG0000020	AGAP010707, AGAP010709	AMIN008653, AMIN008654
OG0000020	AGAP002910, AGAP002912, AGAP002911	AMIN000732
OG0000020	AGAP010708	AMIN009924
OG0000021	AGAP005095	AMIN015466, AMIN015467
OG0000021	AGAP000651	AMIN015464
OG0000021	AGAP011514	AMIN015465
OG0000021	AGAP011515	AMIN015484
OG0000023	AGAP006253	AMIN008079
OG0000023	AGAP002445	AMIN002713
OG0000023	AGAP002641	AMIN003921
OG0000023	AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	AMIN002718
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	AMIN007806
OG0000024	AGAP012569, AGAP005636, AGAP005638	AMIN007573
OG0000024	AGAP005637	AMIN007572
OG0000024	AGAP006226	AMIN011339
OG0000026	AGAP004981, AGAP012617	AMIN015477
OG0000026	AGAP012616	AMIN015478
OG0000026	AGAP004976	AMIN015473
OG0000026	AGAP004980	AMIN015476
OG0000026	AGAP004977	AMIN015474
OG0000026	AGAP004978	AMIN015475
OG0000026	AGAP006258	AMIN015479
OG0000026	AGAP002825	AMIN015731
OG0000027	AGAP010363	AMIN006557
OG0000027	AGAP010364	AMIN006558
OG0000030	AGAP010812	AMIN007001
OG0000030	AGAP010816	AMIN006992
OG0000030	AGAP010815	AMIN006994
OG0000033	AGAP004148	AMIN015509
OG0000033	AGAP003252	AMIN000381
OG0000033	AGAP003250	AMIN014039
OG0000034	AGAP005485, AGAP005482	AMIN015565
OG0000034	AGAP003594	AMIN000196
OG0000034	AGAP005473	AMIN010809
OG0000034	AGAP005479	AMIN015563
OG0000034	AGAP005481	AMIN015564
OG0000034	AGAP005480	AMIN015562
OG0000034	AGAP005483, AGAP005484	AMIN015508
OG0000034	AGAP004575	AMIN004938
OG0000034	AGAP005938	AMIN010991
OG0000035	AGAP005106	AMIN007272
OG0000035	AGAP028576, AGAP010323, AGAP029940, AGAP000782	AMIN009877
OG0000035	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475	AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814
OG0000035	AGAP006696	AMIN010135
OG0000035	AGAP005307	AMIN007574
OG0000037	AGAP012562, AGAP010741	AMIN006508, AMIN006509
OG0000037	AGAP013316	AMIN003922
OG0000037	AGAP013484, AGAP013247	AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942
OG0000037	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110	AMIN003923, AMIN003925, AMIN003924, AMIN000003
OG0000037	AGAP013264	AMIN004541
OG0000037	AGAP013050	AMIN004540
OG0000039	AGAP006420	AMIN015958
OG0000039	AGAP006421	AMIN015957
OG0000039	AGAP005497	AMIN010824
OG0000039	AGAP006417	AMIN007947
OG0000039	AGAP006443, AGAP006419, AGAP006418	AMIN007946, AMIN015959
OG0000040	AGAP006666	AMIN015663
OG0000040	AGAP006667	AMIN015662
OG0000040	AGAP011469, AGAP012854	AMIN015574
OG0000040	AGAP011467	AMIN015575
OG0000040	AGAP009408, AGAP009409	AMIN001806
OG0000040	AGAP009394	AMIN015590
OG0000040	AGAP009395, AGAP009396, AGAP009398	AMIN015591
OG0000041	AGAP028600	AMIN008776
OG0000041	AGAP029755	AMIN008777
OG0000041	AGAP001764	AMIN003187
OG0000042	AGAP008403	AMIN005907
OG0000042	AGAP009249, AGAP028179, AGAP028641, AGAP029126	AMIN001699
OG0000042	AGAP010545	AMIN015669
OG0000042	AGAP028728	AMIN015668
OG0000043	AGAP012091, AGAP012092	AMIN014336
OG0000043	AGAP029285	AMIN006978
OG0000048	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193	AMIN011325
OG0000049	AGAP011788	AMIN015888
OG0000049	AGAP011781	AMIN015889
OG0000049	AGAP011792	AMIN015891
OG0000049	AGAP011789	AMIN015890
OG0000051	AGAP010120, AGAP010112	AMIN006620
OG0000051	AGAP010117, AGAP010119, AGAP013749, AGAP012875	AMIN014521
OG0000052	AGAP011918	AMIN015582
OG0000052	AGAP011920	AMIN015585
OG0000053	AGAP028063, AGAP028150	AMIN009403
OG0000053	AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	AMIN009402
OG0000055	AGAP002076	AMIN002458
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247	AMIN006625
OG0000057	AGAP010106, AGAP010103, AGAP010121, AGAP010108	AMIN006626
OG0000057	AGAP029248	AMIN014522
OG0000058	AGAP009472	AMIN001846
OG0000058	AGAP008945	AMIN009389
OG0000059	AGAP005194	AMIN016229
OG0000059	AGAP005196, AGAP005195	AMIN016293
OG0000059	AGAP006707	AMIN010123
OG0000060	AGAP010097	AMIN006628
OG0000060	AGAP010095	AMIN006629
OG0000060	AGAP010100, AGAP010099	AMIN014523
OG0000060	AGAP010101	AMIN006627
OG0000061	AGAP012230	AMIN006938
OG0000061	AGAP006371	AMIN007997
OG0000061	AGAP002318, AGAP002317	AMIN004599
OG0000062	AGAP008558	AMIN001001
OG0000062	AGAP013252	AMIN000304
OG0000063	AGAP002555	AMIN002564
OG0000063	AGAP002202	AMIN003060
OG0000064	AGAP002134	AMIN003132
OG0000067	AGAP011939	AMIN015537
OG0000067	AGAP012400	AMIN015982
OG0000067	AGAP012399	AMIN008926
OG0000067	AGAP002102	AMIN000636
OG0000067	AGAP012401	AMIN015981
OG0000068	AGAP005996	AMIN010935
OG0000069	AGAP002851	AMIN003229
OG0000069	AGAP007197	AMIN010636
OG0000069	AGAP002849	AMIN016115
OG0000069	AGAP002850	AMIN016114
OG0000069	AGAP002804	AMIN003907
OG0000071	AGAP000088	AMIN005052
OG0000071	AGAP001861	AMIN000434
OG0000071	AGAP028019	AMIN005942
OG0000071	AGAP008358	AMIN005941
OG0000071	AGAP008356	AMIN005945
OG0000072	AGAP010971	AMIN008641
OG0000072	AGAP002770	AMIN000778
OG0000072	AGAP007122	AMIN011262
OG0000073	AGAP007754	AMIN006338
OG0000073	AGAP007752	AMIN006336
OG0000074	AGAP005384	AMIN007418
OG0000074	AGAP005386	AMIN007419
OG0000074	AGAP007354	AMIN010517
OG0000075	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979	AMIN009972
OG0000075	AGAP006978	AMIN009971
OG0000075	AGAP006985, AGAP006982	AMIN009973
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736	AMIN007057
OG0000076	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234	AMIN006792, AMIN006791, AMIN008359
OG0000076	AGAP011835	AMIN004343
OG0000077	AGAP006422	AMIN015956
OG0000077	AGAP006424	AMIN015954
OG0000077	AGAP006425	AMIN015955
OG0000077	AGAP006423	AMIN015952
OG0000077	AGAP006426	AMIN015953
OG0000078	AGAP028565	AMIN007270
OG0000079	AGAP001162	AMIN015620
OG0000079	AGAP012985, AGAP012982, AGAP013149	AMIN015621, AMIN016252
OG0000079	AGAP001161	AMIN015622
OG0000080	AGAP006379	AMIN007961, AMIN007987
OG0000080	AGAP007504	AMIN010419
OG0000080	AGAP012155, AGAP012156	AMIN008322
OG0000081	AGAP007161	AMIN010657
OG0000081	AGAP007159, AGAP007158	AMIN010659
OG0000081	AGAP007162	AMIN010656
OG0000083	AGAP029438	AMIN000069
OG0000085	AGAP003763	AMIN015862
OG0000085	AGAP003764	AMIN015860
OG0000085	AGAP013346	AMIN015861
OG0000085	AGAP003760, AGAP003759, AGAP003762	AMIN015859, AMIN015863
OG0000085	AGAP003758	AMIN015858
OG0000086	AGAP004809	AMIN008148
OG0000086	AGAP013155, AGAP001881, AGAP012984	AMIN000451
OG0000086	AGAP013150	AMIN002615
OG0000088	AGAP011575	AMIN008863
OG0000088	AGAP011507	AMIN009049
OG0000088	AGAP011509	AMIN009053
OG0000089	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708, AGAP029765	AMIN006914
OG0000090	AGAP007347	AMIN010523
OG0000090	AGAP007386	AMIN010488
OG0000091	AGAP013511	AMIN002875
OG0000093	AGAP005077	AMIN007523
OG0000093	AGAP005308	AMIN007575
OG0000093	AGAP029345	AMIN001012
OG0000096	AGAP010929	AMIN009310
OG0000096	AGAP008622	AMIN014712
OG0000096	AGAP005293	AMIN010757
OG0000096	AGAP010510	AMIN001255
OG0000097	AGAP013451	AMIN003984
OG0000097	AGAP029385	AMIN003985
OG0000098	AGAP009220	AMIN009752
OG0000103	AGAP005105	AMIN014130, AMIN010202
OG0000103	AGAP029484, AGAP029942	AMIN006800
OG0000104	AGAP008545, AGAP028059	AMIN001011
OG0000105	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615	AMIN004525, AMIN004526, AMIN004527, AMIN004524
OG0000105	AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470	AMIN004517, AMIN004457
OG0000107	AGAP002854	AMIN003226
OG0000108	AGAP006187	AMIN001146
OG0000109	AGAP006427	AMIN007943
OG0000109	AGAP029457	AMIN000020
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460	AMIN005870
OG0000114	AGAP008459	AMIN005869
OG0000115	AGAP006594	AMIN007799
OG0000115	AGAP006595	AMIN007798
OG0000116	AGAP009835	AMIN009560
OG0000119	AGAP005834	AMIN011174
OG0000119	AGAP005835, AGAP005836, AGAP005837	AMIN011175
OG0000120	AGAP001249	AMIN015839
OG0000120	AGAP001245	AMIN015843
OG0000120	AGAP006869	AMIN007643
OG0000123	AGAP029183	AMIN001061
OG0000123	AGAP029220	AMIN001063
OG0000123	AGAP013242, AGAP013436, AGAP029216	AMIN007117
OG0000123	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225	AMIN006431
OG0000124	AGAP007461	AMIN010446
OG0000124	AGAP007443	AMIN010457
OG0000124	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471	AMIN010445
OG0000125	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224	AMIN008362
OG0000127	AGAP001825	AMIN000423
OG0000128	AGAP028426	AMIN016003
OG0000128	AGAP010917	AMIN009297
OG0000128	AGAP011366	AMIN016286
OG0000128	AGAP011365	AMIN016287
OG0000129	AGAP013450	AMIN002441
OG0000130	AGAP001899	AMIN000464
OG0000130	AGAP028049	AMIN009807
OG0000131	AGAP009876, AGAP009875	AMIN009597
OG0000131	AGAP009871	AMIN009593
OG0000132	AGAP013132, AGAP004807	AMIN008147
OG0000132	AGAP004806	AMIN008145
OG0000132	AGAP011287	AMIN009203
OG0000133	AGAP012279	AMIN006896
OG0000133	AGAP011611	AMIN008836
OG0000133	AGAP011610	AMIN008837
OG0000134	AGAP006726	AMIN010110
OG0000134	AGAP006728	AMIN010108
OG0000134	AGAP006727	AMIN010109
OG0000135	AGAP009328	AMIN001757
OG0000135	AGAP008968	AMIN009411
OG0000135	AGAP029163, AGAP029157, AGAP007907	AMIN007092
OG0000135	AGAP011482	AMIN009027
OG0000135	AGAP007906	AMIN007093
OG0000136	AGAP011204	AMIN008377
OG0000136	AGAP009509	AMIN001881
OG0000141	AGAP005757	AMIN011058
OG0000142	AGAP003422, AGAP003423	AMIN003855
OG0000142	AGAP003432	AMIN000952
OG0000142	AGAP003078	AMIN003784
OG0000143	AGAP012957, AGAP002418, AGAP013241, AGAP002419	AMIN002682
OG0000144	AGAP006157	AMIN014512
OG0000146	AGAP001956	AMIN000516
OG0000147	AGAP008019	AMIN016141
OG0000147	AGAP008020, AGAP012800	AMIN016134
OG0000147	AGAP008022	AMIN016136
OG0000147	AGAP008018	AMIN016135
OG0000148	AGAP009756, AGAP009755	AMIN009492, AMIN009494
OG0000148	AGAP009757	AMIN009495
OG0000149	AGAP005753	AMIN011053
OG0000149	AGAP005750	AMIN016044
OG0000149	AGAP005751	AMIN016042
OG0000149	AGAP005752	AMIN016043
OG0000150	AGAP007104	AMIN011243
OG0000152	AGAP006398	AMIN007972
OG0000152	AGAP006102	AMIN009946
OG0000152	AGAP006103	AMIN009947
OG0000154	AGAP002894	AMIN000711
OG0000154	AGAP008218, AGAP008217	AMIN006064
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	AMIN015664, AMIN015665
OG0000157	AGAP028217	AMIN001668
OG0000157	AGAP007154	AMIN010663
OG0000159	AGAP011072, AGAP011073, AGAP011071	AMIN015672
OG0000159	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688	AMIN015680
OG0000159	AGAP028690	AMIN015679
OG0000159	AGAP028689	AMIN015678
OG0000160	AGAP029361	AMIN007249, AMIN006471, AMIN007271, AMIN003417
OG0000160	AGAP006815	AMIN010021
OG0000161	AGAP028747	AMIN008303
OG0000161	AGAP006795	AMIN010046
OG0000162	AGAP012318	AMIN006857
OG0000162	AGAP012321	AMIN006855
OG0000163	AGAP009436, AGAP009434, AGAP009435	AMIN001822
OG0000164	AGAP004571	AMIN004931
OG0000164	AGAP004566	AMIN004928
OG0000164	AGAP004570	AMIN004930
OG0000165	AGAP000194	AMIN005409
OG0000165	AGAP010414	AMIN004970
OG0000166	AGAP006049	AMIN007525
OG0000171	AGAP011347	AMIN004244
OG0000172	AGAP011613	AMIN008835
OG0000172	AGAP011609	AMIN008838
OG0000172	AGAP011618	AMIN008827
OG0000173	AGAP029928	AMIN007048
OG0000173	AGAP010764	AMIN007047
OG0000174	AGAP006722	AMIN010113
OG0000174	AGAP000694	AMIN005847
OG0000174	AGAP000693	AMIN015909
OG0000176	AGAP028564	AMIN006477
OG0000180	AGAP008448	AMIN009804
OG0000181	AGAP006076, AGAP006077, AGAP006078, AGAP006079	AMIN009918
OG0000181	AGAP006075	AMIN009916, AMIN009915
OG0000182	AGAP003722, AGAP012784	AMIN004725
OG0000182	AGAP003720	AMIN016128
OG0000182	AGAP003721	AMIN016130
OG0000183	AGAP002423	AMIN002688
OG0000183	AGAP002973	AMIN003141
OG0000184	AGAP009519	AMIN001894
OG0000184	AGAP009520	AMIN015555
OG0000185	AGAP029203, AGAP010657	AMIN008694
OG0000185	AGAP005768	AMIN011065
OG0000187	AGAP002905	AMIN000726
OG0000188	AGAP004855	AMIN011638
OG0000189	AGAP003711	AMIN004715
OG0000189	AGAP001588, AGAP012818, AGAP001587	AMIN003400
OG0000190	AGAP029641	AMIN009845
OG0000190	AGAP008320	AMIN005982
OG0000190	AGAP009683	AMIN001539
OG0000191	AGAP005966	AMIN010963
OG0000191	AGAP005967	AMIN010962
OG0000191	AGAP005968	AMIN010961
OG0000191	AGAP005969	AMIN010960
OG0000192	AGAP008588	AMIN009154
OG0000192	AGAP002152	AMIN003113
OG0000192	AGAP000962	AMIN016221
OG0000193	AGAP002022	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	AGAP009540, AGAP009541, AGAP012649	AMIN001917
OG0000196	AGAP008557	AMIN001000
OG0000200	AGAP011195	AMIN008384
OG0000200	AGAP011194	AMIN008385
OG0000200	AGAP002325	AMIN004606
OG0000201	AGAP006208	AMIN011329
OG0000202	AGAP000414	AMIN005702
OG0000202	AGAP000288	AMIN005629
OG0000204	AGAP006911	AMIN015947
OG0000204	AGAP006910	AMIN015946
OG0000204	AGAP006909	AMIN015945
OG0000205	AGAP029783, AGAP012696	AMIN004379
OG0000206	AGAP008630, AGAP028029	AMIN015995
OG0000206	AGAP008627	AMIN009119
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634	AMIN016067
OG0000207	AGAP001004	AMIN016068
OG0000208	AGAP011183	AMIN008403
OG0000208	AGAP011184	AMIN008402
OG0000210	AGAP011432, AGAP029292, AGAP029324, AGAP029065	AMIN008980
OG0000210	AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891	AMIN008979
OG0000216	AGAP028733, AGAP028664, AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735	AMIN006105
OG0000216	AGAP008173	AMIN006104
OG0000217	AGAP012963	AMIN000805
OG0000217	AGAP000310	AMIN001961
OG0000218	AGAP008054	AMIN006218
OG0000218	AGAP008051	AMIN006220
OG0000219	AGAP000907	AMIN001093
OG0000220	AGAP013260	AMIN002726
OG0000221	AGAP007990	AMIN006274
OG0000221	AGAP006775	AMIN010066
OG0000222	AGAP028196	AMIN001686
OG0000222	AGAP010241	AMIN001152
OG0000223	AGAP001185	AMIN002292
OG0000224	AGAP013366, AGAP012995, AGAP029279	AMIN003074
OG0000224	AGAP013463	AMIN003071
OG0000225	AGAP003066, AGAP003065	AMIN003771
OG0000226	AGAP012970	AMIN002711, AMIN002712
OG0000226	AGAP002448, AGAP002447	AMIN002715
OG0000228	AGAP007407, AGAP007410	AMIN008194, AMIN010472
OG0000228	AGAP000871, AGAP007411	AMIN010471
OG0000229	AGAP003236	AMIN000391
OG0000229	AGAP002137	AMIN003127
OG0000229	AGAP002008	AMIN003317
OG0000230	AGAP028050, AGAP008670, AGAP008671	AMIN009075, AMIN009077
OG0000231	AGAP006013	AMIN010930
OG0000231	AGAP006012	AMIN010931
OG0000232	AGAP005657, AGAP012667, AGAP005660	AMIN010173, AMIN010175, AMIN016211
OG0000232	AGAP005656	AMIN016210
OG0000233	AGAP001190	AMIN002286
OG0000233	AGAP001199	AMIN002275
OG0000234	AGAP007802	AMIN006393
OG0000234	AGAP007808	AMIN006400
OG0000234	AGAP007803	AMIN006394
OG0000236	AGAP001202	AMIN002269, AMIN002270
OG0000237	AGAP003501	AMIN000894
OG0000244	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711	AMIN009457
OG0000245	AGAP002360, AGAP002359	AMIN000228
OG0000246	AGAP012702, AGAP004173	AMIN004180
OG0000246	AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380	AMIN004771
OG0000247	AGAP006146	AMIN010670
OG0000247	AGAP006145	AMIN010671
OG0000247	AGAP006148	AMIN010668
OG0000248	AGAP008404	AMIN005906
OG0000248	AGAP028212	AMIN016193
OG0000248	AGAP028060	AMIN016192
OG0000249	AGAP004935	AMIN011428
OG0000249	AGAP005326	AMIN007370
OG0000250	AGAP002058	AMIN003364
OG0000251	AGAP029784	AMIN004378
OG0000252	AGAP028629	AMIN008785
OG0000253	AGAP001648	AMIN003457
OG0000254	AGAP004634	AMIN000082
OG0000254	AGAP013293	AMIN000940
OG0000255	AGAP002195	AMIN016175
OG0000256	AGAP002766	AMIN000774
OG0000256	AGAP002767	AMIN000776
OG0000256	AGAP002769	AMIN000777
OG0000257	AGAP008795	AMIN001432
OG0000257	AGAP028220	AMIN001434
OG0000260	AGAP013363	AMIN003553
OG0000265	AGAP007255	AMIN010596
OG0000265	AGAP007266	AMIN010587
OG0000265	AGAP000253	AMIN005808
OG0000266	AGAP008867	AMIN001628
OG0000266	AGAP007794	AMIN006383
OG0000266	AGAP007793	AMIN006382
OG0000267	AGAP004164	AMIN004190
OG0000267	AGAP004378	AMIN004770
OG0000268	AGAP029235	AMIN007059
OG0000268	AGAP007932	AMIN007060
OG0000268	AGAP007933	AMIN007061
OG0000269	AGAP001722	AMIN016284
OG0000270	AGAP004920, AGAP012945	AMIN011416
OG0000270	AGAP011951	AMIN008623
OG0000270	AGAP011952	AMIN015971
OG0000271	AGAP008769	AMIN001411
OG0000272	AGAP011696	AMIN008763
OG0000272	AGAP004760	AMIN008100
OG0000273	AGAP001281	AMIN015825
OG0000273	AGAP001283	AMIN015824
OG0000273	AGAP001284	AMIN002200
OG0000274	AGAP010002, AGAP009985	AMIN006742
OG0000276	AGAP029762	AMIN008276
OG0000277	AGAP001811, AGAP001812	AMIN000409
OG0000278	AGAP004971	AMIN011462
OG0000278	AGAP004951	AMIN011446
OG0000278	AGAP004974	AMIN011465
OG0000279	AGAP008447	AMIN014755
OG0000280	AGAP009918	AMIN006822
OG0000280	AGAP009917	AMIN006823
OG0000280	AGAP029827	AMIN006824
OG0000285	AGAP004324	AMIN002977
OG0000285	AGAP003096	AMIN015604
OG0000285	AGAP003097	AMIN015606
OG0000286	AGAP010505, AGAP010504	AMIN001250
OG0000287	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706	AMIN015655, AMIN015654, AMIN015652, AMIN015653
OG0000288	AGAP009363, AGAP009374, AGAP029144, AGAP009375	AMIN001788
OG0000289	AGAP028096	AMIN009186
OG0000290	AGAP011048	AMIN015559
OG0000290	AGAP011047	AMIN008540
OG0000290	AGAP011046	AMIN015558
OG0000291	AGAP006510	AMIN007862
OG0000291	AGAP006271	AMIN008052
OG0000292	AGAP010057	AMIN006672
OG0000292	AGAP029713, AGAP029711, AGAP029712	AMIN006670
OG0000293	AGAP001006	AMIN005398
OG0000294	AGAP002506	AMIN005760
OG0000294	AGAP012451	AMIN005761
OG0000295	AGAP010650	AMIN008699
OG0000295	AGAP010649	AMIN016301
OG0000295	AGAP010648	AMIN016300
OG0000296	AGAP008278, AGAP008279	AMIN006011
OG0000297	AGAP000163	AMIN015904
OG0000297	AGAP000165	AMIN015903
OG0000299	AGAP002521	AMIN002531
OG0000299	AGAP011852	AMIN008559
OG0000300	AGAP006698	AMIN010132
OG0000302	AGAP007286	AMIN016306
OG0000302	AGAP007287	AMIN010574
OG0000303	AGAP002272	AMIN000132
OG0000303	AGAP002274	AMIN004553
OG0000304	AGAP008548, AGAP028011	AMIN001010
OG0000305	AGAP008813	AMIN007189
OG0000306	AGAP007964	AMIN006304
OG0000306	AGAP013745	AMIN006305
OG0000313	AGAP008456, AGAP008457, AGAP029423, AGAP008479, AGAP028098, AGAP008463, AGAP008453, AGAP008480, AGAP008452, AGAP008451, AGAP008461, AGAP008462	AMIN009818
OG0000314	AGAP028047, AGAP028119, AGAP028113, AGAP028191, AGAP028077, AGAP028089, AGAP008478, AGAP028126	AMIN009817
OG0000317	AGAP012969, AGAP004432	AMIN004815
OG0000318	AGAP007879	AMIN007124, AMIN007158
OG0000318	AGAP007880	AMIN007123
OG0000318	AGAP007881	AMIN007122
OG0000319	AGAP008734	AMIN001372
OG0000319	AGAP005794	AMIN011132
OG0000321	AGAP028153	AMIN015801
OG0000321	AGAP009056	AMIN015802
OG0000321	AGAP010766, AGAP010765	AMIN007046
OG0000324	AGAP028204	AMIN009157
OG0000324	AGAP008584	AMIN009156
OG0000325	AGAP007534	AMIN010396
OG0000326	AGAP003658	AMIN004016
OG0000326	AGAP001773, AGAP001774, AGAP012781	AMIN003194
OG0000327	AGAP009949	AMIN006782
OG0000328	AGAP011914, AGAP011913	AMIN008593
OG0000328	AGAP011912	AMIN008592
OG0000329	AGAP029555	AMIN001843
OG0000329	AGAP009460	AMIN001842
OG0000330	AGAP000989	AMIN005466
OG0000330	AGAP000988, AGAP000987	AMIN005465
OG0000331	AGAP001264	AMIN015827
OG0000331	AGAP013078, AGAP013443	AMIN015828, AMIN015829
OG0000332	AGAP013321	AMIN003653
OG0000332	AGAP001742	AMIN003550
OG0000332	AGAP002650	AMIN003652
OG0000333	AGAP007203	AMIN010628, AMIN010619
OG0000334	AGAP009010	AMIN001560
OG0000336	AGAP006215	AMIN011337
OG0000340	AGAP000643, AGAP000642	AMIN005724, AMIN005725
OG0000340	AGAP000641, AGAP000644	AMIN005726
OG0000341	AGAP008071, AGAP008070	AMIN006202
OG0000341	AGAP028712, AGAP029833, AGAP028714, AGAP028715, AGAP028720, AGAP029832, AGAP028593	AMIN006203
OG0000344	AGAP005208	AMIN007367
