Orthogroup	AgambiaePEST	CquinquefasciatusJHB2020
OG0000016	AGAP008861	CQUJHB006645, CQUJHB016247
OG0000016	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507
OG0000016	AGAP009966	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000017	AGAP012558, AGAP010724	CQUJHB001516
OG0000017	AGAP012574	CQUJHB006040, CQUJHB006644
OG0000017	AGAP005026	CQUJHB017511
OG0000020	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	AGAP005095	CQUJHB005197, CQUJHB014638
OG0000021	AGAP000651	CQUJHB010956
OG0000021	AGAP011514	CQUJHB016733
OG0000021	AGAP001676	CQUJHB012948
OG0000021	AGAP011515	CQUJHB015628
OG0000023	AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176	CQUJHB002404
OG0000023	AGAP029824, AGAP006586, AGAP006584, AGAP029797	CQUJHB015434, CQUJHB012060
OG0000024	AGAP012569, AGAP005636, AGAP005638	CQUJHB005662
OG0000024	AGAP005637	CQUJHB001106, CQUJHB003177
OG0000024	AGAP006226	CQUJHB015002
OG0000024	AGAP006224, AGAP006225	CQUJHB015651, CQUJHB010229, CQUJHB003602
OG0000024	AGAP006221, AGAP006220	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000026	AGAP004975, AGAP004977	CQUJHB017272
OG0000026	AGAP004978	CQUJHB011732, CQUJHB012165
OG0000026	AGAP006258	CQUJHB005106
OG0000026	AGAP002825	CQUJHB007540
OG0000027	AGAP029283	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094
OG0000027	AGAP010363, AGAP010364	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000030	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000033	AGAP003251	CQUJHB013700
OG0000033	AGAP003248	CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000034	AGAP005938	CQUJHB012032
OG0000037	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113	CQUJHB011063
OG0000039	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	AGAP006666, AGAP006667	CQUJHB002131, CQUJHB000018, CQUJHB020446
OG0000040	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397	CQUJHB020438
OG0000041	AGAP029305, AGAP029267	CQUJHB013017, CQUJHB009859
OG0000041	AGAP028600	CQUJHB001955, CQUJHB001825
OG0000041	AGAP029755	CQUJHB000581
OG0000041	AGAP029753	CQUJHB013621, CQUJHB007017
OG0000041	AGAP001764, AGAP029756	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126	CQUJHB006261
OG0000042	AGAP029929, AGAP029932	CQUJHB014357
OG0000046	AGAP013221	CQUJHB005669, CQUJHB017284
OG0000048	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	AGAP011788	CQUJHB015876
OG0000049	AGAP011781	CQUJHB015556
OG0000049	AGAP029335, AGAP029286, AGAP011785, AGAP011786	CQUJHB013788
OG0000049	AGAP011789	CQUJHB015769
OG0000051	AGAP010109	CQUJHB008348
OG0000051	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	AGAP011918	CQUJHB005091
OG0000052	AGAP011920	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	CQUJHB018432
OG0000055	AGAP002076	CQUJHB018229
OG0000055	AGAP004944	CQUJHB017720
OG0000055	AGAP004583, AGAP004581	CQUJHB002352
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	AGAP028729	CQUJHB000757
OG0000058	AGAP009471, AGAP009472	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	AGAP009467	CQUJHB016789
OG0000058	AGAP009468	CQUJHB013221
OG0000058	AGAP008945	CQUJHB005830
OG0000059	AGAP005194, AGAP012778, AGAP005196, AGAP005195	CQUJHB005700
OG0000059	AGAP006707, AGAP006709, AGAP006710, AGAP006711	CQUJHB006696
OG0000059	AGAP007142, AGAP007141	CQUJHB011753
OG0000060	AGAP010097	CQUJHB004792
OG0000060	AGAP010100, AGAP010099	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000060	AGAP010098, AGAP010101	CQUJHB002343
OG0000061	AGAP012230	CQUJHB009715, CQUJHB015055
OG0000061	AGAP006371	CQUJHB017379
OG0000061	AGAP002317	CQUJHB011103, CQUJHB002901
OG0000062	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067	CQUJHB009702
OG0000063	AGAP002555	CQUJHB018065
OG0000063	AGAP002202	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091
OG0000067	AGAP011939	CQUJHB012309
OG0000067	AGAP012400	CQUJHB007474, CQUJHB016064
OG0000067	AGAP012399	CQUJHB016947
OG0000067	AGAP002102	CQUJHB018109
OG0000067	AGAP012401	CQUJHB014152
OG0000068	AGAP005999	CQUJHB004402
OG0000068	AGAP005998	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	AGAP005996	CQUJHB001983
OG0000068	AGAP006001	CQUJHB009275
OG0000069	AGAP002851	CQUJHB002460
OG0000069	AGAP007197	CQUJHB012428
OG0000069	AGAP007415, AGAP002849, AGAP002850, AGAP002804	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	AGAP013490, AGAP000088	CQUJHB009539, CQUJHB013274
OG0000071	AGAP001861	CQUJHB005863, CQUJHB017394
OG0000071	AGAP028019, AGAP008358, AGAP008356	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	AGAP010971	CQUJHB006781
OG0000072	AGAP002770	CQUJHB004785
OG0000072	AGAP007122	CQUJHB005018, CQUJHB006868
OG0000073	AGAP007754	CQUJHB000587
OG0000073	AGAP007753	CQUJHB005489, CQUJHB004178
OG0000073	AGAP007752	CQUJHB014734
OG0000074	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	AGAP007354	CQUJHB007995
OG0000075	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	AGAP006424	CQUJHB001286
OG0000077	AGAP006425, AGAP006423	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000077	AGAP006426	CQUJHB018214
OG0000079	AGAP001162	CQUJHB005309
OG0000079	AGAP012985, AGAP012982, AGAP013149	CQUJHB003821, CQUJHB018448
OG0000079	AGAP001161	CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	AGAP006380	CQUJHB017034, CQUJHB010133
OG0000080	AGAP007504	CQUJHB015069
OG0000080	AGAP012155, AGAP012156	CQUJHB005257, CQUJHB005516
OG0000081	AGAP007161	CQUJHB001153
OG0000081	AGAP007162	CQUJHB000320
OG0000085	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758	CQUJHB014727, CQUJHB008083
OG0000086	AGAP013155, AGAP001881, AGAP012984	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000086	AGAP013150	CQUJHB012368
OG0000088	AGAP011575	CQUJHB009482
OG0000088	AGAP011507, AGAP011509	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	AGAP029766	CQUJHB015151
OG0000089	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708	CQUJHB003816
OG0000089	AGAP029765	CQUJHB012139
OG0000090	AGAP007347, AGAP007343	CQUJHB017497
OG0000090	AGAP007386	CQUJHB007824
OG0000091	AGAP003343	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123
OG0000091	AGAP013511	CQUJHB017444
OG0000093	AGAP028431, AGAP011339, AGAP005077, AGAP005104, AGAP029262, AGAP029447, AGAP005308, AGAP029345	CQUJHB010789
OG0000096	AGAP010929	CQUJHB002716
OG0000096	AGAP008622	CQUJHB018308
OG0000096	AGAP005293	CQUJHB008108
OG0000096	AGAP010510	CQUJHB008616
OG0000097	AGAP013318	CQUJHB012977
OG0000097	AGAP013451	CQUJHB011218, CQUJHB006589
OG0000097	AGAP002592	CQUJHB017887
OG0000097	AGAP002593, AGAP029385, AGAP013229	CQUJHB015073
OG0000098	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000104	AGAP009159	CQUJHB003501
OG0000104	AGAP008545, AGAP028059, AGAP028140, AGAP008544	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	AGAP013529, AGAP002855, AGAP002856, AGAP002854	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925
OG0000108	AGAP006187	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	AGAP006427	CQUJHB017035
OG0000109	AGAP029457	CQUJHB000019
OG0000109	AGAP004603	CQUJHB012435
OG0000109	AGAP029686	CQUJHB007563
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460	CQUJHB001127, CQUJHB016273
OG0000114	AGAP028151, AGAP028057	CQUJHB008130, CQUJHB012994
OG0000114	AGAP008458	CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	AGAP006594	CQUJHB014380
OG0000116	AGAP008437	CQUJHB007929
OG0000116	AGAP028128, AGAP027980	CQUJHB009840
OG0000116	AGAP009835	CQUJHB015910
OG0000119	AGAP005834	CQUJHB001620
OG0000119	AGAP005835, AGAP005836, AGAP005837	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	AGAP001249	CQUJHB006803
OG0000120	AGAP001245	CQUJHB014331, CQUJHB001450
OG0000127	AGAP001825	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	AGAP010917	CQUJHB011093
OG0000128	AGAP011366	CQUJHB006737
OG0000128	AGAP011365	CQUJHB017854
OG0000129	AGAP012996, AGAP001552, AGAP013124	CQUJHB000384, CQUJHB003430, CQUJHB014096
OG0000129	AGAP013450, AGAP013239	CQUJHB016178, CQUJHB012226
OG0000130	AGAP001899	CQUJHB016267
OG0000130	AGAP008468, AGAP028049	CQUJHB001771
OG0000131	AGAP009877	CQUJHB000645
OG0000131	AGAP009876	CQUJHB004459
OG0000131	AGAP009875	CQUJHB010920
OG0000131	AGAP009871	CQUJHB014041
OG0000132	AGAP013132, AGAP004807, AGAP012529	CQUJHB008636
OG0000132	AGAP004806	CQUJHB010862
OG0000132	AGAP011287	CQUJHB003091
OG0000133	AGAP012279	CQUJHB009822
OG0000133	AGAP011610	CQUJHB016449
OG0000134	AGAP006726	CQUJHB006248, CQUJHB017587, CQUJHB010568
OG0000134	AGAP006728, AGAP006727	CQUJHB012326
OG0000135	AGAP008968	CQUJHB017649
OG0000135	AGAP029163, AGAP029157, AGAP007907	CQUJHB008910
OG0000135	AGAP011482, AGAP007906, AGAP009527	CQUJHB008581
OG0000136	AGAP011204	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282
OG0000136	AGAP009509	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	AGAP005758, AGAP005757, AGAP005756	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	AGAP003422, AGAP003423	CQUJHB011887
OG0000142	AGAP003432	CQUJHB002040
OG0000142	AGAP003078	CQUJHB003927
OG0000143	AGAP002419	CQUJHB006194
OG0000146	AGAP001956, AGAP013106	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	AGAP009751	CQUJHB001186
OG0000148	AGAP009754, AGAP009756, AGAP009755	CQUJHB000776
OG0000148	AGAP009757	CQUJHB017061
OG0000149	AGAP005753	CQUJHB010028
OG0000149	AGAP005750	CQUJHB012080
OG0000149	AGAP005751	CQUJHB014966
OG0000149	AGAP005752	CQUJHB017015, CQUJHB010834
OG0000150	AGAP007104	CQUJHB006439
OG0000151	AGAP003785, AGAP012609	CQUJHB018327
OG0000152	AGAP006398	CQUJHB014990
OG0000152	AGAP006102	CQUJHB005329
OG0000152	AGAP006103	CQUJHB009136
OG0000154	AGAP002894, AGAP008218, AGAP008217, AGAP008219	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000157	AGAP028217	CQUJHB001379
OG0000157	AGAP007154	CQUJHB007316, CQUJHB018173, CQUJHB009836
OG0000161	AGAP009830	CQUJHB017743
OG0000161	AGAP006796, AGAP006795	CQUJHB000076
OG0000162	AGAP012318	CQUJHB009418
OG0000162	AGAP012325	CQUJHB020435, CQUJHB014569
OG0000162	AGAP012321	CQUJHB004329
OG0000162	AGAP012320	CQUJHB020337
OG0000163	AGAP009436	CQUJHB015427
OG0000163	AGAP009434	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576
OG0000163	AGAP009435	CQUJHB004810, CQUJHB003658
OG0000164	AGAP004571	CQUJHB011226
OG0000164	AGAP004567	CQUJHB016036
OG0000164	AGAP004566	CQUJHB012144, CQUJHB018124
OG0000164	AGAP004570	CQUJHB012545
OG0000165	AGAP000194	CQUJHB004809
OG0000165	AGAP000192	CQUJHB001386
OG0000165	AGAP000193, AGAP010414	CQUJHB008494
OG0000166	AGAP006048	CQUJHB002907
OG0000166	AGAP006049	CQUJHB004489
OG0000166	AGAP006047	CQUJHB009503, CQUJHB000077
OG0000171	AGAP011348	CQUJHB005596
OG0000171	AGAP011347	CQUJHB006525
OG0000172	AGAP011613	CQUJHB004762
OG0000172	AGAP011609	CQUJHB006283
OG0000172	AGAP011618	CQUJHB003020
OG0000173	AGAP029928	CQUJHB013713
OG0000173	AGAP010764	CQUJHB001093, CQUJHB007201
OG0000174	AGAP000694	CQUJHB012327
OG0000174	AGAP000693	CQUJHB009037, CQUJHB004035
OG0000180	AGAP008448	CQUJHB005835, CQUJHB005816, CQUJHB007916, CQUJHB006996, CQUJHB001222, CQUJHB013519, CQUJHB008661, CQUJHB002191, CQUJHB000686, CQUJHB009673, CQUJHB009193, CQUJHB000772
OG0000181	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075	CQUJHB018406, CQUJHB017566
OG0000182	AGAP003722, AGAP012784	CQUJHB010205
OG0000182	AGAP003720	CQUJHB012840
OG0000182	AGAP003721	CQUJHB007241
OG0000183	AGAP002979, AGAP002423, AGAP002973	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217
OG0000184	AGAP009519	CQUJHB005313
OG0000184	AGAP009520	CQUJHB020350, CQUJHB003938, CQUJHB000274
OG0000185	AGAP029203, AGAP010657	CQUJHB017110, CQUJHB016405, CQUJHB006617
OG0000185	AGAP005768	CQUJHB017959, CQUJHB000372
OG0000187	AGAP002905	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136
OG0000188	AGAP004855	CQUJHB017292, CQUJHB007220, CQUJHB003135
OG0000189	AGAP003711	CQUJHB011357
OG0000189	AGAP001588, AGAP012818	CQUJHB001514
OG0000189	AGAP001587	CQUJHB016877
OG0000190	AGAP029641	CQUJHB014000
OG0000190	AGAP008320	CQUJHB013041
OG0000190	AGAP009683	CQUJHB007455
OG0000191	AGAP005966, AGAP005967, AGAP005968, AGAP005969	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469
OG0000192	AGAP008588	CQUJHB011350
OG0000192	AGAP002152	CQUJHB011486
OG0000192	AGAP000962	CQUJHB006523
OG0000193	AGAP002022	CQUJHB016836, CQUJHB008892, CQUJHB000131
OG0000194	AGAP009540, AGAP009541, AGAP012649	CQUJHB007940
OG0000196	AGAP008557	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062
OG0000200	AGAP011195	CQUJHB003055
OG0000200	AGAP011194	CQUJHB000054
OG0000200	AGAP002325	CQUJHB006956
OG0000201	AGAP006207	CQUJHB002501, CQUJHB011456
OG0000201	AGAP006208	CQUJHB015906
OG0000201	AGAP006209	CQUJHB013148, CQUJHB016903
OG0000202	AGAP000288	CQUJHB017404, CQUJHB010576
OG0000202	AGAP000289	CQUJHB013321, CQUJHB012941
OG0000203	AGAP029591	CQUJHB018349
OG0000203	AGAP029307	CQUJHB014121, CQUJHB004265, CQUJHB018395
OG0000203	AGAP028615	CQUJHB001614
OG0000204	AGAP006911	CQUJHB015536, CQUJHB018050
OG0000204	AGAP006910	CQUJHB009121
OG0000205	AGAP029783, AGAP012696	CQUJHB011157
OG0000205	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552	CQUJHB006892
OG0000206	AGAP008630, AGAP028029	CQUJHB009215, CQUJHB015605, CQUJHB002272
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004	CQUJHB009425
OG0000208	AGAP011182	CQUJHB009267, CQUJHB007743
OG0000208	AGAP011183	CQUJHB002746
OG0000208	AGAP011184	CQUJHB017609, CQUJHB006033, CQUJHB016545
OG0000209	AGAP011893	CQUJHB000140
