Orthogroup	AgambiaePEST	AaegyptiLVP_AGWG
OG0000049	AGAP011789	AAEL002629
OG0000051	AGAP010109	AAEL004769
OG0000051	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000052	AGAP011918	AAEL017475
OG0000052	AGAP011920	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226	AAEL010055
OG0000055	AGAP002076	AAEL019403
OG0000055	AGAP004944	AAEL026446
OG0000055	AGAP004583, AGAP004581	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	AGAP028729	AAEL008632
OG0000058	AGAP009471, AGAP009472	AAEL026976, AAEL008624
OG0000058	AGAP009467	AAEL008625
OG0000058	AGAP009468	AAEL008628
OG0000059	AGAP005194, AGAP012778, AGAP005196, AGAP005195	AAEL022646
OG0000059	AGAP006707, AGAP006709, AGAP006710, AGAP006711	AAEL002360
OG0000059	AGAP007142, AGAP007141	AAEL002347, AAEL024934
OG0000060	AGAP010097	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	AGAP010100, AGAP010099	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	AGAP012230	AAEL026011, AAEL007673
OG0000061	AGAP006371	AAEL006719
OG0000061	AGAP002317	AAEL013421, AAEL008451
OG0000062	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067	AAEL015533
OG0000063	AGAP002555	AAEL005771, AAEL005788
OG0000063	AGAP002202	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338
OG0000064	AGAP002134	AAEL017501
OG0000067	AGAP011939	AAEL003434
OG0000067	AGAP012400	AAEL000678, AAEL000647
OG0000067	AGAP012399	AAEL000642
OG0000067	AGAP002102	AAEL009524
OG0000067	AGAP012401	AAEL000667
OG0000068	AGAP005999	AAEL024556
OG0000068	AGAP005998	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514
OG0000068	AGAP005996	AAEL011444
OG0000068	AGAP006001	AAEL013515
OG0000069	AGAP002851	AAEL015136
OG0000069	AGAP007197, AGAP007415, AGAP002849, AGAP002850, AGAP002804	AAEL009556, AAEL009555, AAEL009553
OG0000071	AGAP013490, AGAP000088	AAEL007812
OG0000071	AGAP001861	AAEL002085, AAEL003399
OG0000071	AGAP028019, AGAP008358, AGAP008356	AAEL013798
OG0000072	AGAP010971	AAEL013229
OG0000072	AGAP001218	AAEL006642
OG0000072	AGAP002770	AAEL012424
OG0000072	AGAP007122	AAEL026111, AAEL004172
OG0000073	AGAP007754	AAEL007136
OG0000073	AGAP007753	AAEL007131
OG0000073	AGAP007752	AAEL007128
OG0000073	AGAP013770	AAEL007139
OG0000074	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388	AAEL011460, AAEL011454
OG0000074	AGAP007354	AAEL011449
OG0000075	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835	AAEL003992
OG0000077	AGAP006422	AAEL021375
OG0000077	AGAP006424	AAEL026915
OG0000077	AGAP006425, AGAP006423	AAEL015020, AAEL015573, AAEL015021
OG0000077	AGAP006426	AAEL015022
OG0000079	AGAP012985, AGAP012982, AGAP013149	AAEL023932, AAEL006498, AAEL006259
OG0000079	AGAP001161	AAEL005621, AAEL005625, AAEL006484, AAEL024685
OG0000080	AGAP006380	AAEL012700, AAEL012702
OG0000080	AGAP006379	AAEL012698
OG0000080	AGAP012155, AGAP012156	AAEL008384, AAEL008386
OG0000081	AGAP007161	AAEL013347
OG0000081	AGAP005547, AGAP005548, AGAP007159, AGAP007158	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	AGAP007162	AAEL013341
OG0000085	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	AGAP004809	AAEL012778
OG0000086	AGAP013155, AGAP001881, AGAP012984	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000086	AGAP013150	AAEL009108
OG0000088	AGAP011575	AAEL001517
OG0000088	AGAP011507, AGAP011509	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	AGAP029766	AAEL008252, AAEL022849
OG0000089	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708	AAEL001151
OG0000089	AGAP029765	AAEL001146
OG0000090	AGAP007347, AGAP007343	AAEL003723, AAEL003712
OG0000090	AGAP007385	AAEL017132
OG0000090	AGAP007386	AAEL015404
OG0000091	AGAP003343	AAEL006992, AAEL006989, AAEL003890
OG0000091	AGAP013511	AAEL007010, AAEL021861, AAEL007024
OG0000096	AGAP010929	AAEL002851
OG0000096	AGAP008622	AAEL019894
OG0000096	AGAP005293	AAEL005052
OG0000096	AGAP010510	AAEL002848
OG0000097	AGAP013318	AAEL009559, AAEL009567
OG0000097	AGAP013451	AAEL009566
OG0000097	AGAP002592	AAEL029014
OG0000098	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218	AAEL014140, AAEL014137, AAEL022822
OG0000104	AGAP009159	AAEL002669, AAEL002666, AAEL002658
OG0000104	AGAP008545, AGAP028059, AGAP028140, AGAP008544	AAEL002668, AAEL006823
OG0000107	AGAP013529, AGAP002855, AGAP002856, AGAP002854	AAEL014731, AAEL007754, AAEL004928
OG0000108	AGAP006187	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	AGAP006427	AAEL018267
OG0000109	AGAP029457	AAEL023958
OG0000109	AGAP004603	AAEL019847, AAEL012395
OG0000109	AGAP029686	AAEL027539
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	AGAP028151, AGAP028057	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246
OG0000114	AGAP008458	AAEL002223, AAEL002233, AAEL002187
OG0000115	AGAP006594	AAEL004247
OG0000115	AGAP006595	AAEL022427
OG0000116	AGAP008437	AAEL005045, AAEL017209
OG0000116	AGAP028128, AGAP027980	AAEL005043
OG0000116	AGAP009835	AAEL004743
OG0000119	AGAP005834	AAEL005200
OG0000119	AGAP005835, AGAP005836, AGAP005837	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	AGAP001249	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	AGAP001245	AAEL005594, AAEL005611
OG0000127	AGAP001825	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	AGAP028426	AAEL000904
OG0000128	AGAP010917	AAEL000918
OG0000128	AGAP011366, AGAP011365	AAEL019933
OG0000129	AGAP012996, AGAP001552, AGAP013124	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685
OG0000129	AGAP013450, AGAP013239	AAEL001195
OG0000130	AGAP001899	AAEL008160
OG0000130	AGAP008468, AGAP028049	AAEL002237
OG0000131	AGAP009877	AAEL024660
OG0000131	AGAP009876	AAEL003272
OG0000131	AGAP009875	AAEL003226
OG0000131	AGAP009871	AAEL003259
OG0000132	AGAP013132, AGAP004807, AGAP012529	AAEL005293
OG0000132	AGAP011287	AAEL003840
OG0000133	AGAP012279	AAEL004091
OG0000133	AGAP011611, AGAP011610	AAEL014230
OG0000134	AGAP006724, AGAP006725	AAEL019678
OG0000134	AGAP006726	AAEL005113, AAEL023844, AAEL005123
OG0000134	AGAP006728, AGAP006727	AAEL019679
OG0000135	AGAP029161	AAEL029067
OG0000135	AGAP029163, AGAP029157, AGAP007907	AAEL006011
OG0000136	AGAP011204	AAEL013227, AAEL013233, AAEL021425, AAEL006287
OG0000136	AGAP009509	AAEL013692, AAEL008098, AAEL007698
OG0000141	AGAP005758, AGAP005757, AGAP005756	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	AGAP003422, AGAP003423	AAEL002426
OG0000142	AGAP003432	AAEL002432
OG0000142	AGAP003078	AAEL002408
OG0000143	AGAP002419	AAEL007816
OG0000146	AGAP001956, AGAP013106	AAEL007592, AAEL015137
OG0000147	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	AGAP009751	AAEL017451
OG0000148	AGAP009754, AGAP009756, AGAP009755	AAEL017460
OG0000148	AGAP009757	AAEL002676
OG0000149	AGAP005753	AAEL003091
OG0000149	AGAP005750	AAEL027549, AAEL027016
OG0000149	AGAP005751	AAEL026670
OG0000149	AGAP005752	AAEL003076
OG0000150	AGAP007104	AAEL003497
OG0000151	AGAP003785, AGAP012609	AAEL004025
OG0000152	AGAP006398	AAEL011180
OG0000152	AGAP006102	AAEL005270
OG0000152	AGAP006103	AAEL005259
OG0000154	AGAP002894, AGAP008218, AGAP008217, AGAP008219	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000157	AGAP028217	AAEL026898
OG0000157	AGAP007154	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392
OG0000160	AGAP029361	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	AGAP028747	AAEL021131
OG0000161	AGAP006796, AGAP006795	AAEL004798, AAEL002467
OG0000162	AGAP012325	AAEL002617
OG0000162	AGAP012321	AAEL002606
OG0000162	AGAP012320	AAEL002587
OG0000163	AGAP009436	AAEL004507
OG0000163	AGAP009434	AAEL022219
OG0000163	AGAP009435	AAEL004486
OG0000164	AGAP004571	AAEL007511
OG0000164	AGAP004567	AAEL026347
OG0000164	AGAP004566	AAEL014567
OG0000164	AGAP004570	AAEL007514
OG0000165	AGAP000194	AAEL008017
OG0000165	AGAP000192	AAEL025214
OG0000165	AGAP000193, AGAP010414	AAEL008018
OG0000166	AGAP006048	AAEL013556, AAEL013554
OG0000166	AGAP006049	AAEL014830
OG0000166	AGAP006047	AAEL014019
OG0000171	AGAP011348	AAEL027547, AAEL017192
OG0000171	AGAP011347	AAEL023653, AAEL005134
OG0000172	AGAP011613	AAEL026737
OG0000172	AGAP011609	AAEL020253
OG0000172	AGAP011618	AAEL011332
OG0000173	AGAP029928	AAEL014515
OG0000174	AGAP000694	AAEL029047
OG0000174	AGAP000693	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000180	AGAP008448	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202
OG0000181	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	AGAP003722, AGAP012784	AAEL005407
OG0000182	AGAP003720	AAEL005412, AAEL005426, AAEL005417
OG0000182	AGAP003721	AAEL005408
OG0000183	AGAP002979, AGAP002423, AGAP002973	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	AGAP009519	AAEL005999
OG0000184	AGAP009520	AAEL006003
OG0000185	AGAP029203, AGAP010657	AAEL013981, AAEL013983, AAEL021888
OG0000185	AGAP005768	AAEL008045
OG0000187	AGAP002905	AAEL000035
OG0000188	AGAP004855	AAEL017003, AAEL003253, AAEL003243
OG0000189	AGAP003711	AAEL003743
OG0000189	AGAP001588, AGAP012818	AAEL006390
OG0000189	AGAP001587	AAEL014053
OG0000190	AGAP029641	AAEL020855
OG0000190	AGAP008320	AAEL023141
OG0000190	AGAP009683	AAEL003982
OG0000191	AGAP005966, AGAP005967, AGAP005968, AGAP005969	AAEL007085, AAEL024044
OG0000192	AGAP008588	AAEL018352
OG0000192	AGAP002152	AAEL008055
OG0000192	AGAP000962	AAEL007664
OG0000193	AGAP002022	AAEL018151, AAEL008595
OG0000194	AGAP009540, AGAP009541, AGAP012649	AAEL022256, AAEL009193
OG0000196	AGAP008557	AAEL014662, AAEL011677, AAEL019722
OG0000200	AGAP011195	AAEL019407
OG0000200	AGAP011194	AAEL000536
OG0000200	AGAP002325	AAEL000123
OG0000201	AGAP006207	AAEL001839
OG0000201	AGAP006208	AAEL020195, AAEL001844
OG0000201	AGAP006209	AAEL001840
OG0000202	AGAP000288	AAEL012457, AAEL012455
OG0000202	AGAP000289	AAEL003617, AAEL026142, AAEL011356
OG0000203	AGAP029591	AAEL003626
OG0000203	AGAP029307	AAEL003641, AAEL003619
OG0000203	AGAP028615	AAEL018304
OG0000204	AGAP006911	AAEL014078
OG0000204	AGAP006910	AAEL005665
OG0000204	AGAP006909	AAEL014079
OG0000205	AGAP029783, AGAP012696	AAEL008898
OG0000205	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552	AAEL007913
OG0000206	AGAP008630, AGAP028029	AAEL009935, AAEL009945, AAEL009938
OG0000206	AGAP008627	AAEL006668
OG0000207	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004	AAEL027951, AAEL026297, AAEL007619
OG0000208	AGAP011182	AAEL008274
OG0000208	AGAP011183	AAEL008259, AAEL027364
OG0000208	AGAP011184	AAEL023637, AAEL008283
OG0000209	AGAP011893	AAEL020200
OG0000210	AGAP011432, AGAP029292, AGAP029324, AGAP029065, AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891	AAEL022562, AAEL013032
OG0000217	AGAP012963	AAEL002994
OG0000217	AGAP000310	AAEL001622
OG0000217	AGAP003365	AAEL003013
OG0000218	AGAP008054	AAEL001969
OG0000218	AGAP008052, AGAP008051	AAEL002028
OG0000219	AGAP005907	AAEL002940
OG0000219	AGAP000907	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	AGAP013166	AAEL002964
OG0000220	AGAP013260	AAEL002969, AAEL002959
OG0000220	AGAP002457	AAEL002972
OG0000221	AGAP007990	AAEL021590, AAEL003079
OG0000221	AGAP006775	AAEL014371, AAEL008560
OG0000222	AGAP028196	AAEL021010, AAEL019957
OG0000222	AGAP008915	AAEL026731, AAEL011822, AAEL004240
OG0000223	AGAP001185	AAEL006487
OG0000223	AGAP001966	AAEL006995
OG0000223	AGAP013429	AAEL007016
OG0000224	AGAP013366, AGAP012995, AGAP029279, AGAP013463	AAEL006835
OG0000225	AGAP003067	AAEL014413
OG0000225	AGAP003066, AGAP003065	AAEL014411, AAEL014412
OG0000226	AGAP002446, AGAP012970, AGAP002448, AGAP002447	AAEL027179
OG0000229	AGAP003236	AAEL000515, AAEL000505
OG0000229	AGAP002137, AGAP002008	AAEL024475
OG0000230	AGAP028050, AGAP008670, AGAP008671	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000
OG0000231	AGAP006013, AGAP006012	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	AGAP005657, AGAP012667, AGAP005660, AGAP005656	AAEL002043, AAEL026706
OG0000233	AGAP001190	AAEL007602, AAEL003060
OG0000233	AGAP001199	AAEL009843
OG0000234	AGAP007802	AAEL019609
OG0000234	AGAP007808	AAEL007447
OG0000234	AGAP007803	AAEL007449
OG0000235	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124	AAEL008843, AAEL008580, AAEL024616
OG0000236	AGAP001202, AGAP012383	AAEL009206
OG0000237	AGAP003501, AGAP003500	AAEL022081, AAEL012350
OG0000244	AGAP009715, AGAP009722, AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711	AAEL001196
OG0000245	AGAP002360, AGAP002359	AAEL010893
OG0000245	AGAP013402	AAEL000843, AAEL010894
OG0000246	AGAP012702, AGAP004173, AGAP004383, AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380	AAEL001059
OG0000247	AGAP006146, AGAP006145	AAEL001683, AAEL001677
OG0000247	AGAP006148	AAEL001704
OG0000248	AGAP008404	AAEL001822, AAEL001816
OG0000248	AGAP028212	AAEL018042
OG0000248	AGAP028060	AAEL018041
OG0000249	AGAP004935, AGAP005326	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973
OG0000250	AGAP002055	AAEL004580
OG0000250	AGAP002058	AAEL004582
OG0000250	AGAP002056	AAEL004575
OG0000251	AGAP012697, AGAP029782, AGAP029784	AAEL006353, AAEL006344
OG0000251	AGAP029623, AGAP012647, AGAP029785	AAEL006338
OG0000252	AGAP028629	AAEL007257, AAEL007251, AAEL014554
OG0000252	AGAP011674	AAEL024448
OG0000253	AGAP001648	AAEL007993, AAEL007992
OG0000254	AGAP004634	AAEL012040
OG0000254	AGAP013293	AAEL009916
OG0000255	AGAP002195, AGAP002197	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765
OG0000256	AGAP002765, AGAP002767, AGAP002769	AAEL012425, AAEL012422
OG0000257	AGAP008795, AGAP028220, AGAP008796	AAEL019890, AAEL027350
OG0000265	AGAP007255, AGAP007266	AAEL008213, AAEL008211
OG0000265	AGAP000253	AAEL000249
OG0000266	AGAP008867	AAEL013662
OG0000266	AGAP007794, AGAP007793	AAEL000757
OG0000267	AGAP004164	AAEL001061
OG0000267	AGAP004378	AAEL010582
