Orthogroup	AgambiaePEST	AfunestusAfunGA1
OG0000006	AGAP000105	AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646
OG0000006	AGAP029348, AGAP029433	AFUN2_012202
OG0000006	AGAP029795	AFUN2_013718, AFUN2_006489
OG0000006	AGAP029344	AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532
OG0000007	AGAP012767, AGAP029743, AGAP012768, AGAP012722	AFUN2_004043, AFUN2_006670
OG0000007	AGAP029745, AGAP029744	AFUN2_001709
OG0000007	AGAP029741, AGAP029746, AGAP012835, AGAP029742	AFUN2_014614
OG0000007	AGAP000164	AFUN2_009778
OG0000007	AGAP028159, AGAP028040	AFUN2_001920
OG0000007	AGAP028667, AGAP028683, AGAP012753, AGAP029786	AFUN2_011937
OG0000007	AGAP028670	AFUN2_005862
OG0000007	AGAP011404, AGAP012546	AFUN2_011780
OG0000007	AGAP028672	AFUN2_012023
OG0000007	AGAP028668	AFUN2_003406
OG0000007	AGAP011403	AFUN2_006859
OG0000007	AGAP028675, AGAP028676, AGAP028677	AFUN2_003170
OG0000008	AGAP000818	AFUN2_005813
OG0000008	AGAP012850, AGAP012295, AGAP012293, AGAP012294	AFUN2_011626
OG0000008	AGAP012296	AFUN2_014353, AFUN2_012060
OG0000008	AGAP012291	AFUN2_001736
OG0000008	AGAP012292	AFUN2_010492
OG0000009	AGAP003913	AFUN2_009447
OG0000010	AGAP007252	AFUN2_008829
OG0000010	AGAP002432, AGAP007262	AFUN2_000320
OG0000010	AGAP007251	AFUN2_014109
OG0000010	AGAP006673	AFUN2_009560
OG0000010	AGAP006675	AFUN2_009244
OG0000010	AGAP005671, AGAP005670	AFUN2_008846
OG0000010	AGAP005669	AFUN2_008281
OG0000010	AGAP005663	AFUN2_001353, AFUN2_006534
OG0000010	AGAP005665, AGAP005664	AFUN2_002304, AFUN2_006559, AFUN2_012647
OG0000010	AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736	AFUN2_010091
OG0000011	AGAP028042	AFUN2_011181
OG0000011	AGAP013465	AFUN2_008927
OG0000011	AGAP008893	AFUN2_000890
OG0000011	AGAP028137, AGAP028160, AGAP028156, AGAP028178	AFUN2_006226, AFUN2_002927
OG0000011	AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991	AFUN2_003622, AFUN2_009821
OG0000011	AGAP028013, AGAP028067, AGAP012676	AFUN2_002952
OG0000012	AGAP001813	AFUN2_005969
OG0000012	AGAP007508	AFUN2_008516
OG0000012	AGAP012573, AGAP005025, AGAP012559, AGAP012709	AFUN2_006798
OG0000012	AGAP003910	AFUN2_008107
OG0000013	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669	AFUN2_008231, AFUN2_000667
OG0000013	AGAP003378	AFUN2_002726
OG0000013	AGAP003384	AFUN2_011275
OG0000013	AGAP003385, AGAP003379	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000013	AGAP012795, AGAP012866, AGAP003377, AGAP003382, AGAP003383, AGAP003381, AGAP003380	AFUN2_014386
OG0000014	AGAP009728	AFUN2_006975
OG0000014	AGAP005848	AFUN2_010356
OG0000014	AGAP028439	AFUN2_013192
OG0000014	AGAP006743	AFUN2_003737
OG0000014	AGAP004917	AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598
OG0000014	AGAP004918, AGAP004916	AFUN2_000713, AFUN2_001431
OG0000015	AGAP005645	AFUN2_012161
OG0000015	AGAP005503	AFUN2_000980
OG0000015	AGAP005502	AFUN2_004072
OG0000015	AGAP005501	AFUN2_012163
OG0000015	AGAP005500	AFUN2_005101
OG0000015	AGAP005499	AFUN2_004396
OG0000016	AGAP004770	AFUN2_009580
OG0000016	AGAP008861	AFUN2_008470
OG0000016	AGAP008292, AGAP008293	AFUN2_011213
OG0000016	AGAP008296	AFUN2_014654
OG0000016	AGAP008295, AGAP008294	AFUN2_013263
OG0000016	AGAP012842, AGAP008291, AGAP008290	AFUN2_010177
OG0000016	AGAP009966	AFUN2_004982
OG0000017	AGAP012558	AFUN2_007093
OG0000017	AGAP012885	AFUN2_014268
OG0000017	AGAP012574	AFUN2_008822
OG0000017	AGAP005026	AFUN2_000914
OG0000018	AGAP028579	AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843
OG0000018	AGAP013250	AFUN2_001215
OG0000018	AGAP029431	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851
OG0000020	AGAP010707, AGAP010709	AFUN2_010799, AFUN2_008522, AFUN2_009055
OG0000020	AGAP002910, AGAP002912, AGAP002911	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335
OG0000020	AGAP010708	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	AGAP005095	AFUN2_013453, AFUN2_010217
OG0000021	AGAP000651	AFUN2_001683
OG0000021	AGAP011514	AFUN2_001836
OG0000021	AGAP011516	AFUN2_011639
OG0000021	AGAP001676	AFUN2_002771
OG0000021	AGAP011515	AFUN2_007302
OG0000023	AGAP006253	AFUN2_002757
OG0000023	AGAP002445, AGAP002641	AFUN2_008581
OG0000023	AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581	AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616
OG0000024	AGAP012569, AGAP005636, AGAP005638	AFUN2_008754
OG0000024	AGAP005637	AFUN2_004514
OG0000024	AGAP006226	AFUN2_001856
OG0000024	AGAP006224	AFUN2_009727
OG0000024	AGAP006221	AFUN2_006932
OG0000024	AGAP006220	AFUN2_012131
OG0000026	AGAP004981, AGAP012617	AFUN2_007391
OG0000026	AGAP004978	AFUN2_003253
OG0000026	AGAP006258	AFUN2_006722
OG0000026	AGAP002825	AFUN2_005978
OG0000027	AGAP029283	AFUN2_012022
OG0000027	AGAP010363	AFUN2_002065
OG0000027	AGAP010364	AFUN2_004791
OG0000030	AGAP010812	AFUN2_012733
OG0000030	AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818	AFUN2_005352
OG0000033	AGAP003252	AFUN2_014039
OG0000033	AGAP003251	AFUN2_008608
OG0000033	AGAP003246	AFUN2_002394
OG0000033	AGAP003250	AFUN2_008977
OG0000033	AGAP003249, AGAP013487	AFUN2_005452, AFUN2_008949, AFUN2_011104
OG0000033	AGAP003245, AGAP003247	AFUN2_007576
OG0000034	AGAP003594	AFUN2_000777
OG0000034	AGAP005473	AFUN2_002152
OG0000034	AGAP005481, AGAP005480	AFUN2_005553
OG0000034	AGAP005483, AGAP005484	AFUN2_004371
OG0000034	AGAP004575	AFUN2_010024
OG0000034	AGAP005938	AFUN2_014222
OG0000035	AGAP012715, AGAP012588, AGAP012450	AFUN2_006151
OG0000035	AGAP001067	AFUN2_012246, AFUN2_011399
OG0000035	AGAP029940	AFUN2_002432, AFUN2_003652
OG0000035	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475	AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222
OG0000035	AGAP006696	AFUN2_006146
OG0000035	AGAP005307	AFUN2_006683
OG0000039	AGAP006420	AFUN2_009923
OG0000039	AGAP006421	AFUN2_010939
OG0000039	AGAP005497	AFUN2_002356
OG0000039	AGAP006417	AFUN2_001872
OG0000039	AGAP006443, AGAP006419, AGAP006418	AFUN2_008523, AFUN2_002845
OG0000040	AGAP006666	AFUN2_012034
OG0000040	AGAP006667	AFUN2_000621
OG0000040	AGAP011468	AFUN2_012970
OG0000040	AGAP011469, AGAP012854	AFUN2_011961
OG0000040	AGAP011467	AFUN2_013533
OG0000040	AGAP009394	AFUN2_004686
OG0000041	AGAP029305, AGAP029267	AFUN2_000732
OG0000041	AGAP028600	AFUN2_014438
OG0000041	AGAP029755	AFUN2_001049
OG0000041	AGAP029753	AFUN2_010115
OG0000041	AGAP001764	AFUN2_014544
OG0000042	AGAP008403	AFUN2_004081
OG0000042	AGAP009249, AGAP028179, AGAP028641, AGAP029126	AFUN2_014693
OG0000042	AGAP010545	AFUN2_009173
OG0000042	AGAP028728	AFUN2_004521
OG0000043	AGAP028182	AFUN2_001254, AFUN2_009245
OG0000043	AGAP029285	AFUN2_013789
OG0000043	AGAP012173	AFUN2_000632
OG0000043	AGAP029334, AGAP029308	AFUN2_002010, AFUN2_009895, AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359
OG0000043	AGAP029333, AGAP029867	AFUN2_005543, AFUN2_009900, AFUN2_010698
OG0000046	AGAP013221	AFUN2_013805
OG0000048	AGAP008648	AFUN2_006474
OG0000048	AGAP006194, AGAP006199	AFUN2_003419
OG0000048	AGAP006198, AGAP006201, AGAP006195	AFUN2_007098, AFUN2_011966
OG0000048	AGAP006192	AFUN2_007180
OG0000048	AGAP006193	AFUN2_001025
OG0000049	AGAP011788	AFUN2_008624
OG0000049	AGAP011781	AFUN2_012748
OG0000049	AGAP011792	AFUN2_002192, AFUN2_013459
OG0000051	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	AGAP011920	AFUN2_013880
OG0000053	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134	AFUN2_014363
OG0000053	AGAP028063	AFUN2_010396
OG0000053	AGAP028150	AFUN2_010923
OG0000053	AGAP028118, AGAP028020	AFUN2_007355
OG0000053	AGAP028165	AFUN2_008998
OG0000053	AGAP008956	AFUN2_014545
OG0000053	AGAP028181, AGAP028155, AGAP027990, AGAP028070	AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584
OG0000053	AGAP028082	AFUN2_001373
OG0000053	AGAP028226	AFUN2_002347
OG0000055	AGAP002076	AFUN2_003795
OG0000055	AGAP004944	AFUN2_007989
OG0000055	AGAP004583, AGAP004581	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	AGAP010105, AGAP010107, AGAP010104, AGAP029247	AFUN2_008318, AFUN2_006014
OG0000057	AGAP029248	AFUN2_000600
OG0000058	AGAP009471	AFUN2_011854
OG0000058	AGAP009472	AFUN2_008788
OG0000058	AGAP009467	AFUN2_002438
OG0000058	AGAP009468	AFUN2_002842
OG0000058	AGAP008945	AFUN2_001688
OG0000059	AGAP005194	AFUN2_006267
OG0000059	AGAP006707	AFUN2_010578
OG0000059	AGAP006709, AGAP006710, AGAP006711	AFUN2_006502, AFUN2_012387
OG0000059	AGAP007142	AFUN2_014242, AFUN2_009466
OG0000060	AGAP010097	AFUN2_014460
OG0000060	AGAP010100, AGAP010099	AFUN2_011607
OG0000060	AGAP010098	AFUN2_000444
OG0000060	AGAP010101	AFUN2_013952
OG0000061	AGAP012230	AFUN2_000988
OG0000061	AGAP006371	AFUN2_001934
OG0000061	AGAP002318	AFUN2_011828
OG0000061	AGAP002317	AFUN2_001889
OG0000062	AGAP003960	AFUN2_010062, AFUN2_011070
OG0000062	AGAP008558	AFUN2_009059
OG0000062	AGAP013252	AFUN2_003714
OG0000062	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111	AFUN2_008839
OG0000062	AGAP029114, AGAP029108	AFUN2_002820
OG0000062	AGAP028711, AGAP012749, AGAP012270	AFUN2_013747
OG0000062	AGAP012777, AGAP012817, AGAP029330, AGAP028710	AFUN2_007462, AFUN2_014711
OG0000063	AGAP002555	AFUN2_005096
OG0000063	AGAP002202	AFUN2_009682
OG0000064	AGAP002134	AFUN2_011232
OG0000067	AGAP011939	AFUN2_003888
OG0000067	AGAP012400	AFUN2_012011
OG0000067	AGAP012399	AFUN2_003045
OG0000067	AGAP002102	AFUN2_008039
OG0000067	AGAP012401	AFUN2_008602
OG0000068	AGAP005999	AFUN2_012196
OG0000068	AGAP005998	AFUN2_006617
OG0000068	AGAP005996	AFUN2_013302
OG0000068	AGAP006001	AFUN2_009586
OG0000069	AGAP002851	AFUN2_014241
OG0000069	AGAP007197	AFUN2_004523
OG0000069	AGAP007415	AFUN2_006118
OG0000069	AGAP002850	AFUN2_010311
OG0000069	AGAP002804	AFUN2_012252
OG0000071	AGAP013490	AFUN2_007775
OG0000071	AGAP000088	AFUN2_009753
OG0000071	AGAP001861	AFUN2_014078
OG0000071	AGAP028019	AFUN2_008604
OG0000071	AGAP008358	AFUN2_008424
OG0000071	AGAP008356	AFUN2_006008
OG0000072	AGAP010971	AFUN2_010362
OG0000072	AGAP001219, AGAP001218	AFUN2_005951
OG0000072	AGAP002770	AFUN2_008401
OG0000072	AGAP007122	AFUN2_008209
OG0000073	AGAP007754	AFUN2_006853
OG0000073	AGAP007752	AFUN2_012208
OG0000074	AGAP005385	AFUN2_001362
OG0000074	AGAP005384	AFUN2_008795
OG0000074	AGAP005386	AFUN2_001014
OG0000074	AGAP005387	AFUN2_003460
OG0000074	AGAP005388	AFUN2_012551
OG0000074	AGAP007354	AFUN2_006428
OG0000075	AGAP006983, AGAP006981, AGAP006979	AFUN2_009178, AFUN2_014263
OG0000075	AGAP006978	AFUN2_005741
OG0000075	AGAP006985, AGAP006982	AFUN2_007975
OG0000076	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234	AFUN2_000390, AFUN2_002799
OG0000076	AGAP011835	AFUN2_012586
OG0000077	AGAP006422	AFUN2_011333
OG0000077	AGAP006424	AFUN2_001755
OG0000077	AGAP006425	AFUN2_000688
OG0000077	AGAP006423	AFUN2_006649
OG0000077	AGAP006426	AFUN2_002148
OG0000078	AGAP029351	AFUN2_000476
OG0000078	AGAP028565	AFUN2_002769, AFUN2_012944
OG0000079	AGAP001162	AFUN2_004202
OG0000079	AGAP012985, AGAP012982, AGAP013149	AFUN2_001951
OG0000079	AGAP001161	AFUN2_003859
OG0000080	AGAP006380	AFUN2_011331
OG0000080	AGAP006379	AFUN2_001435
OG0000080	AGAP007504	AFUN2_013190
OG0000080	AGAP012155	AFUN2_009609
OG0000080	AGAP012156	AFUN2_005626
OG0000081	AGAP007161	AFUN2_011577
OG0000081	AGAP005547, AGAP005548	AFUN2_004811
OG0000081	AGAP007159, AGAP007158	AFUN2_010972
OG0000081	AGAP007162	AFUN2_012341
OG0000083	AGAP029438	AFUN2_010478
OG0000085	AGAP003763	AFUN2_010241
OG0000085	AGAP003764	AFUN2_007525
OG0000085	AGAP003760, AGAP003759, AGAP003762	AFUN2_013450
OG0000085	AGAP003758	AFUN2_004039
OG0000086	AGAP004809	AFUN2_011858
OG0000086	AGAP013155	AFUN2_006387
OG0000086	AGAP001881	AFUN2_009185
OG0000086	AGAP012984	AFUN2_010974
OG0000086	AGAP013150	AFUN2_001324
OG0000088	AGAP011575	AFUN2_014792
OG0000088	AGAP011507	AFUN2_006389
OG0000088	AGAP011509	AFUN2_012429
OG0000089	AGAP029766	AFUN2_006698
OG0000089	AGAP029781	AFUN2_004303
OG0000089	AGAP029780	AFUN2_011302
OG0000089	AGAP029779	AFUN2_007001
OG0000089	AGAP028709	AFUN2_005638, AFUN2_010754, AFUN2_005237
OG0000089	AGAP028708	AFUN2_004286
OG0000089	AGAP029765	AFUN2_005151
OG0000090	AGAP007347	AFUN2_012179
OG0000090	AGAP007385	AFUN2_011067
OG0000090	AGAP007386	AFUN2_004646
OG0000091	AGAP013511	AFUN2_004400
OG0000093	AGAP005077	AFUN2_007977, AFUN2_002700, AFUN2_008506
OG0000093	AGAP029262, AGAP029447	AFUN2_003712
OG0000093	AGAP005308	AFUN2_005353
OG0000093	AGAP029345	AFUN2_005338
OG0000096	AGAP010929	AFUN2_007046
OG0000096	AGAP008622	AFUN2_000740
OG0000096	AGAP005293	AFUN2_004816
OG0000096	AGAP010510	AFUN2_002084
OG0000097	AGAP013318	AFUN2_004895
OG0000097	AGAP013451	AFUN2_005456
OG0000097	AGAP002592	AFUN2_013795
OG0000097	AGAP002593	AFUN2_011155
OG0000097	AGAP013229	AFUN2_013131
OG0000098	AGAP009220	AFUN2_000935
OG0000103	AGAP005105	AFUN2_002101
OG0000103	AGAP005022, AGAP005027	AFUN2_007321
OG0000103	AGAP029484	AFUN2_010691
OG0000103	AGAP029942	AFUN2_005907
OG0000104	AGAP009159	AFUN2_001037
OG0000104	AGAP008545, AGAP028059	AFUN2_011196
OG0000104	AGAP028140, AGAP008544	AFUN2_006302
OG0000105	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615	AFUN2_006891, AFUN2_009384
OG0000107	AGAP002856	AFUN2_001412
OG0000107	AGAP002854	AFUN2_012650
OG0000108	AGAP006187	AFUN2_013458
OG0000109	AGAP006427	AFUN2_009795
OG0000109	AGAP029457	AFUN2_004467
OG0000109	AGAP029686	AFUN2_002263
OG0000111	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833
OG0000111	AGAP008460	AFUN2_007611
OG0000114	AGAP028151, AGAP028057	AFUN2_001369, AFUN2_010132
OG0000114	AGAP008458	AFUN2_006701
OG0000114	AGAP008459	AFUN2_007376
OG0000115	AGAP006594	AFUN2_007755
OG0000115	AGAP006595	AFUN2_008885
OG0000116	AGAP008437	AFUN2_012892
OG0000116	AGAP028128	AFUN2_001632
OG0000116	AGAP027980	AFUN2_011292
OG0000116	AGAP009835	AFUN2_005701
OG0000117	AGAP029801	AFUN2_000628, AFUN2_011841, AFUN2_002246, AFUN2_012483, AFUN2_013717, AFUN2_004183, AFUN2_011147, AFUN2_009679, AFUN2_007034
OG0000119	AGAP005834	AFUN2_008133
OG0000119	AGAP005835, AGAP005836, AGAP005837	AFUN2_003288
OG0000120	AGAP001249	AFUN2_014360
OG0000120	AGAP001245	AFUN2_007600
OG0000120	AGAP006869	AFUN2_000895
OG0000123	AGAP029183, AGAP029220	AFUN2_003694
OG0000123	AGAP013242, AGAP013436, AGAP029216	AFUN2_007557
OG0000123	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236
OG0000123	AGAP029140	AFUN2_007905
OG0000124	AGAP007443	AFUN2_012265
OG0000124	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466	AFUN2_012679
OG0000124	AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471	AFUN2_002887, AFUN2_011110
OG0000125	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224	AFUN2_003424, AFUN2_003313, AFUN2_012529
OG0000127	AGAP001825	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	AGAP028426	AFUN2_009017
OG0000128	AGAP010917	AFUN2_013941
OG0000128	AGAP011365	AFUN2_007884
OG0000129	AGAP012996	AFUN2_004369
OG0000129	AGAP001552	AFUN2_004902
OG0000129	AGAP013124	AFUN2_001390
OG0000129	AGAP013450	AFUN2_011235
OG0000130	AGAP001899	AFUN2_011184
OG0000130	AGAP008468	AFUN2_008453
OG0000130	AGAP028049	AFUN2_009668
OG0000131	AGAP009877	AFUN2_005171
OG0000131	AGAP009876	AFUN2_011906
OG0000131	AGAP009875	AFUN2_003726
OG0000131	AGAP009871	AFUN2_006692
OG0000132	AGAP013132, AGAP004807	AFUN2_007055
OG0000132	AGAP012529	AFUN2_004597
OG0000132	AGAP004806	AFUN2_005157
OG0000132	AGAP011287	AFUN2_003612
OG0000133	AGAP012279	AFUN2_010213
OG0000133	AGAP011611	AFUN2_005015
OG0000133	AGAP011610	AFUN2_001924
OG0000134	AGAP006725	AFUN2_012800
OG0000134	AGAP006728	AFUN2_008047
OG0000134	AGAP006727	AFUN2_001568
OG0000135	AGAP007906	AFUN2_011084
OG0000136	AGAP011204	AFUN2_003409
OG0000136	AGAP009509	AFUN2_000794
OG0000141	AGAP005758	AFUN2_004272
OG0000141	AGAP005757	AFUN2_006156
OG0000142	AGAP003422	AFUN2_002023
OG0000142	AGAP003423	AFUN2_002866
OG0000142	AGAP003432	AFUN2_007901
OG0000142	AGAP003078	AFUN2_008099
OG0000143	AGAP002419	AFUN2_004552
OG0000146	AGAP001956	AFUN2_008600, AFUN2_001333
OG0000146	AGAP013106	AFUN2_000602
OG0000147	AGAP008020, AGAP012800, AGAP008022	AFUN2_001243
OG0000147	AGAP008018	AFUN2_006652
OG0000148	AGAP009757	AFUN2_006078
OG0000149	AGAP005753	AFUN2_007018
OG0000149	AGAP005752	AFUN2_003087
OG0000150	AGAP007104	AFUN2_013472
OG0000151	AGAP003785, AGAP012609	AFUN2_008586
OG0000152	AGAP006398	AFUN2_004036
OG0000152	AGAP006103	AFUN2_007248
OG0000154	AGAP002894	AFUN2_012942
OG0000154	AGAP008218, AGAP008217	AFUN2_007474
OG0000154	AGAP008219	AFUN2_001817
OG0000155	AGAP004355, AGAP004356, AGAP004357, AGAP004354	AFUN2_011178, AFUN2_006679
OG0000157	AGAP028217	AFUN2_002461
OG0000159	AGAP011072, AGAP011073, AGAP011071	AFUN2_009163
OG0000159	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688	AFUN2_013071
OG0000159	AGAP028690	AFUN2_002477
OG0000159	AGAP028689	AFUN2_006224
OG0000160	AGAP029361	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497
OG0000160	AGAP006815	AFUN2_007254
OG0000161	AGAP009830	AFUN2_009616
OG0000161	AGAP028747	AFUN2_002280
OG0000161	AGAP006795	AFUN2_013883
OG0000162	AGAP012318	AFUN2_001603
OG0000162	AGAP012325	AFUN2_008191
OG0000162	AGAP012321	AFUN2_004390
OG0000163	AGAP009436	AFUN2_009739
OG0000163	AGAP009434	AFUN2_005717
OG0000163	AGAP009435	AFUN2_004668
OG0000164	AGAP004571	AFUN2_007065
OG0000164	AGAP004567	AFUN2_003491
OG0000164	AGAP004566	AFUN2_014641
OG0000164	AGAP004570	AFUN2_008297
OG0000165	AGAP000194	AFUN2_004493
OG0000165	AGAP000192	AFUN2_008088
OG0000165	AGAP000193	AFUN2_007300
OG0000165	AGAP010414	AFUN2_012709
OG0000166	AGAP006049	AFUN2_013647
OG0000166	AGAP006047	AFUN2_001188
OG0000171	AGAP011348	AFUN2_006837
OG0000171	AGAP011347	AFUN2_013379
OG0000172	AGAP011613	AFUN2_004764
OG0000172	AGAP011609	AFUN2_014173
OG0000172	AGAP011618	AFUN2_011072
OG0000173	AGAP029928	AFUN2_006638
OG0000173	AGAP029927	AFUN2_004995
OG0000173	AGAP010764	AFUN2_006309, AFUN2_013274, AFUN2_004451
OG0000174	AGAP000694	AFUN2_000386
OG0000174	AGAP000693	AFUN2_011578
OG0000176	AGAP028564	AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097
OG0000180	AGAP008448	AFUN2_004082
OG0000181	AGAP006076, AGAP006077, AGAP006078, AGAP006079	AFUN2_012634
OG0000181	AGAP006075	AFUN2_005105, AFUN2_007521
OG0000182	AGAP003722, AGAP012784	AFUN2_004625
OG0000182	AGAP003720	AFUN2_001977
OG0000182	AGAP003721	AFUN2_010645
OG0000183	AGAP002979	AFUN2_006554
OG0000183	AGAP002423	AFUN2_005817, AFUN2_013925
OG0000183	AGAP002973	AFUN2_007926
OG0000184	AGAP009519	AFUN2_012600
OG0000184	AGAP009520	AFUN2_006403
OG0000185	AGAP010657	AFUN2_004065
OG0000185	AGAP005768	AFUN2_004964, AFUN2_008198
OG0000187	AGAP002905	AFUN2_008775
OG0000188	AGAP004855	AFUN2_002434
OG0000189	AGAP003711	AFUN2_010394
OG0000189	AGAP001588, AGAP012818	AFUN2_002979
OG0000189	AGAP001587	AFUN2_009982
OG0000190	AGAP029641	AFUN2_013220
OG0000190	AGAP008320	AFUN2_007361
OG0000190	AGAP009683	AFUN2_014239
OG0000191	AGAP005966	AFUN2_001434
OG0000191	AGAP005967	AFUN2_013752
OG0000191	AGAP005968	AFUN2_000844
OG0000191	AGAP005969	AFUN2_007718
OG0000192	AGAP008588	AFUN2_002573
OG0000192	AGAP002152	AFUN2_010718
OG0000192	AGAP000962	AFUN2_006065
OG0000193	AGAP002022	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367
OG0000194	AGAP009540, AGAP009541, AGAP012649	AFUN2_001454
OG0000194	AGAP012263	AFUN2_002991
OG0000196	AGAP008557	AFUN2_005920
OG0000200	AGAP011195	AFUN2_008798
OG0000200	AGAP011194	AFUN2_010360
OG0000200	AGAP002325	AFUN2_014432
OG0000201	AGAP006207	AFUN2_004882
